# Pathway	W10	W100	W105	W111	W113	W117	W12	W123	W128	W139	W149	W154	W157	W16	W164	W169	W173	W183	W189	W193	W196	W209	W21	W215	W226	W231	W234	W250	W26	W28	W32	W38	W4	W43	W48	W53	W64	W69	W74	W79	W85	W89	W91
UNMAPPED	1783244.9552062345	3226597.4504120466	1910564.1794145077	1902420.7838644243	3801364.6715699905	1633481.7252352405	1914432.6874158552	1703527.8941288150	2108271.9829245382	1519327.0919377871	2518294.1366538531	1731257.8666488698	2078538.4422174438	1705987.8445840306	1793317.9521196433	1908341.4384789490	2408044.8697792678	2000097.6247338071	1994730.2591220299	1875329.0110161076	2068628.7480800960	4522429.4654749380	1822021.6084485038	1823146.2011311913	2064158.4115343168	1698483.0343998214	1631310.8308108016	1710072.1171210441	2024914.0239669220	1241625.4781507712	1916989.5497253581	3325143.3880033037	1696110.1327421877	1384151.5910918587	1907518.1344194824	1583581.1302217725	2301951.6522673019	1655916.5473389684	2191821.0250195106	1569350.5923358130	2166307.2592349220	1733268.1728605237	1704570.7587187483
UNINTEGRATED	1007892.7934347133	2360645.6883163047	1168098.5010539216	977301.7863602705	2204421.6494796914	850697.7543103583	1107905.0711580452	1008737.3415512574	1211302.6044539181	814703.6673274381	1199983.7557680097	858326.6846643293	1009238.5232690616	905920.4898216351	1022895.7744476523	1314192.9139605497	1354495.9489604048	1097680.0677394855	1126445.6209019513	902834.7920087380	1137900.9082288290	2476018.1179255345	967007.9908741816	1009296.7878150267	1075293.2862588456	805335.4444425252	903474.9977960741	724586.1023707844	1047004.5645854247	1145231.2518914416	1288177.2651499542	1951587.5333482455	856370.3372871304	901449.0477048809	1273625.6997666752	902435.2555675633	1392396.3803830759	1110275.7350541833	1561532.6425016501	817890.8852513201	1238568.2030540314	911259.3903753777	1019421.8221449151
UNINTEGRATED|g__Achromobacter.s__Achromobacter_piechaudii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.9116075094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Achromobacter.s__Achromobacter_xylosoxidans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	715.9268791667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Acidovorax.s__Acidovorax_ebreus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	716.9831864567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_beijerinckii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.6392376797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_johnsonii	48.0670693368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73.8225187222	96.1335128388	0	0	0	0
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_junii	33.5562363596	104.8416087390	0	0	0	0	0	0	0	0	0	0	161.0210227129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154.2416272663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_lwoffii	0	0	0	0	0	0	0	0	0	0	0	0	0	44.5258202385	0	0	0	221.6115344714	0	97.5026554620	0	0	0	0	0	0	0	0	33.4170229392	0	0	0	0	0	0	0	0	0	248.2611542380	0	0	0	0
UNINTEGRATED|g__Acinetobacter.s__Acinetobacter_pittii_calcoaceticus_nosocomialis	71.8458877135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.9240097459	0	0	0	0	0	0	0	0	0	123.0732160576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
