# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000001.1	134	1234	+							FXX80_RS00005	1101		
CDS	with_protein	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000001.1	134	1234	+	WP_051364104.1	WP_051364104.1		RepB family plasmid replication initiator protein			FXX80_RS00005	1101	366	
gene	protein_coding	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000001.1	2467	2661	+							FXX80_RS00010	195		
CDS	with_protein	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000001.1	2467	2661	+	WP_023049553.1	WP_023049553.1		hypothetical protein			FXX80_RS00010	195	64	
gene	protein_coding	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000001.1	2658	3509	+							FXX80_RS00015	852		
CDS	with_protein	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000001.1	2658	3509	+	WP_023049554.1	WP_023049554.1		hypothetical protein			FXX80_RS00015	852	283	
gene	protein_coding	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000001.1	3788	4043	+							FXX80_RS00020	256		partial
CDS	with_protein	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000001.1	3788	4043	+	WP_023049555.1	WP_023049555.1		hypothetical protein			FXX80_RS00020	256	85	partial
gene	protein_coding	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	55	1272	+							FXX80_RS00025	1218		
CDS	with_protein	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	55	1272	+	WP_023049556.1	WP_023049556.1		FtsW/RodA/SpoVE family cell cycle protein			FXX80_RS00025	1218	405	
gene	protein_coding	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	1433	3544	+					pnp		FXX80_RS00030	2112		
CDS	with_protein	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	1433	3544	+	WP_023049557.1	WP_023049557.1		polyribonucleotide nucleotidyltransferase	pnp		FXX80_RS00030	2112	703	
gene	protein_coding	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	3640	4980	+					rimO		FXX80_RS00035	1341		
CDS	with_protein	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	3640	4980	+	WP_023049558.1	WP_023049558.1		30S ribosomal protein S12 methylthiotransferase RimO	rimO		FXX80_RS00035	1341	446	
gene	protein_coding	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	5005	5574	+					pgsA		FXX80_RS00040	570		
CDS	with_protein	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	5005	5574	+	WP_040405889.1	WP_040405889.1		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	pgsA		FXX80_RS00040	570	189	
gene	protein_coding	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	5584	5838	+							FXX80_RS00045	255		
CDS	with_protein	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	5584	5838	+	WP_023049560.1	WP_023049560.1		YggT family protein			FXX80_RS00045	255	84	
gene	protein_coding	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	5888	6826	+					rsmH		FXX80_RS00050	939		
CDS	with_protein	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	5888	6826	+	WP_040405906.1	WP_040405906.1		16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH	rsmH		FXX80_RS00050	939	312	
gene	protein_coding	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	6845	7117	+							FXX80_RS00055	273		
CDS	with_protein	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	6845	7117	+	WP_023049562.1	WP_023049562.1		hypothetical protein			FXX80_RS00055	273	90	
gene	protein_coding	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	7136	8497	+					rlmD		FXX80_RS00060	1362		
CDS	with_protein	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	7136	8497	+	WP_023049563.1	WP_023049563.1		23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD	rlmD		FXX80_RS00060	1362	453	
gene	protein_coding	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	8507	9112	+					plsY		FXX80_RS00065	606		
CDS	with_protein	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	8507	9112	+	WP_023049564.1	WP_023049564.1		glycerol-3-phosphate 1-O-acyltransferase PlsY	plsY		FXX80_RS00065	606	201	
gene	protein_coding	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	9126	10127	+							FXX80_RS00070	1002		
CDS	with_protein	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	9126	10127	+	WP_023049565.1	WP_023049565.1		NAD(P)H-dependent glycerol-3-phosphate dehydrogenase			FXX80_RS00070	1002	333	
gene	protein_coding	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	10255	11079	+							FXX80_RS00075	825		
CDS	with_protein	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	10255	11079	+	WP_023049566.1	WP_023049566.1		sigma-70 family RNA polymerase sigma factor			FXX80_RS00075	825	274	
gene	protein_coding	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	11096	12217	+					dnaN		FXX80_RS00080	1122		
CDS	with_protein	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	11096	12217	+	WP_023049567.1	WP_023049567.1		DNA polymerase III subunit beta	dnaN		FXX80_RS00080	1122	373	
gene	protein_coding	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	12318	12854	+							FXX80_RS00085	537		
CDS	with_protein	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	12318	12854	+	WP_023049568.1	WP_023049568.1		DUF116 domain-containing protein			FXX80_RS00085	537	178	
gene	protein_coding	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	12851	15706	+							FXX80_RS00090	2856		
CDS	with_protein	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	12851	15706	+	WP_023049569.1	WP_023049569.1		tetratricopeptide repeat protein			FXX80_RS00090	2856	951	
gene	protein_coding	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	15703	16035	+							FXX80_RS00095	333		
CDS	with_protein	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	15703	16035	+	WP_023049570.1	WP_023049570.1		hypothetical protein			FXX80_RS00095	333	110	
gene	protein_coding	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	16073	16684	+							FXX80_RS00100	612		
CDS	with_protein	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	16073	16684	+	WP_023049571.1	WP_023049571.1		MotA/TolQ/ExbB proton channel family protein			FXX80_RS00100	612	203	
gene	protein_coding	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	16697	17137	+							FXX80_RS00105	441		
CDS	with_protein	GCF_902375135.1	Primary Assembly	unplaced scaffold		NZ_CABKSZ010000002.1	16697	17137	+	WP_023049572.1	WP_023049572.1		biopolymer transporter ExbD			FXX80_RS00105	441	146	
