# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000013385.1	Primary Assembly	chromosome		NC_007760.1	22	1395	+					dnaA		ADEH_RS00015	1374		old_locus_tag=Adeh_0001
CDS	with_protein	GCF_000013385.1	Primary Assembly	chromosome		NC_007760.1	22	1395	+	WP_011419062.1	WP_011419062.1		chromosomal replication initiator protein DnaA	dnaA		ADEH_RS00015	1374	457	
gene	protein_coding	GCF_000013385.1	Primary Assembly	chromosome		NC_007760.1	1811	2938	+							ADEH_RS00020	1128		old_locus_tag=Adeh_0002
CDS	with_protein	GCF_000013385.1	Primary Assembly	chromosome		NC_007760.1	1811	2938	+	WP_011419063.1	WP_011419063.1		DNA polymerase III subunit beta			ADEH_RS00020	1128	375	
gene	protein_coding	GCF_000013385.1	Primary Assembly	chromosome		NC_007760.1	2958	4076	+							ADEH_RS00025	1119		old_locus_tag=Adeh_0003
CDS	with_protein	GCF_000013385.1	Primary Assembly	chromosome		NC_007760.1	2958	4076	+	WP_011419064.1	WP_011419064.1		DNA replication/repair protein RecF			ADEH_RS00025	1119	372	
gene	protein_coding	GCF_000013385.1	Primary Assembly	chromosome		NC_007760.1	4192	6651	+					gyrB		ADEH_RS00030	2460		old_locus_tag=Adeh_0004
CDS	with_protein	GCF_000013385.1	Primary Assembly	chromosome		NC_007760.1	4192	6651	+	WP_081436884.1	WP_081436884.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		ADEH_RS00030	2460	819	
gene	protein_coding	GCF_000013385.1	Primary Assembly	chromosome		NC_007760.1	6733	7728	+							ADEH_RS00035	996		old_locus_tag=Adeh_0005
CDS	with_protein	GCF_000013385.1	Primary Assembly	chromosome		NC_007760.1	6733	7728	+	WP_011419066.1	WP_011419066.1		ketoacyl-ACP synthase III			ADEH_RS00035	996	331	
