# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	70	1491	+					dnaA		DTPSY_RS00005	1422		old_locus_tag=Dtpsy_0001
CDS	with_protein	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	70	1491	+	WP_012655123.1	WP_012655123.1		chromosomal replication initiator protein DnaA	dnaA		DTPSY_RS00005	1422	473	
gene	protein_coding	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	1636	2742	+							DTPSY_RS00010	1107		old_locus_tag=Dtpsy_0002
CDS	with_protein	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	1636	2742	+	WP_012655124.1	WP_012655124.1		DNA polymerase III subunit beta			DTPSY_RS00010	1107	368	
gene	protein_coding	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	2860	5466	+					gyrB		DTPSY_RS00015	2607		old_locus_tag=Dtpsy_0003
CDS	with_protein	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	2860	5466	+	WP_012655125.1	WP_012655125.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		DTPSY_RS00015	2607	868	
gene	protein_coding	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	5621	5854	-							DTPSY_RS00020	234		old_locus_tag=Dtpsy_0004
CDS	with_protein	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	5621	5854	-	WP_012655126.1	WP_012655126.1		hypothetical protein			DTPSY_RS00020	234	77	
gene	protein_coding	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	6024	6545	+							DTPSY_RS00025	522		old_locus_tag=Dtpsy_0005
CDS	with_protein	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	6024	6545	+	WP_011807223.1	WP_011807223.1		GNAT family N-acetyltransferase			DTPSY_RS00025	522	173	
gene	protein_coding	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	6542	6955	+							DTPSY_RS00030	414		old_locus_tag=Dtpsy_0006
CDS	with_protein	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	6542	6955	+	WP_012655127.1	WP_012655127.1		YkgJ family cysteine cluster protein			DTPSY_RS00030	414	137	
gene	protein_coding	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	7062	7499	+							DTPSY_RS00035	438		old_locus_tag=Dtpsy_0007
CDS	with_protein	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	7062	7499	+	WP_011807225.1	WP_011807225.1		OsmC family protein			DTPSY_RS00035	438	145	
gene	protein_coding	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	7496	8275	+							DTPSY_RS00040	780		old_locus_tag=Dtpsy_0008
CDS	with_protein	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	7496	8275	+	WP_148215353.1	WP_148215353.1		DUF72 domain-containing protein			DTPSY_RS00040	780	259	
gene	protein_coding	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	8362	8655	-							DTPSY_RS00045	294		old_locus_tag=Dtpsy_0009
CDS	with_protein	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	8362	8655	-	WP_012655129.1	WP_012655129.1		acylphosphatase			DTPSY_RS00045	294	97	
gene	protein_coding	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	8696	8929	+							DTPSY_RS00050	234		old_locus_tag=Dtpsy_0010
CDS	with_protein	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	8696	8929	+	WP_012655130.1	WP_012655130.1		4Fe-4S binding protein			DTPSY_RS00050	234	77	
gene	protein_coding	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	8991	10586	+							DTPSY_RS00055	1596		old_locus_tag=Dtpsy_0011
CDS	with_protein	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	8991	10586	+	WP_012655131.1	WP_012655131.1		gamma-glutamyltransferase family protein			DTPSY_RS00055	1596	531	
gene	protein_coding	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	10940	12358	+							DTPSY_RS00060	1419		old_locus_tag=Dtpsy_0012
CDS	with_protein	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	10940	12358	+	WP_012655132.1	WP_012655132.1		homoserine dehydrogenase			DTPSY_RS00060	1419	472	
gene	protein_coding	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	12411	12719	-							DTPSY_RS00065	309		old_locus_tag=Dtpsy_0013
CDS	with_protein	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	12411	12719	-	WP_012655133.1	WP_012655133.1		hypothetical protein			DTPSY_RS00065	309	102	
gene	protein_coding	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	12968	15157	+					dinG		DTPSY_RS00070	2190		old_locus_tag=Dtpsy_0014
CDS	with_protein	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	12968	15157	+	WP_012655134.1	WP_012655134.1		ATP-dependent DNA helicase DinG	dinG		DTPSY_RS00070	2190	729	
gene	protein_coding	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	15342	15539	+							DTPSY_RS00075	198		old_locus_tag=Dtpsy_0015
CDS	with_protein	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	15342	15539	+	WP_011807233.1	WP_011807233.1		hypothetical protein			DTPSY_RS00075	198	65	
gene	protein_coding	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	15687	16343	+							DTPSY_RS00080	657		old_locus_tag=Dtpsy_0016
CDS	with_protein	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	15687	16343	+	WP_012655135.1	WP_012655135.1		3'-5' exonuclease			DTPSY_RS00080	657	218	
gene	protein_coding	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	16557	17057	+							DTPSY_RS00085	501		old_locus_tag=Dtpsy_0017
CDS	with_protein	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	16557	17057	+	WP_172209108.1	WP_172209108.1		pyridoxamine 5'-phosphate oxidase family protein			DTPSY_RS00085	501	166	
gene	protein_coding	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	17352	18680	-							DTPSY_RS00090	1329		old_locus_tag=Dtpsy_0018
CDS	with_protein	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	17352	18680	-	WP_012655136.1	WP_012655136.1		aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme			DTPSY_RS00090	1329	442	
gene	protein_coding	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	18899	19381	+							DTPSY_RS00095	483		old_locus_tag=Dtpsy_0019
CDS	with_protein	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	18899	19381	+	WP_012655137.1	WP_012655137.1		C40 family peptidase			DTPSY_RS00095	483	160	
gene	protein_coding	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	19509	20609	+							DTPSY_RS00100	1101		old_locus_tag=Dtpsy_0020
CDS	with_protein	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	19509	20609	+	WP_012655138.1	WP_012655138.1		3-deoxy-7-phosphoheptulonate synthase			DTPSY_RS00100	1101	366	
gene	protein_coding	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	20851	24528	+							DTPSY_RS00105	3678		old_locus_tag=Dtpsy_0021
CDS	with_protein	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	20851	24528	+	WP_012655139.1	WP_012655139.1		EAL domain-containing protein			DTPSY_RS00105	3678	1225	
gene	protein_coding	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	24586	25389	-							DTPSY_RS00110	804		old_locus_tag=Dtpsy_0022
CDS	with_protein	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	24586	25389	-	WP_012655140.1	WP_012655140.1		IclR family transcriptional regulator			DTPSY_RS00110	804	267	
gene	protein_coding	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	25632	26603	+							DTPSY_RS00115	972		old_locus_tag=Dtpsy_0023
CDS	with_protein	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	25632	26603	+	WP_012655141.1	WP_012655141.1		hypothetical protein			DTPSY_RS00115	972	323	
gene	protein_coding	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	26942	27547	-							DTPSY_RS00120	606		old_locus_tag=Dtpsy_0024
CDS	with_protein	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	26942	27547	-	WP_012655142.1	WP_012655142.1		acyloxyacyl hydrolase			DTPSY_RS00120	606	201	
gene	protein_coding	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	27674	28303	-							DTPSY_RS00125	630		old_locus_tag=Dtpsy_0025
CDS	with_protein	GCF_000022305.1	Primary Assembly	chromosome		NC_011992.1	27674	28303	-	WP_012655143.1	WP_012655143.1		Spy/CpxP family protein refolding chaperone			DTPSY_RS00125	630	209	
