# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_004104415.1	Primary Assembly	chromosome		NZ_CP034669.1	1	1359	+					dnaA		EJ065_RS00005	1359		old_locus_tag=EJ065_0001
CDS	with_protein	GCF_004104415.1	Primary Assembly	chromosome		NZ_CP034669.1	1	1359	+	WP_120589468.1	WP_120589468.1		chromosomal replication initiator protein DnaA	dnaA		EJ065_RS00005	1359	452	
gene	protein_coding	GCF_004104415.1	Primary Assembly	chromosome		NZ_CP034669.1	1366	1806	-							EJ065_RS00010	441		old_locus_tag=EJ065_0002
CDS	with_protein	GCF_004104415.1	Primary Assembly	chromosome		NZ_CP034669.1	1366	1806	-	WP_128794092.1	WP_128794092.1		CBS domain-containing protein			EJ065_RS00010	441	146	
gene	protein_coding	GCF_004104415.1	Primary Assembly	chromosome		NZ_CP034669.1	2044	2865	-							EJ065_RS00015	822		old_locus_tag=EJ065_0003
CDS	with_protein	GCF_004104415.1	Primary Assembly	chromosome		NZ_CP034669.1	2044	2865	-	WP_128794093.1	WP_128794093.1		hypothetical protein			EJ065_RS00015	822	273	
gene	protein_coding	GCF_004104415.1	Primary Assembly	chromosome		NZ_CP034669.1	2998	4404	+							EJ065_RS00020	1407		old_locus_tag=EJ065_0004
CDS	with_protein	GCF_004104415.1	Primary Assembly	chromosome		NZ_CP034669.1	2998	4404	+	WP_128800250.1	WP_128800250.1		insulinase family protein			EJ065_RS00020	1407	468	
gene	protein_coding	GCF_004104415.1	Primary Assembly	chromosome		NZ_CP034669.1	4407	5915	+							EJ065_RS00025	1509		old_locus_tag=EJ065_0005
CDS	with_protein	GCF_004104415.1	Primary Assembly	chromosome		NZ_CP034669.1	4407	5915	+	WP_128794094.1	WP_128794094.1		insulinase family protein			EJ065_RS00025	1509	502	
gene	protein_coding	GCF_004104415.1	Primary Assembly	chromosome		NZ_CP034669.1	5981	6262	-							EJ065_RS00030	282		old_locus_tag=EJ065_0006
