# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	55	1428	+					dnaA		OSC7112_RS00010	1374		old_locus_tag=Osc7112_0001
CDS	with_protein	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	55	1428	+	WP_015173988.1	WP_015173988.1		chromosomal replication initiator protein DnaA	dnaA		OSC7112_RS00010	1374	457	
gene	protein_coding	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	1575	1721	+							OSC7112_RS39145	147		
CDS	with_protein	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	1575	1721	+	WP_190274303.1	WP_190274303.1		hypothetical protein			OSC7112_RS39145	147	48	
gene	protein_coding	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	2140	3279	+					dnaN		OSC7112_RS00015	1140		old_locus_tag=Osc7112_0002
CDS	with_protein	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	2140	3279	+	WP_015173989.1	WP_015173989.1		DNA polymerase III subunit beta	dnaN		OSC7112_RS00015	1140	379	
gene	protein_coding	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	3485	4945	-							OSC7112_RS00020	1461		old_locus_tag=Osc7112_0003
CDS	with_protein	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	3485	4945	-	WP_015173990.1	WP_015173990.1		HAMP domain-containing histidine kinase			OSC7112_RS00020	1461	486	
gene	protein_coding	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	6086	7165	+							OSC7112_RS00025	1080		old_locus_tag=Osc7112_0004
CDS	with_protein	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	6086	7165	+	WP_015173991.1	WP_015173991.1		permease			OSC7112_RS00025	1080	359	
gene	protein_coding	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	7309	8097	+							OSC7112_RS00030	789		old_locus_tag=Osc7112_0005
CDS	with_protein	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	7309	8097	+	WP_015173992.1	WP_015173992.1		TIGR03943 family protein			OSC7112_RS00030	789	262	
gene	protein_coding	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	8280	9656	+							OSC7112_RS00035	1377		old_locus_tag=Osc7112_0006
CDS	with_protein	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	8280	9656	+	WP_015173993.1	WP_015173993.1		oligosaccharide flippase family protein			OSC7112_RS00035	1377	458	
gene	protein_coding	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	9891	11456	+							OSC7112_RS00040	1566		old_locus_tag=Osc7112_0007
CDS	with_protein	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	9891	11456	+	WP_015173994.1	WP_015173994.1		hypothetical protein			OSC7112_RS00040	1566	521	
gene	protein_coding	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	11518	12084	+							OSC7112_RS00045	567		old_locus_tag=Osc7112_0008
CDS	with_protein	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	11518	12084	+	WP_015173995.1	WP_015173995.1		hypothetical protein			OSC7112_RS00045	567	188	
gene	protein_coding	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	12774	14129	+							OSC7112_RS00050	1356		old_locus_tag=Osc7112_0009
CDS	with_protein	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	12774	14129	+	WP_015173996.1	WP_015173996.1		histidine kinase			OSC7112_RS00050	1356	451	
gene	protein_coding	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	14238	15611	+							OSC7112_RS00055	1374		old_locus_tag=Osc7112_0010
CDS	with_protein	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	14238	15611	+	WP_015173997.1	WP_015173997.1		histidine kinase			OSC7112_RS00055	1374	457	
gene	protein_coding	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	15854	16723	+							OSC7112_RS00060	870		old_locus_tag=Osc7112_0011
CDS	with_protein	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	15854	16723	+	WP_150111460.1	WP_150111460.1		hypothetical protein			OSC7112_RS00060	870	289	
gene	pseudogene	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	17144	17878	+							OSC7112_RS00065	735		partial;pseudo
CDS	without_protein	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	17144	17878	+				transposase			OSC7112_RS00065	735		partial;pseudo
gene	protein_coding	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	17986	19098	+							OSC7112_RS00070	1113		old_locus_tag=Osc7112_0013
CDS	with_protein	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	17986	19098	+	WP_015173999.1	WP_015173999.1		IS630 family transposase			OSC7112_RS00070	1113	370	
gene	pseudogene	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	19114	19780	+							OSC7112_RS00075	667		partial;pseudo
CDS	without_protein	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	19114	19780	+				transposase			OSC7112_RS00075	667		partial;pseudo
gene	protein_coding	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	19870	20667	-							OSC7112_RS00080	798		old_locus_tag=Osc7112_0014
CDS	with_protein	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	19870	20667	-	WP_015174000.1	WP_015174000.1		ion transporter			OSC7112_RS00080	798	265	
gene	protein_coding	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	20693	22720	+							OSC7112_RS35060	2028		old_locus_tag=Osc7112_0015
CDS	with_protein	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	20693	22720	+	WP_015174001.1	WP_015174001.1		pentapeptide repeat-containing protein			OSC7112_RS35060	2028	675	
gene	protein_coding	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	22999	23520	+							OSC7112_RS00095	522		old_locus_tag=Osc7112_0017
CDS	with_protein	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	22999	23520	+	WP_015174003.1	WP_015174003.1		hypothetical protein			OSC7112_RS00095	522	173	
gene	protein_coding	GCF_000317475.1	Primary Assembly	chromosome		NC_019729.1	23596	23940	+							OSC7112_RS00100	345		old_locus_tag=Osc7112_0018
