# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001617355.1	Primary Assembly	unplaced scaffold		NZ_LVJS01000003.1	1	337	+							RHOFW104T7_RS00010	337		partial;old_locus_tag=RHOFW104T7_03860
CDS	with_protein	GCF_001617355.1	Primary Assembly	unplaced scaffold		NZ_LVJS01000003.1	1	337	+	WP_153022784.1	WP_153022784.1		cytochrome c			RHOFW104T7_RS00010	337	111	partial
gene	protein_coding	GCF_001617355.1	Primary Assembly	unplaced scaffold		NZ_LVJS01000003.1	558	1817	+							RHOFW104T7_RS00015	1260		old_locus_tag=RHOFW104T7_03865
CDS	with_protein	GCF_001617355.1	Primary Assembly	unplaced scaffold		NZ_LVJS01000003.1	558	1817	+	WP_063107498.1	WP_063107498.1		alginate export family protein			RHOFW104T7_RS00015	1260	419	
gene	protein_coding	GCF_001617355.1	Primary Assembly	unplaced scaffold		NZ_LVJS01000003.1	1892	2173	+							RHOFW104T7_RS00020	282		old_locus_tag=RHOFW104T7_03870
CDS	with_protein	GCF_001617355.1	Primary Assembly	unplaced scaffold		NZ_LVJS01000003.1	1892	2173	+	WP_063107499.1	WP_063107499.1		DUF2249 domain-containing protein			RHOFW104T7_RS00020	282	93	
gene	protein_coding	GCF_001617355.1	Primary Assembly	unplaced scaffold		NZ_LVJS01000003.1	2154	3407	+							RHOFW104T7_RS00025	1254		old_locus_tag=RHOFW104T7_03875
CDS	with_protein	GCF_001617355.1	Primary Assembly	unplaced scaffold		NZ_LVJS01000003.1	2154	3407	+	WP_063107500.1	WP_063107500.1		hypothetical protein			RHOFW104T7_RS00025	1254	417	
gene	protein_coding	GCF_001617355.1	Primary Assembly	unplaced scaffold		NZ_LVJS01000003.1	3404	3787	+							RHOFW104T7_RS00030	384		old_locus_tag=RHOFW104T7_03880
CDS	with_protein	GCF_001617355.1	Primary Assembly	unplaced scaffold		NZ_LVJS01000003.1	3404	3787	+	WP_008439401.1	WP_008439401.1		zinc-binding protein			RHOFW104T7_RS00030	384	127	
gene	protein_coding	GCF_001617355.1	Primary Assembly	unplaced scaffold		NZ_LVJS01000003.1	3979	5004	+					nadA		RHOFW104T7_RS00035	1026		old_locus_tag=RHOFW104T7_03885
CDS	with_protein	GCF_001617355.1	Primary Assembly	unplaced scaffold		NZ_LVJS01000003.1	3979	5004	+	WP_008439402.1	WP_008439402.1		quinolinate synthase NadA	nadA		RHOFW104T7_RS00035	1026	341	
gene	protein_coding	GCF_001617355.1	Primary Assembly	unplaced scaffold		NZ_LVJS01000003.1	5001	6449	+							RHOFW104T7_RS00040	1449		old_locus_tag=RHOFW104T7_03890
CDS	with_protein	GCF_001617355.1	Primary Assembly	unplaced scaffold		NZ_LVJS01000003.1	5001	6449	+	WP_008439403.1	WP_008439403.1		FAD-dependent oxidoreductase			RHOFW104T7_RS00040	1449	482	
gene	protein_coding	GCF_001617355.1	Primary Assembly	unplaced scaffold		NZ_LVJS01000003.1	6555	7070	+					fabA		RHOFW104T7_RS00045	516		old_locus_tag=RHOFW104T7_03895
CDS	with_protein	GCF_001617355.1	Primary Assembly	unplaced scaffold		NZ_LVJS01000003.1	6555	7070	+	WP_008439404.1	WP_008439404.1		3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA	fabA		RHOFW104T7_RS00045	516	171	
gene	protein_coding	GCF_001617355.1	Primary Assembly	unplaced scaffold		NZ_LVJS01000003.1	7072	8280	+					fabB		RHOFW104T7_RS00050	1209		old_locus_tag=RHOFW104T7_03900
CDS	with_protein	GCF_001617355.1	Primary Assembly	unplaced scaffold		NZ_LVJS01000003.1	7072	8280	+	WP_008439405.1	WP_008439405.1		beta-ketoacyl-ACP synthase I	fabB		RHOFW104T7_RS00050	1209	402	
gene	protein_coding	GCF_001617355.1	Primary Assembly	unplaced scaffold		NZ_LVJS01000003.1	8304	8963	+							RHOFW104T7_RS00055	660		old_locus_tag=RHOFW104T7_03905
CDS	with_protein	GCF_001617355.1	Primary Assembly	unplaced scaffold		NZ_LVJS01000003.1	8304	8963	+	WP_008439406.1	WP_008439406.1		hemolysin III family protein			RHOFW104T7_RS00055	660	219	
gene	protein_coding	GCF_001617355.1	Primary Assembly	unplaced scaffold		NZ_LVJS01000003.1	9040	9783	+					deoC		RHOFW104T7_RS00060	744		old_locus_tag=RHOFW104T7_03910
CDS	with_protein	GCF_001617355.1	Primary Assembly	unplaced scaffold		NZ_LVJS01000003.1	9040	9783	+	WP_008439411.1	WP_008439411.1		deoxyribose-phosphate aldolase	deoC		RHOFW104T7_RS00060	744	247	
gene	protein_coding	GCF_001617355.1	Primary Assembly	unplaced scaffold		NZ_LVJS01000003.1	9780	11114	+							RHOFW104T7_RS00065	1335		old_locus_tag=RHOFW104T7_03915
CDS	with_protein	GCF_001617355.1	Primary Assembly	unplaced scaffold		NZ_LVJS01000003.1	9780	11114	+	WP_063107501.1	WP_063107501.1		thymidine phosphorylase			RHOFW104T7_RS00065	1335	444	
gene	protein_coding	GCF_001617355.1	Primary Assembly	unplaced scaffold		NZ_LVJS01000003.1	11111	12319	+							RHOFW104T7_RS00070	1209		old_locus_tag=RHOFW104T7_03920
CDS	with_protein	GCF_001617355.1	Primary Assembly	unplaced scaffold		NZ_LVJS01000003.1	11111	12319	+	WP_063107502.1	WP_063107502.1		phosphopentomutase			RHOFW104T7_RS00070	1209	402	
