# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002077985.1	Primary Assembly	unplaced scaffold		NZ_LWBO01000001.1	115	492	-							A4D02_RS00005	378		old_locus_tag=A4D02_00005
CDS	with_protein	GCF_002077985.1	Primary Assembly	unplaced scaffold		NZ_LWBO01000001.1	115	492	-	WP_014222278.1	WP_014222278.1		ribonuclease E inhibitor RraB			A4D02_RS00005	378	125	
gene	protein_coding	GCF_002077985.1	Primary Assembly	unplaced scaffold		NZ_LWBO01000001.1	656	1936	-							A4D02_RS00010	1281		old_locus_tag=A4D02_00010
CDS	with_protein	GCF_002077985.1	Primary Assembly	unplaced scaffold		NZ_LWBO01000001.1	656	1936	-	WP_014222279.1	WP_014222279.1		HipA domain-containing protein			A4D02_RS00010	1281	426	
gene	protein_coding	GCF_002077985.1	Primary Assembly	unplaced scaffold		NZ_LWBO01000001.1	1940	2245	-							A4D02_RS00015	306		old_locus_tag=A4D02_00015
CDS	with_protein	GCF_002077985.1	Primary Assembly	unplaced scaffold		NZ_LWBO01000001.1	1940	2245	-	WP_041347488.1	WP_041347488.1		helix-turn-helix domain-containing protein			A4D02_RS00015	306	101	
gene	protein_coding	GCF_002077985.1	Primary Assembly	unplaced scaffold		NZ_LWBO01000001.1	2409	3617	-							A4D02_RS00020	1209		old_locus_tag=A4D02_00020
CDS	with_protein	GCF_002077985.1	Primary Assembly	unplaced scaffold		NZ_LWBO01000001.1	2409	3617	-	WP_049815640.1	WP_049815640.1		site-specific integrase			A4D02_RS00020	1209	402	
gene	protein_coding	GCF_002077985.1	Primary Assembly	unplaced scaffold		NZ_LWBO01000001.1	3635	4216	+							A4D02_RS00025	582		old_locus_tag=A4D02_00025
CDS	with_protein	GCF_002077985.1	Primary Assembly	unplaced scaffold		NZ_LWBO01000001.1	3635	4216	+	WP_014222282.1	WP_014222282.1		hypothetical protein			A4D02_RS00025	582	193	
