# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	64	234	+							KGA68_RS00005	171		old_locus_tag=KGA68_00005
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	64	234	+	WP_211592808.1	WP_211592808.1		DUF4357 domain-containing protein			KGA68_RS00005	171	56	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	231	1070	-							KGA68_RS00010	840		old_locus_tag=KGA68_00010
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	231	1070	-	WP_211592810.1	WP_211592810.1		DMT family transporter			KGA68_RS00010	840	279	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	1082	1453	-							KGA68_RS00015	372		old_locus_tag=KGA68_00015
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	1082	1453	-	WP_211592812.1	WP_211592812.1		ectoine synthase			KGA68_RS00015	372	123	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	1450	1944	-					ectA		KGA68_RS00020	495		old_locus_tag=KGA68_00020
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	1450	1944	-	WP_211592814.1	WP_211592814.1		diaminobutyrate acetyltransferase	ectA		KGA68_RS00020	495	164	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	2039	2947	+							KGA68_RS00025	909		old_locus_tag=KGA68_00025
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	2039	2947	+	WP_211592816.1	WP_211592816.1		LysR family transcriptional regulator			KGA68_RS00025	909	302	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	2989	4080	+							KGA68_RS00030	1092		old_locus_tag=KGA68_00030
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	2989	4080	+	WP_211592818.1	WP_211592818.1		hypothetical protein			KGA68_RS00030	1092	363	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	4229	5149	-							KGA68_RS00035	921		old_locus_tag=KGA68_00035
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	4229	5149	-	WP_211592825.1	WP_211592825.1		DMT family transporter			KGA68_RS00035	921	306	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	5243	6217	+							KGA68_RS00040	975		old_locus_tag=KGA68_00040
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	5243	6217	+	WP_211592827.1	WP_211592827.1		LysR family transcriptional regulator			KGA68_RS00040	975	324	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	6780	7304	+							KGA68_RS00045	525		old_locus_tag=KGA68_00045
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	6780	7304	+	WP_211592829.1	WP_211592829.1		DNA-binding protein			KGA68_RS00045	525	174	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	7339	7521	+							KGA68_RS00050	183		old_locus_tag=KGA68_00050
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	7339	7521	+	WP_211592831.1	WP_211592831.1		hypothetical protein			KGA68_RS00050	183	60	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	7562	7936	-							KGA68_RS00055	375		old_locus_tag=KGA68_00055
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	7562	7936	-	WP_211592833.1	WP_211592833.1		GFA family protein			KGA68_RS00055	375	124	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	8253	9074	+							KGA68_RS00060	822		old_locus_tag=KGA68_00060
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	8253	9074	+	WP_211592835.1	WP_211592835.1		type IV toxin-antitoxin system AbiEi family antitoxin			KGA68_RS00060	822	273	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	9064	9981	+							KGA68_RS00065	918		old_locus_tag=KGA68_00065
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	9064	9981	+	WP_211593505.1	WP_211593505.1		nucleotidyl transferase AbiEii/AbiGii toxin family protein			KGA68_RS00065	918	305	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	10077	11027	+							KGA68_RS00070	951		old_locus_tag=KGA68_00070
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	10077	11027	+	WP_211592837.1	WP_211592837.1		DUF808 domain-containing protein			KGA68_RS00070	951	316	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	11199	11780	+							KGA68_RS00075	582		old_locus_tag=KGA68_00075
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	11199	11780	+	WP_211592839.1	WP_211592839.1		DedA family protein			KGA68_RS00075	582	193	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	12044	13054	+							KGA68_RS00080	1011		old_locus_tag=KGA68_00080
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	12044	13054	+	WP_211592841.1	WP_211592841.1		TRAP transporter substrate-binding protein			KGA68_RS00080	1011	336	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	13138	13641	+							KGA68_RS00085	504		old_locus_tag=KGA68_00085
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	13138	13641	+	WP_088700702.1	WP_088700702.1		TRAP transporter small permease			KGA68_RS00085	504	167	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	13646	14926	+							KGA68_RS00090	1281		old_locus_tag=KGA68_00090
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	13646	14926	+	WP_211592843.1	WP_211592843.1		TRAP transporter large permease			KGA68_RS00090	1281	426	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	14951	16549	+					ggt		KGA68_RS00095	1599		old_locus_tag=KGA68_00095
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	14951	16549	+	WP_211592845.1	WP_211592845.1		gamma-glutamyltransferase	ggt		KGA68_RS00095	1599	532	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	16575	17261	+							KGA68_RS00100	687		old_locus_tag=KGA68_00100
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	16575	17261	+	WP_211592847.1	WP_211592847.1		TetR family transcriptional regulator			KGA68_RS00100	687	228	
gene	pseudogene	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	17368	18138	-							KGA68_RS00105	771		partial;pseudo;old_locus_tag=KGA68_00105
CDS	without_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	17368	18138	-				helix-turn-helix transcriptional regulator			KGA68_RS00105	771		partial;pseudo
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	18246	19055	+							KGA68_RS00110	810		old_locus_tag=KGA68_00110
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	18246	19055	+	WP_211592849.1	WP_211592849.1		sulfite exporter TauE/SafE family protein			KGA68_RS00110	810	269	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	19232	20155	+							KGA68_RS00115	924		old_locus_tag=KGA68_00115
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	19232	20155	+	WP_211592854.1	WP_211592854.1		MarR family transcriptional regulator/GNAT family N-acetyltransferase			KGA68_RS00115	924	307	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	20539	20733	+							KGA68_RS00120	195		old_locus_tag=KGA68_00120
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	20539	20733	+	WP_211593506.1	WP_211593506.1		hypothetical protein			KGA68_RS00120	195	64	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	20774	21148	-							KGA68_RS00125	375		old_locus_tag=KGA68_00125
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	20774	21148	-	WP_211592855.1	WP_211592855.1		GFA family protein			KGA68_RS00125	375	124	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	21682	22692	+							KGA68_RS00130	1011		old_locus_tag=KGA68_00130
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	21682	22692	+	WP_088700710.1	WP_088700710.1		hypothetical protein			KGA68_RS00130	1011	336	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	22886	23836	+							KGA68_RS00135	951		old_locus_tag=KGA68_00135
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	22886	23836	+	WP_088700711.1	WP_088700711.1		DUF808 domain-containing protein			KGA68_RS00135	951	316	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	24002	25195	-							KGA68_RS00140	1194		old_locus_tag=KGA68_00140
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	24002	25195	-	WP_205737540.1	WP_205737540.1		CmlA/FloR family chloramphenicol efflux MFS transporter			KGA68_RS00140	1194	397	
gene	pseudogene	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	25507	25851	+							KGA68_RS00145	345		partial;pseudo;old_locus_tag=KGA68_00145
CDS	without_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	25507	25851	+				TSUP family transporter			KGA68_RS00145	345		partial;pseudo
gene	pseudogene	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	26063	26590	+							KGA68_RS00150	528		pseudo;old_locus_tag=KGA68_00150
CDS	without_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	26063	26590	+				virulence RhuM family protein			KGA68_RS00150	528		pseudo
gene	pseudogene	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	26606	27391	+							KGA68_RS00155	786		pseudo;old_locus_tag=KGA68_00155
CDS	without_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	26606	27391	+				PhzF family phenazine biosynthesis protein			KGA68_RS00155	786		pseudo
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	27621	28700	-							KGA68_RS00160	1080		old_locus_tag=KGA68_00160
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	27621	28700	-	WP_211592856.1	WP_211592856.1		HAMP domain-containing histidine kinase			KGA68_RS00160	1080	359	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	28697	29431	-							KGA68_RS00165	735		old_locus_tag=KGA68_00165
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	28697	29431	-	WP_211592857.1	WP_211592857.1		response regulator transcription factor			KGA68_RS00165	735	244	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	29571	30731	+							KGA68_RS00170	1161		old_locus_tag=KGA68_00170
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	29571	30731	+	WP_211592858.1	WP_211592858.1		efflux RND transporter periplasmic adaptor subunit			KGA68_RS00170	1161	386	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	30750	33854	+							KGA68_RS00175	3105		old_locus_tag=KGA68_00175
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	30750	33854	+	WP_211592860.1	WP_211592860.1		multidrug efflux RND transporter permease subunit			KGA68_RS00175	3105	1034	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	33893	35407	+							KGA68_RS00180	1515		old_locus_tag=KGA68_00180
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	33893	35407	+	WP_088700717.1	WP_088700717.1		MFS transporter			KGA68_RS00180	1515	504	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	35536	36045	-							KGA68_RS00185	510		old_locus_tag=KGA68_00185
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	35536	36045	-	WP_211592862.1	WP_211592862.1		cupin			KGA68_RS00185	510	169	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	36277	37476	+							KGA68_RS00190	1200		old_locus_tag=KGA68_00190
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	36277	37476	+	WP_211592864.1	WP_211592864.1		Bcr/CflA family efflux MFS transporter			KGA68_RS00190	1200	399	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	37846	39972	+							KGA68_RS00195	2127		old_locus_tag=KGA68_00195
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	37846	39972	+	WP_211592866.1	WP_211592866.1		TonB-dependent siderophore receptor			KGA68_RS00195	2127	708	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	40053	40349	-							KGA68_RS00200	297		old_locus_tag=KGA68_00200
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	40053	40349	-	WP_211592868.1	WP_211592868.1		DUF1330 domain-containing protein			KGA68_RS00200	297	98	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	40626	43745	+							KGA68_RS00205	3120		old_locus_tag=KGA68_00205
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	40626	43745	+	WP_211592870.1	WP_211592870.1		AAA family ATPase			KGA68_RS00205	3120	1039	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	43756	45525	-							KGA68_RS00210	1770		old_locus_tag=KGA68_00210
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	43756	45525	-	WP_211592872.1	WP_211592872.1		FAD-dependent oxidoreductase			KGA68_RS00210	1770	589	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	45642	46079	+							KGA68_RS00215	438		old_locus_tag=KGA68_00215
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	45642	46079	+	WP_211592874.1	WP_211592874.1		VapA/VapB family virulence-associated protein			KGA68_RS00215	438	145	
gene	pseudogene	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	46152	46575	-							KGA68_RS00220	424		pseudo;old_locus_tag=KGA68_00220
CDS	without_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	46152	46575	-				S-ribosylhomocysteine lyase			KGA68_RS00220	424		pseudo
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	46594	47112	-							KGA68_RS00225	519		old_locus_tag=KGA68_00225
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	46594	47112	-	WP_211592876.1	WP_211592876.1		hypothetical protein			KGA68_RS00225	519	172	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	47307	48257	+					pip		KGA68_RS00230	951		old_locus_tag=KGA68_00230
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	47307	48257	+	WP_211592878.1	WP_211592878.1		prolyl aminopeptidase	pip		KGA68_RS00230	951	316	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	48559	49782	+							KGA68_RS00235	1224		old_locus_tag=KGA68_00235
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	48559	49782	+	WP_211593507.1	WP_211593507.1		MFS transporter			KGA68_RS00235	1224	407	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	49854	51035	-							KGA68_RS00240	1182		old_locus_tag=KGA68_00240
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	49854	51035	-	WP_211592880.1	WP_211592880.1		AAA family ATPase			KGA68_RS00240	1182	393	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	51504	51680	+							KGA68_RS00245	177		old_locus_tag=KGA68_00245
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	51504	51680	+	WP_211592882.1	WP_211592882.1		hypothetical protein			KGA68_RS00245	177	58	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	51827	52000	+							KGA68_RS00250	174		old_locus_tag=KGA68_00250
CDS	with_protein	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	51827	52000	+	WP_211592884.1	WP_211592884.1		hypothetical protein			KGA68_RS00250	174	57	
gene	protein_coding	GCF_018310235.1	Primary Assembly	unplaced scaffold		NZ_JAGWDL010000001.1	52286	53386	-							KGA68_RS00255	1101		old_locus_tag=KGA68_00255
