# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	72	1415	+					dnaA		SLIT_RS00005	1344		old_locus_tag=Slit_0001
CDS	with_protein	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	72	1415	+	WP_013028142.1	WP_013028142.1		chromosomal replication initiator protein DnaA	dnaA		SLIT_RS00005	1344	447	
gene	protein_coding	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	1619	2722	+					dnaN		SLIT_RS00010	1104		old_locus_tag=Slit_0002
CDS	with_protein	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	1619	2722	+	WP_013028143.1	WP_013028143.1		DNA polymerase III subunit beta	dnaN		SLIT_RS00010	1104	367	
gene	protein_coding	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	2758	5187	+					gyrB		SLIT_RS00015	2430		old_locus_tag=Slit_0003
CDS	with_protein	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	2758	5187	+	WP_013028144.1	WP_013028144.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		SLIT_RS00015	2430	809	
gene	protein_coding	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	5180	5380	+							SLIT_RS00020	201		
CDS	with_protein	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	5180	5380	+	WP_041420704.1	WP_041420704.1		hypothetical protein			SLIT_RS00020	201	66	
gene	protein_coding	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	5672	8302	-					topA		SLIT_RS00025	2631		old_locus_tag=Slit_0004
CDS	with_protein	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	5672	8302	-	WP_013028145.1	WP_013028145.1		type I DNA topoisomerase	topA		SLIT_RS00025	2631	876	
gene	protein_coding	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	8308	8763	-							SLIT_RS00030	456		old_locus_tag=Slit_0005
CDS	with_protein	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	8308	8763	-	WP_013028146.1	WP_013028146.1		DUF494 domain-containing protein			SLIT_RS00030	456	151	
gene	protein_coding	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	8778	9842	-					dprA		SLIT_RS00035	1065		old_locus_tag=Slit_0006
CDS	with_protein	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	8778	9842	-	WP_013028147.1	WP_013028147.1		DNA-processing protein DprA	dprA		SLIT_RS00035	1065	354	
gene	protein_coding	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	9846	10925	-							SLIT_RS00040	1080		old_locus_tag=Slit_0007
CDS	with_protein	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	9846	10925	-	WP_013028148.1	WP_013028148.1		LysM peptidoglycan-binding domain-containing protein			SLIT_RS00040	1080	359	
gene	protein_coding	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	11016	11519	+					def		SLIT_RS00045	504		old_locus_tag=Slit_0008
CDS	with_protein	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	11016	11519	+	WP_013028149.1	WP_013028149.1		peptide deformylase	def		SLIT_RS00045	504	167	
gene	protein_coding	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	11530	12459	+					fmt		SLIT_RS00050	930		old_locus_tag=Slit_0009
CDS	with_protein	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	11530	12459	+	WP_013028150.1	WP_013028150.1		methionyl-tRNA formyltransferase	fmt		SLIT_RS00050	930	309	
gene	protein_coding	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	12462	13736	+					rsmB		SLIT_RS00055	1275		old_locus_tag=Slit_0010
CDS	with_protein	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	12462	13736	+	WP_013028151.1	WP_013028151.1		16S rRNA (cytosine(967)-C(5))-methyltransferase RsmB	rsmB		SLIT_RS00055	1275	424	
gene	protein_coding	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	13759	14343	+							SLIT_RS00060	585		old_locus_tag=Slit_0011
CDS	with_protein	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	13759	14343	+	WP_223293872.1	WP_223293872.1		DUF4390 domain-containing protein			SLIT_RS00060	585	194	
gene	protein_coding	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	14340	16478	+							SLIT_RS00065	2139		old_locus_tag=Slit_0012
CDS	with_protein	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	14340	16478	+	WP_013028153.1	WP_013028153.1		PAS-domain containing protein			SLIT_RS00065	2139	712	
gene	protein_coding	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	16478	17119	+							SLIT_RS00070	642		old_locus_tag=Slit_0013
CDS	with_protein	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	16478	17119	+	WP_013028154.1	WP_013028154.1		response regulator			SLIT_RS00070	642	213	
gene	protein_coding	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	17246	19264	+					tkt		SLIT_RS00075	2019		old_locus_tag=Slit_0014
CDS	with_protein	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	17246	19264	+	WP_013028155.1	WP_013028155.1		transketolase	tkt		SLIT_RS00075	2019	672	
gene	protein_coding	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	19381	20382	+					gap		SLIT_RS00080	1002		old_locus_tag=Slit_0015
CDS	with_protein	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	19381	20382	+	WP_013028156.1	WP_013028156.1		type I glyceraldehyde-3-phosphate dehydrogenase	gap		SLIT_RS00080	1002	333	
gene	protein_coding	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	20449	21630	+							SLIT_RS00085	1182		old_locus_tag=Slit_0016
CDS	with_protein	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	20449	21630	+	WP_013028157.1	WP_013028157.1		phosphoglycerate kinase			SLIT_RS00085	1182	393	
gene	protein_coding	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	21646	23085	+					pyk		SLIT_RS00090	1440		old_locus_tag=Slit_0017
CDS	with_protein	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	21646	23085	+	WP_013028158.1	WP_013028158.1		pyruvate kinase	pyk		SLIT_RS00090	1440	479	
gene	protein_coding	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	23136	24200	+					fba		SLIT_RS00095	1065		old_locus_tag=Slit_0018
CDS	with_protein	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	23136	24200	+	WP_013028159.1	WP_013028159.1		fructose-bisphosphate aldolase class II	fba		SLIT_RS00095	1065	354	
gene	protein_coding	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	24499	24852	+							SLIT_RS00100	354		old_locus_tag=Slit_0019
CDS	with_protein	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	24499	24852	+	WP_013028160.1	WP_013028160.1		cytochrome c			SLIT_RS00100	354	117	
gene	protein_coding	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	24899	25774	-							SLIT_RS00105	876		old_locus_tag=Slit_0020
CDS	with_protein	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	24899	25774	-	WP_223293806.1	WP_223293806.1		EamA family transporter			SLIT_RS00105	876	291	
gene	protein_coding	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	25946	26875	-							SLIT_RS00110	930		old_locus_tag=Slit_0021
CDS	with_protein	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	25946	26875	-	WP_013028162.1	WP_013028162.1		LysR family transcriptional regulator			SLIT_RS00110	930	309	
gene	protein_coding	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	27004	28383	+							SLIT_RS00115	1380		old_locus_tag=Slit_0022
CDS	with_protein	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	27004	28383	+	WP_013028163.1	WP_013028163.1		ribulose-bisphosphate carboxylase			SLIT_RS00115	1380	459	
gene	protein_coding	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	28492	29295	+							SLIT_RS00120	804		old_locus_tag=Slit_0023
CDS	with_protein	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	28492	29295	+	WP_013028164.1	WP_013028164.1		CbbQ/NirQ/NorQ/GpvN family protein			SLIT_RS00120	804	267	
gene	protein_coding	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	29300	31564	+							SLIT_RS00125	2265		old_locus_tag=Slit_0024
CDS	with_protein	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	29300	31564	+	WP_013028165.1	WP_013028165.1		VWA domain-containing protein			SLIT_RS00125	2265	754	
gene	protein_coding	GCF_000025705.1	Primary Assembly	chromosome		NC_013959.1	31633	32634	+							SLIT_RS00130	1002		old_locus_tag=Slit_0025
