# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	126	1466	+							DMR_RS00005	1341		old_locus_tag=DMR_00010
CDS	with_protein	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	126	1466	+	WP_012749586.1	WP_012749586.1		chromosomal replication initiator protein DnaA			DMR_RS00005	1341	446	
gene	protein_coding	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	1834	3027	+							DMR_RS00010	1194		old_locus_tag=DMR_00020
CDS	with_protein	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	1834	3027	+	WP_012749587.1	WP_012749587.1		DNA polymerase III subunit beta			DMR_RS00010	1194	397	
gene	protein_coding	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	3024	5438	+					gyrB		DMR_RS00015	2415		old_locus_tag=DMR_00030
CDS	with_protein	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	3024	5438	+	WP_012749588.1	WP_012749588.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		DMR_RS00015	2415	804	
gene	protein_coding	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	5459	7900	+					gyrA		DMR_RS00020	2442		old_locus_tag=DMR_00040
CDS	with_protein	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	5459	7900	+	WP_012749589.1	WP_012749589.1		DNA gyrase subunit A	gyrA		DMR_RS00020	2442	813	
gene	protein_coding	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	7879	8685	+							DMR_RS00025	807		old_locus_tag=DMR_00050
CDS	with_protein	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	7879	8685	+	WP_012749590.1	WP_012749590.1		hypothetical protein			DMR_RS00025	807	268	
gene	protein_coding	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	8788	9663	+							DMR_RS00030	876		old_locus_tag=DMR_00060
CDS	with_protein	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	8788	9663	+	WP_012749591.1	WP_012749591.1		PilZ domain-containing protein			DMR_RS00030	876	291	
gene	protein_coding	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	9691	10911	+					coaBC		DMR_RS00035	1221		old_locus_tag=DMR_00070
CDS	with_protein	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	9691	10911	+	WP_012749592.1	WP_012749592.1		bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC	coaBC		DMR_RS00035	1221	406	
gene	protein_coding	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	10887	11714	+							DMR_RS00040	828		old_locus_tag=DMR_00080
CDS	with_protein	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	10887	11714	+	WP_043599729.1	WP_043599729.1		hypothetical protein			DMR_RS00040	828	275	
gene	protein_coding	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	11686	13014	+							DMR_RS00045	1329		old_locus_tag=DMR_00090
CDS	with_protein	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	11686	13014	+	WP_012749594.1	WP_012749594.1		nodulation protein NfeD			DMR_RS00045	1329	442	
gene	protein_coding	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	13138	13998	+							DMR_RS00050	861		old_locus_tag=DMR_00100
CDS	with_protein	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	13138	13998	+	WP_012749595.1	WP_012749595.1		slipin family protein			DMR_RS00050	861	286	
gene	protein_coding	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	14062	15069	+							DMR_RS00055	1008		old_locus_tag=DMR_00110
CDS	with_protein	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	14062	15069	+	WP_012749596.1	WP_012749596.1		NAD-dependent epimerase			DMR_RS00055	1008	335	
gene	protein_coding	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	15147	15437	+							DMR_RS00060	291		old_locus_tag=DMR_00120
CDS	with_protein	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	15147	15437	+	WP_006919851.1	WP_006919851.1		GAK system XXXCH domain-containing protein			DMR_RS00060	291	96	
gene	protein_coding	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	15519	16289	+							DMR_RS00065	771		old_locus_tag=DMR_00130
CDS	with_protein	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	15519	16289	+	WP_012749597.1	WP_012749597.1		AAA family ATPase			DMR_RS00065	771	256	
gene	protein_coding	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	16365	16796	-							DMR_RS00070	432		old_locus_tag=DMR_00140
CDS	with_protein	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	16365	16796	-	WP_012749598.1	WP_012749598.1		hypothetical protein			DMR_RS00070	432	143	
gene	protein_coding	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	16927	17853	+							DMR_RS00075	927		old_locus_tag=DMR_00150
CDS	with_protein	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	16927	17853	+	WP_012749599.1	WP_012749599.1		ParB/RepB/Spo0J family partition protein			DMR_RS00075	927	308	
gene	protein_coding	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	17850	18896	+							DMR_RS00080	1047		old_locus_tag=DMR_00160
CDS	with_protein	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	17850	18896	+	WP_012749600.1	WP_012749600.1		PfkB family carbohydrate kinase			DMR_RS00080	1047	348	
gene	protein_coding	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	18940	19269	+							DMR_RS00085	330		old_locus_tag=DMR_00170
CDS	with_protein	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	18940	19269	+	WP_012749601.1	WP_012749601.1		STAS domain-containing protein			DMR_RS00085	330	109	
gene	protein_coding	GCF_000010665.1	Primary Assembly	chromosome		NC_012796.1	19291	20061	+							DMR_RS00090	771		old_locus_tag=DMR_00180
