# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	54	1493	+					dnaA		CYAGR_RS00005	1440		old_locus_tag=Cyagr_0001
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	54	1493	+	WP_156818660.1	WP_156818660.1		chromosomal replication initiator protein DnaA	dnaA		CYAGR_RS00005	1440	479	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	1497	2465	-					cbbX		CYAGR_RS00010	969		old_locus_tag=Cyagr_0002
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	1497	2465	-	WP_015107682.1	WP_015107682.1		CbbX protein	cbbX		CYAGR_RS00010	969	322	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	2452	2697	-							CYAGR_RS00015	246		old_locus_tag=Cyagr_0003
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	2452	2697	-	WP_015107683.1	WP_015107683.1		4a-hydroxytetrahydrobiopterin dehydratase			CYAGR_RS00015	246	81	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	2713	3873	-							CYAGR_RS00020	1161		old_locus_tag=Cyagr_0004
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	2713	3873	-	WP_015107684.1	WP_015107684.1		CO2 hydration protein			CYAGR_RS00020	1161	386	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	3870	5402	-							CYAGR_RS00025	1533		old_locus_tag=Cyagr_0005
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	3870	5402	-	WP_015107685.1	WP_015107685.1		NADH-quinone oxidoreductase subunit M			CYAGR_RS00025	1533	510	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	5410	7254	-							CYAGR_RS00030	1845		old_locus_tag=Cyagr_0006
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	5410	7254	-	WP_015107686.1	WP_015107686.1		NAD(P)H-quinone oxidoreductase subunit F			CYAGR_RS00030	1845	614	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	7268	7735	-							CYAGR_RS00035	468		old_locus_tag=Cyagr_0007
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	7268	7735	-	WP_015107687.1	WP_015107687.1		bacterioferritin (cytochrome b1)			CYAGR_RS00035	468	155	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	7741	8037	-							CYAGR_RS17925	297		
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	7741	8037	-	WP_106221570.1	WP_106221570.1		BMC domain-containing protein			CYAGR_RS17925	297	98	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	8454	8705	-							CYAGR_RS00045	252		old_locus_tag=Cyagr_0009
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	8454	8705	-	WP_015107689.1	WP_015107689.1		carboxysome peptide B			CYAGR_RS00045	252	83	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	8705	9007	-							CYAGR_RS00050	303		old_locus_tag=Cyagr_0010
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	8705	9007	-	WP_015107690.1	WP_015107690.1		carboxysome peptide A			CYAGR_RS00050	303	100	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	9010	10548	-							CYAGR_RS00055	1539		old_locus_tag=Cyagr_0011
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	9010	10548	-	WP_015107691.1	WP_015107691.1		carboxysome shell carbonic anhydrase			CYAGR_RS00055	1539	512	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	10556	12928	-							CYAGR_RS00060	2373		old_locus_tag=Cyagr_0012
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	10556	12928	-	WP_015107692.1	WP_015107692.1		CsoS2 family carboxysome shell protein			CYAGR_RS00060	2373	790	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	13001	13342	-							CYAGR_RS00065	342		old_locus_tag=Cyagr_0013
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	13001	13342	-	WP_015107693.1	WP_015107693.1		ribulose bisphosphate carboxylase small subunit			CYAGR_RS00065	342	113	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	13444	14856	-							CYAGR_RS00070	1413		old_locus_tag=Cyagr_0014
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	13444	14856	-	WP_015107694.1	WP_015107694.1		form I ribulose bisphosphate carboxylase large subunit			CYAGR_RS00070	1413	470	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	14908	15219	-							CYAGR_RS00075	312		old_locus_tag=Cyagr_0015
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	14908	15219	-	WP_015107695.1	WP_015107695.1		BMC domain-containing protein			CYAGR_RS00075	312	103	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	15431	15712	-							CYAGR_RS00080	282		old_locus_tag=Cyagr_0016
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	15431	15712	-	WP_015107696.1	WP_015107696.1		hypothetical protein			CYAGR_RS00080	282	93	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	15781	16797	-							CYAGR_RS00085	1017		old_locus_tag=Cyagr_0017
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	15781	16797	-	WP_015107697.1	WP_015107697.1		sodium-dependent bicarbonate transport family permease			CYAGR_RS00085	1017	338	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	17002	17634	+							CYAGR_RS00090	633		old_locus_tag=Cyagr_0018
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	17002	17634	+	WP_051016968.1	WP_051016968.1		non-canonical purine NTP pyrophosphatase			CYAGR_RS00090	633	210	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	17662	18462	-							CYAGR_RS00095	801		old_locus_tag=Cyagr_0019
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	17662	18462	-	WP_015107699.1	WP_015107699.1		BMC domain-containing protein			CYAGR_RS00095	801	266	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	18701	19135	-							CYAGR_RS00100	435		old_locus_tag=Cyagr_0020
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	18701	19135	-	WP_043325213.1	WP_043325213.1		hypothetical protein			CYAGR_RS00100	435	144	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	19406	19801	+							CYAGR_RS00105	396		old_locus_tag=Cyagr_0021
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	19406	19801	+	WP_156818504.1	WP_156818504.1		hypothetical protein			CYAGR_RS00105	396	131	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	19905	21185	+							CYAGR_RS00110	1281		old_locus_tag=Cyagr_0022
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	19905	21185	+	WP_051016971.1	WP_051016971.1		ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit N			CYAGR_RS00110	1281	426	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	21193	22878	+							CYAGR_RS00115	1686		old_locus_tag=Cyagr_0023
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	21193	22878	+	WP_015107702.1	WP_015107702.1		ferredoxin:protochlorophyllide reductase (ATP-dependent) subunit B			CYAGR_RS00115	1686	561	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	23014	23919	+					bchL		CYAGR_RS00120	906		old_locus_tag=Cyagr_0024
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	23014	23919	+	WP_015107703.1	WP_015107703.1		ferredoxin:protochlorophyllide reductase (ATP-dependent) iron-sulfur ATP-binding protein	bchL		CYAGR_RS00120	906	301	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	23949	24833	-							CYAGR_RS00125	885		old_locus_tag=Cyagr_0025
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	23949	24833	-	WP_015107704.1	WP_015107704.1		hypothetical protein			CYAGR_RS00125	885	294	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	24830	25327	-							CYAGR_RS00130	498		old_locus_tag=Cyagr_0026
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	24830	25327	-	WP_015107705.1	WP_015107705.1		hypothetical protein			CYAGR_RS00130	498	165	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	25429	26454	-							CYAGR_RS00135	1026		old_locus_tag=Cyagr_0027
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	25429	26454	-	WP_015107706.1	WP_015107706.1		protochlorophyllide reductase			CYAGR_RS00135	1026	341	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	26490	27077	-							CYAGR_RS18785	588		old_locus_tag=Cyagr_0028
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	26490	27077	-	WP_015107707.1	WP_015107707.1		hypothetical protein			CYAGR_RS18785	588	195	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	27150	27254	-							CYAGR_RS00145	105		old_locus_tag=Cyagr_0029
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	27150	27254	-	WP_043325215.1	WP_043325215.1		photosystem I reaction center subunit XII			CYAGR_RS00145	105	34	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	27346	27843	+							CYAGR_RS00150	498		old_locus_tag=Cyagr_0030
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	27346	27843	+	WP_015107709.1	WP_015107709.1		CRR6 family NdhI maturation factor			CYAGR_RS00150	498	165	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	27903	28688	+							CYAGR_RS00155	786		old_locus_tag=Cyagr_0031
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	27903	28688	+	WP_015107710.1	WP_015107710.1		lipoate--protein ligase A			CYAGR_RS00155	786	261	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	28622	29929	-							CYAGR_RS00160	1308		old_locus_tag=Cyagr_0032
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	28622	29929	-	WP_043326051.1	WP_043326051.1		site-2 protease family protein			CYAGR_RS00160	1308	435	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	30003	30686	+							CYAGR_RS00165	684		old_locus_tag=Cyagr_0033
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	30003	30686	+	WP_015107712.1	WP_015107712.1		phosphoribosylanthranilate isomerase			CYAGR_RS00165	684	227	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	30743	31276	+							CYAGR_RS00170	534		old_locus_tag=Cyagr_0034
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	30743	31276	+	WP_015107713.1	WP_015107713.1		hypothetical protein			CYAGR_RS00170	534	177	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	31283	32026	-							CYAGR_RS00175	744		old_locus_tag=Cyagr_0035
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	31283	32026	-	WP_015107714.1	WP_015107714.1		GTP cyclohydrolase I			CYAGR_RS00175	744	247	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	32035	32745	-							CYAGR_RS00180	711		old_locus_tag=Cyagr_0036
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	32035	32745	-	WP_015107715.1	WP_015107715.1		SDR family oxidoreductase			CYAGR_RS00180	711	236	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	32772	33761	-							CYAGR_RS00185	990		old_locus_tag=Cyagr_0037
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	32772	33761	-	WP_015107716.1	WP_015107716.1		acetyl-CoA carboxylase carboxyltransferase subunit alpha			CYAGR_RS00185	990	329	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	33781	34830	-							CYAGR_RS00190	1050		old_locus_tag=Cyagr_0038
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	33781	34830	-	WP_015107717.1	WP_015107717.1		long-chain acyl-[acyl-carrier-protein] reductase			CYAGR_RS00190	1050	349	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	34913	35653	-							CYAGR_RS00195	741		old_locus_tag=Cyagr_0039
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	34913	35653	-	WP_015107718.1	WP_015107718.1		aldehyde oxygenase (deformylating)			CYAGR_RS00195	741	246	
gene	protein_coding	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	35689	36495	-							CYAGR_RS00200	807		old_locus_tag=Cyagr_0040
CDS	with_protein	GCF_000316515.1	Primary Assembly	chromosome		NC_019675.1	35689	36495	-	WP_015107719.1	WP_015107719.1		creatininase family protein			CYAGR_RS00200	807	268	
