# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000773865.1	Primary Assembly	unplaced scaffold		NZ_JRPN01000001.1	1	817	+							MA20_RS00005	817		partial;old_locus_tag=MA20_00005
CDS	with_protein	GCF_000773865.1	Primary Assembly	unplaced scaffold		NZ_JRPN01000001.1	1	817	+	WP_152620718.1	WP_152620718.1		IS110 family transposase			MA20_RS00005	817	271	partial
gene	protein_coding	GCF_000773865.1	Primary Assembly	unplaced scaffold		NZ_JRPN01000001.1	2119	2520	+							MA20_RS00010	402		old_locus_tag=MA20_00010
CDS	with_protein	GCF_000773865.1	Primary Assembly	unplaced scaffold		NZ_JRPN01000001.1	2119	2520	+	WP_041953053.1	WP_041953053.1		hypothetical protein			MA20_RS00010	402	133	
gene	protein_coding	GCF_000773865.1	Primary Assembly	unplaced scaffold		NZ_JRPN01000001.1	2927	3346	+							MA20_RS00015	420		old_locus_tag=MA20_00015
CDS	with_protein	GCF_000773865.1	Primary Assembly	unplaced scaffold		NZ_JRPN01000001.1	2927	3346	+	WP_041953497.1	WP_041953497.1		CopG family transcriptional regulator			MA20_RS00015	420	139	
gene	protein_coding	GCF_000773865.1	Primary Assembly	unplaced scaffold		NZ_JRPN01000001.1	3350	4540	+							MA20_RS00020	1191		old_locus_tag=MA20_00020
CDS	with_protein	GCF_000773865.1	Primary Assembly	unplaced scaffold		NZ_JRPN01000001.1	3350	4540	+	WP_041953055.1	WP_041953055.1		PHB depolymerase family esterase			MA20_RS00020	1191	396	
gene	pseudogene	GCF_000773865.1	Primary Assembly	unplaced scaffold		NZ_JRPN01000001.1	4625	4897	+							MA20_RS00025	273		partial;pseudo;old_locus_tag=MA20_00025
CDS	without_protein	GCF_000773865.1	Primary Assembly	unplaced scaffold		NZ_JRPN01000001.1	4625	4897	+				phasin family protein			MA20_RS00025	273		partial;pseudo
gene	pseudogene	GCF_000773865.1	Primary Assembly	unplaced scaffold		NZ_JRPN01000001.1	5405	5664	+							MA20_RS00035	260		pseudo;old_locus_tag=MA20_00035
CDS	without_protein	GCF_000773865.1	Primary Assembly	unplaced scaffold		NZ_JRPN01000001.1	5405	5664	+				hypothetical protein			MA20_RS00035	260		pseudo
gene	protein_coding	GCF_000773865.1	Primary Assembly	unplaced scaffold		NZ_JRPN01000001.1	5689	5943	+							MA20_RS00040	255		old_locus_tag=MA20_00040
CDS	with_protein	GCF_000773865.1	Primary Assembly	unplaced scaffold		NZ_JRPN01000001.1	5689	5943	+	WP_041953058.1	WP_041953058.1		hypothetical protein			MA20_RS00040	255	84	
gene	pseudogene	GCF_000773865.1	Primary Assembly	unplaced scaffold		NZ_JRPN01000001.1	6551	6769	-							MA20_RS54695	219		partial;pseudo
CDS	without_protein	GCF_000773865.1	Primary Assembly	unplaced scaffold		NZ_JRPN01000001.1	6551	6769	-				hypothetical protein			MA20_RS54695	219		partial;pseudo
gene	protein_coding	GCF_000773865.1	Primary Assembly	unplaced scaffold		NZ_JRPN01000001.1	6766	6957	-							MA20_RS00050	192		old_locus_tag=MA20_00050
CDS	with_protein	GCF_000773865.1	Primary Assembly	unplaced scaffold		NZ_JRPN01000001.1	6766	6957	-	WP_038955530.1	WP_038955530.1		hypothetical protein			MA20_RS00050	192	63	
gene	pseudogene	GCF_000773865.1	Primary Assembly	unplaced scaffold		NZ_JRPN01000001.1	7267	7467	+							MA20_RS49050	201		partial;pseudo
CDS	without_protein	GCF_000773865.1	Primary Assembly	unplaced scaffold		NZ_JRPN01000001.1	7267	7467	+				helix-turn-helix transcriptional regulator			MA20_RS49050	201		partial;pseudo
gene	protein_coding	GCF_000773865.1	Primary Assembly	unplaced scaffold		NZ_JRPN01000001.1	7532	7849	-							MA20_RS00055	318		old_locus_tag=MA20_00055
CDS	with_protein	GCF_000773865.1	Primary Assembly	unplaced scaffold		NZ_JRPN01000001.1	7532	7849	-	WP_041953061.1	WP_041953061.1		hypothetical protein			MA20_RS00055	318	105	
gene	protein_coding	GCF_000773865.1	Primary Assembly	unplaced scaffold		NZ_JRPN01000001.1	8007	8513	-							MA20_RS00060	507		old_locus_tag=MA20_00060
CDS	with_protein	GCF_000773865.1	Primary Assembly	unplaced scaffold		NZ_JRPN01000001.1	8007	8513	-	WP_041953501.1	WP_041953501.1		DUF417 family protein			MA20_RS00060	507	168	
gene	protein_coding	GCF_000773865.1	Primary Assembly	unplaced scaffold		NZ_JRPN01000001.1	8778	9101	-							MA20_RS54700	324		
CDS	with_protein	GCF_000773865.1	Primary Assembly	unplaced scaffold		NZ_JRPN01000001.1	8778	9101	-	WP_200889970.1	WP_200889970.1		hypothetical protein			MA20_RS54700	324	107	
gene	protein_coding	GCF_000773865.1	Primary Assembly	unplaced scaffold		NZ_JRPN01000001.1	9157	9891	-							MA20_RS00065	735		old_locus_tag=MA20_00065
