# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000020385.1	Primary Assembly	chromosome		NC_010814.1	261	1640	+					dnaA		GLOV_RS00005	1380		old_locus_tag=Glov_0001
CDS	with_protein	GCF_000020385.1	Primary Assembly	chromosome		NC_010814.1	261	1640	+	WP_012468099.1	WP_012468099.1		chromosomal replication initiator protein DnaA	dnaA		GLOV_RS00005	1380	459	
gene	protein_coding	GCF_000020385.1	Primary Assembly	chromosome		NC_010814.1	1870	2988	+							GLOV_RS00010	1119		old_locus_tag=Glov_0002
CDS	with_protein	GCF_000020385.1	Primary Assembly	chromosome		NC_010814.1	1870	2988	+	WP_012468100.1	WP_012468100.1		DNA polymerase III subunit beta			GLOV_RS00010	1119	372	
gene	protein_coding	GCF_000020385.1	Primary Assembly	chromosome		NC_010814.1	3002	4102	+					recF		GLOV_RS00015	1101		old_locus_tag=Glov_0003
CDS	with_protein	GCF_000020385.1	Primary Assembly	chromosome		NC_010814.1	3002	4102	+	WP_167320549.1	WP_167320549.1		DNA replication/repair protein RecF	recF		GLOV_RS00015	1101	366	
gene	protein_coding	GCF_000020385.1	Primary Assembly	chromosome		NC_010814.1	4099	6507	+					gyrB		GLOV_RS00020	2409		old_locus_tag=Glov_0004
CDS	with_protein	GCF_000020385.1	Primary Assembly	chromosome		NC_010814.1	4099	6507	+	WP_012468102.1	WP_012468102.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		GLOV_RS00020	2409	802	
gene	protein_coding	GCF_000020385.1	Primary Assembly	chromosome		NC_010814.1	6869	7249	+							GLOV_RS00025	381		old_locus_tag=Glov_0005
CDS	with_protein	GCF_000020385.1	Primary Assembly	chromosome		NC_010814.1	6869	7249	+	WP_012468103.1	WP_012468103.1		TnsA endonuclease N-terminal domain-containing protein			GLOV_RS00025	381	126	
gene	protein_coding	GCF_000020385.1	Primary Assembly	chromosome		NC_010814.1	7397	8479	-							GLOV_RS00030	1083		old_locus_tag=Glov_0006
CDS	with_protein	GCF_000020385.1	Primary Assembly	chromosome		NC_010814.1	7397	8479	-	WP_012468104.1	WP_012468104.1		IS5-like element ISGlo5 family transposase			GLOV_RS00030	1083	360	
gene	protein_coding	GCF_000020385.1	Primary Assembly	chromosome		NC_010814.1	8837	9946	-							GLOV_RS00035	1110		old_locus_tag=Glov_0007
CDS	with_protein	GCF_000020385.1	Primary Assembly	chromosome		NC_010814.1	8837	9946	-	WP_012468105.1	WP_012468105.1		IS110 family transposase			GLOV_RS00035	1110	369	
gene	protein_coding	GCF_000020385.1	Primary Assembly	chromosome		NC_010814.1	10814	11815	-					ftsZ		GLOV_RS00040	1002		old_locus_tag=Glov_0009
CDS	with_protein	GCF_000020385.1	Primary Assembly	chromosome		NC_010814.1	10814	11815	-	WP_012468106.1	WP_012468106.1		cell division protein FtsZ	ftsZ		GLOV_RS00040	1002	333	
gene	protein_coding	GCF_000020385.1	Primary Assembly	chromosome		NC_010814.1	11831	12718	-							GLOV_RS00045	888		old_locus_tag=Glov_0010
CDS	with_protein	GCF_000020385.1	Primary Assembly	chromosome		NC_010814.1	11831	12718	-	WP_012468107.1	WP_012468107.1		hypothetical protein			GLOV_RS00045	888	295	
gene	protein_coding	GCF_000020385.1	Primary Assembly	chromosome		NC_010814.1	12879	13751	-							GLOV_RS00050	873		old_locus_tag=Glov_0011
CDS	with_protein	GCF_000020385.1	Primary Assembly	chromosome		NC_010814.1	12879	13751	-	WP_012468108.1	WP_012468108.1		hypothetical protein			GLOV_RS00050	873	290	
gene	protein_coding	GCF_000020385.1	Primary Assembly	chromosome		NC_010814.1	13873	15354	+							GLOV_RS00055	1482		old_locus_tag=Glov_0012
CDS	with_protein	GCF_000020385.1	Primary Assembly	chromosome		NC_010814.1	13873	15354	+	WP_012468109.1	WP_012468109.1		DUF2779 domain-containing protein			GLOV_RS00055	1482	493	
