# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000251.1	1	448	+							CCARBDRAFT_RS25850	448		partial;pseudo;old_locus_tag=CcarbDRAFT_5462
CDS	without_protein	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000251.1	1	448	+				glycine/betaine/sarcosine/D-proline family reductase selenoprotein B			CCARBDRAFT_RS25850	448		partial;pseudo
gene	pseudogene	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000250.1	1	448	+							CCARBDRAFT_RS25845	448		partial;pseudo;old_locus_tag=CcarbDRAFT_5461
CDS	without_protein	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000250.1	1	448	+				glycine/betaine/sarcosine/D-proline family reductase selenoprotein B			CCARBDRAFT_RS25845	448		partial;pseudo
gene	protein_coding	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000249.1	1	485	-							CCARBDRAFT_RS25840	485		partial;old_locus_tag=CcarbDRAFT_5460
CDS	with_protein	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000249.1	1	485	-	WP_198138415.1	WP_198138415.1		leucine-rich repeat domain-containing protein			CCARBDRAFT_RS25840	485	161	partial
gene	protein_coding	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000248.1	1	486	-							CCARBDRAFT_RS25835	486		partial;old_locus_tag=CcarbDRAFT_5459
CDS	with_protein	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000248.1	1	486	-	WP_198138414.1	WP_198138414.1		leucine-rich repeat domain-containing protein			CCARBDRAFT_RS25835	486	162	partial
gene	pseudogene	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000247.1	176	539	+							CCARBDRAFT_RS26760	364		partial;pseudo
CDS	without_protein	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000247.1	176	539	+				formate acetyltransferase			CCARBDRAFT_RS26760	364		partial;pseudo
gene	pseudogene	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000246.1	1	604	+							CCARBDRAFT_RS25830	604		partial;pseudo;old_locus_tag=CcarbDRAFT_5457
CDS	without_protein	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000246.1	1	604	+				3-methyl-2-oxobutanoate dehydrogenase subunit beta			CCARBDRAFT_RS25830	604		partial;pseudo
gene	protein_coding	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000245.1	131	625	+							CCARBDRAFT_RS25825	495		partial;old_locus_tag=CcarbDRAFT_5456
CDS	with_protein	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000245.1	131	625	+	WP_007064337.1	WP_007064337.1		FAD-dependent oxidoreductase			CCARBDRAFT_RS25825	495	165	partial
gene	protein_coding	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000244.1	1	583	-							CCARBDRAFT_RS25820	583		partial;old_locus_tag=CcarbDRAFT_5455
CDS	with_protein	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000244.1	1	583	-	WP_007064336.1	WP_007064336.1		MFS transporter			CCARBDRAFT_RS25820	583	194	partial
gene	protein_coding	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000243.1	1	572	-							CCARBDRAFT_RS25815	572		partial;old_locus_tag=CcarbDRAFT_5454
CDS	with_protein	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000243.1	1	572	-	WP_007064335.1	WP_007064335.1		IS1182 family transposase			CCARBDRAFT_RS25815	572	191	partial
gene	protein_coding	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000242.1	1	911	+							CCARBDRAFT_RS25810	911		partial;old_locus_tag=CcarbDRAFT_5453
CDS	with_protein	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000242.1	1	911	+	WP_007064334.1	WP_007064334.1		hypothetical protein			CCARBDRAFT_RS25810	911	302	partial
gene	protein_coding	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000241.1	1	530	-							CCARBDRAFT_RS25800	530		partial;old_locus_tag=CcarbDRAFT_5451
CDS	with_protein	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000241.1	1	530	-	WP_007064332.1	WP_007064332.1		2-oxoacid:acceptor oxidoreductase family protein			CCARBDRAFT_RS25800	530	176	partial
gene	pseudogene	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000241.1	533	1002	-							CCARBDRAFT_RS25805	470		partial;pseudo;old_locus_tag=CcarbDRAFT_5452
CDS	without_protein	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000241.1	533	1002	-				2-oxoglutarate oxidoreductase			CCARBDRAFT_RS25805	470		partial;pseudo
gene	protein_coding	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000240.1	1	1035	+							CCARBDRAFT_RS25795	1035		partial;old_locus_tag=CcarbDRAFT_5450
CDS	with_protein	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000240.1	1	1035	+	WP_007064331.1	WP_007064331.1		DUF2971 domain-containing protein			CCARBDRAFT_RS25795	1035	344	partial
gene	protein_coding	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000239.1	1	1096	-					tuf		CCARBDRAFT_RS25790	1096		partial;old_locus_tag=CcarbDRAFT_5449
CDS	with_protein	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000239.1	1	1096	-	WP_007064330.1	WP_007064330.1		elongation factor Tu	tuf		CCARBDRAFT_RS25790	1096	365	partial
gene	pseudogene	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000238.1	1	291	+							CCARBDRAFT_RS25780	291		partial;pseudo;old_locus_tag=CcarbDRAFT_5447
CDS	without_protein	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000238.1	1	291	+				hypothetical protein			CCARBDRAFT_RS25780	291		partial;pseudo
gene	protein_coding	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000238.1	295	939	+							CCARBDRAFT_RS25785	645		old_locus_tag=CcarbDRAFT_5448
CDS	with_protein	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000238.1	295	939	+	WP_007064329.1	WP_007064329.1		hypothetical protein			CCARBDRAFT_RS25785	645	214	
gene	protein_coding	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000237.1	1	396	-							CCARBDRAFT_RS25770	396		partial;old_locus_tag=CcarbDRAFT_5445
CDS	with_protein	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000237.1	1	396	-	WP_007064326.1	WP_007064326.1		EFR1 family ferrodoxin			CCARBDRAFT_RS25770	396	132	partial
gene	protein_coding	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000237.1	456	1142	-							CCARBDRAFT_RS25775	687		old_locus_tag=CcarbDRAFT_5446
CDS	with_protein	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000237.1	456	1142	-	WP_007064327.1	WP_007064327.1		hypothetical protein			CCARBDRAFT_RS25775	687	228	
gene	tRNA	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000236.1	646	734	+							CCARBDRAFT_RS25765	89		old_locus_tag=CcarbDRAFT_R0057
tRNA		GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000236.1	646	734	+				tRNA-Leu			CCARBDRAFT_RS25765	89		anticodon=TAA
gene	protein_coding	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000236.1	759	935	-							CCARBDRAFT_RS27540	177		old_locus_tag=CcarbDRAFT_5444
CDS	with_protein	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000236.1	759	935	-	WP_007064325.1	WP_007064325.1		hypothetical protein			CCARBDRAFT_RS27540	177	58	
gene	pseudogene	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000235.1	1	1266	-							CCARBDRAFT_RS25760	1266		partial;pseudo;old_locus_tag=CcarbDRAFT_5443
CDS	without_protein	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000235.1	1	1266	-				formate acetyltransferase			CCARBDRAFT_RS25760	1266		partial;pseudo
gene	pseudogene	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000234.1	1	1266	-							CCARBDRAFT_RS25755	1266		partial;pseudo;old_locus_tag=CcarbDRAFT_5442
CDS	without_protein	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000234.1	1	1266	-				formate acetyltransferase			CCARBDRAFT_RS25755	1266		partial;pseudo
gene	tRNA	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000233.1	8	83	+							CCARBDRAFT_RS25745	76		old_locus_tag=CcarbDRAFT_R0056
tRNA		GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000233.1	8	83	+				tRNA-Phe			CCARBDRAFT_RS25745	76		anticodon=GAA
gene	protein_coding	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000233.1	229	975	+							CCARBDRAFT_RS25750	747		old_locus_tag=CcarbDRAFT_5441
CDS	with_protein	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000233.1	229	975	+	WP_007064322.1	WP_007064322.1		peptidylprolyl isomerase			CCARBDRAFT_RS25750	747	248	
gene	protein_coding	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000232.1	202	1428	-							CCARBDRAFT_RS25740	1227		old_locus_tag=CcarbDRAFT_5440
CDS	with_protein	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000232.1	202	1428	-	WP_007064321.1	WP_007064321.1		IS256 family transposase			CCARBDRAFT_RS25740	1227	408	
gene	protein_coding	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000231.1	205	1610	+							CCARBDRAFT_RS25735	1406		partial;old_locus_tag=CcarbDRAFT_5439
CDS	with_protein	GCF_000175595.1	Primary Assembly	unplaced scaffold		NZ_ACVI01000231.1	205	1610	+	WP_007064320.1	WP_007064320.1		MFS transporter			CCARBDRAFT_RS25735	1406	468	partial
