# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	1	1335	+					dnaA		LC603172_RS00005	1335		
CDS	with_protein	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	1	1335	+	WP_002799330.1	WP_002799330.1		chromosomal replication initiator protein DnaA	dnaA		LC603172_RS00005	1335	444	
gene	protein_coding	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	1469	2419	-							LC603172_RS00010	951		old_locus_tag=MAN88_00010
CDS	with_protein	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	1469	2419	-	WP_061432194.1	WP_061432194.1		heme o synthase			LC603172_RS00010	951	316	
gene	protein_coding	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	2546	3457	-							LC603172_RS00015	912		old_locus_tag=MAN88_00020
CDS	with_protein	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	2546	3457	-	WP_081106808.1	WP_081106808.1		heme A synthase			LC603172_RS00015	912	303	
gene	protein_coding	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	3772	4737	+							LC603172_RS00020	966		old_locus_tag=MAN88_00030
CDS	with_protein	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	3772	4737	+	WP_061432192.1	WP_061432192.1		cytochrome c oxidase subunit II			LC603172_RS00020	966	321	
gene	protein_coding	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	4767	6443	+					ctaD		LC603172_RS00025	1677		old_locus_tag=MAN88_00040
CDS	with_protein	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	4767	6443	+	WP_061432191.1	WP_061432191.1		cytochrome c oxidase subunit I	ctaD		LC603172_RS00025	1677	558	
gene	protein_coding	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	6594	7217	+							LC603172_RS00030	624		old_locus_tag=MAN88_00050
CDS	with_protein	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	6594	7217	+	WP_061432190.1	WP_061432190.1		heme-copper oxidase subunit III			LC603172_RS00030	624	207	
gene	protein_coding	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	7539	7901	-							LC603172_RS00035	363		old_locus_tag=MAN88_00060
CDS	with_protein	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	7539	7901	-	WP_061432189.1	WP_061432189.1		acyl carrier protein			LC603172_RS00035	363	120	
gene	pseudogene	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	7879	8253	-							LC603172_RS00040	375		partial;pseudo;old_locus_tag=MAN88_00070
CDS	without_protein	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	7879	8253	-				acyl-CoA dehydrogenase			LC603172_RS00040	375		partial;pseudo
gene	protein_coding	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	8435	8605	+							LC603172_RS00045	171		
CDS	with_protein	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	8435	8605	+	WP_221275324.1	WP_221275324.1		hypothetical protein			LC603172_RS00045	171	56	
gene	protein_coding	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	8626	9848	-							LC603172_RS00050	1223		
CDS	with_protein	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	8626	9848	-	WP_155120306.1	WP_155120306.1		ISAzo13-like element ISMae28 family transposase			LC603172_RS00050	1224	407	ribosomal_slippage
gene	pseudogene	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	10000	11427	-							LC603172_RS00055	1428		partial;pseudo;old_locus_tag=MAN88_00100
CDS	without_protein	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	10000	11427	-				acyl-CoA dehydrogenase family protein			LC603172_RS00055	1428		partial;pseudo
gene	protein_coding	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	11630	11944	+							LC603172_RS00060	315		old_locus_tag=MAN88_00110
CDS	with_protein	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	11630	11944	+	WP_061432187.1	WP_061432187.1		calcium-binding protein			LC603172_RS00060	315	104	
gene	protein_coding	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	11920	12270	+							LC603172_RS00065	351		old_locus_tag=MAN88_00120
CDS	with_protein	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	11920	12270	+	WP_061432186.1	WP_061432186.1		hypothetical protein			LC603172_RS00065	351	116	
gene	protein_coding	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	12419	12844	-							LC603172_RS00070	426		old_locus_tag=MAN88_00130
CDS	with_protein	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	12419	12844	-	WP_061432185.1	WP_061432185.1		DUF29 domain-containing protein			LC603172_RS00070	426	141	
gene	protein_coding	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	13233	14105	+							LC603172_RS00075	873		old_locus_tag=MAN88_00140
CDS	with_protein	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	13233	14105	+	WP_061432184.1	WP_061432184.1		FkbM family methyltransferase			LC603172_RS00075	873	290	
gene	pseudogene	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	14263	14388	-							LC603172_RS00080	126		partial;pseudo
CDS	without_protein	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	14263	14388	-				IS630 family transposase			LC603172_RS00080	126		partial;pseudo
gene	protein_coding	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	14335	14529	+							LC603172_RS00085	195		old_locus_tag=MAN88_00150
CDS	with_protein	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	14335	14529	+	WP_061432183.1	WP_061432183.1		hypothetical protein			LC603172_RS00085	195	64	
gene	protein_coding	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	14597	16102	-							LC603172_RS00090	1506		old_locus_tag=MAN88_00160
CDS	with_protein	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	14597	16102	-	WP_061432182.1	WP_061432182.1		RluA family pseudouridine synthase			LC603172_RS00090	1506	501	
gene	protein_coding	GCF_019704275.1	Primary Assembly	chromosome		NZ_AP024565.1	16136	17398	-							LC603172_RS00095	1263		old_locus_tag=MAN88_00170
