# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000027.1	240	959	-							BLP56_RS20155	720		old_locus_tag=SAMN05660666_04072
CDS	with_protein	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000027.1	240	959	-	WP_176929382.1	WP_176929382.1		helix-turn-helix transcriptional regulator			BLP56_RS20155	720	239	
gene	protein_coding	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000027.1	1116	1925	+							BLP56_RS20160	810		old_locus_tag=SAMN05660666_04073
CDS	with_protein	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000027.1	1116	1925	+	WP_011445140.1	WP_011445140.1		phytanoyl-CoA dioxygenase family protein			BLP56_RS20160	810	269	
gene	protein_coding	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000027.1	1984	2436	+							BLP56_RS20165	453		old_locus_tag=SAMN05660666_04074
CDS	with_protein	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000027.1	1984	2436	+	WP_083760804.1	WP_083760804.1		nuclear transport factor 2 family protein			BLP56_RS20165	453	150	
gene	protein_coding	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000026.1	179	658	-							BLP56_RS20140	480		old_locus_tag=SAMN05660666_04069
CDS	with_protein	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000026.1	179	658	-	WP_011445585.1	WP_011445585.1		hypothetical protein			BLP56_RS20140	480	159	
gene	protein_coding	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000026.1	655	2787	-							BLP56_RS20145	2133		old_locus_tag=SAMN05660666_04070
CDS	with_protein	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000026.1	655	2787	-	WP_010890943.1	WP_010890943.1		tyrosine-type recombinase/integrase			BLP56_RS20145	2133	710	
gene	protein_coding	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000026.1	2778	3992	-							BLP56_RS20150	1215		old_locus_tag=SAMN05660666_04071
CDS	with_protein	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000026.1	2778	3992	-	WP_010890944.1	WP_010890944.1		tyrosine-type recombinase/integrase			BLP56_RS20150	1215	404	
gene	tRNA	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000025.1	3	79	-							BLP56_RS20110	77		old_locus_tag=SAMN05660666_04062
tRNA		GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000025.1	3	79	-				tRNA-Met			BLP56_RS20110	77		anticodon=CAT
gene	rRNA	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000025.1	203	317	-					rrf		BLP56_RS20115	115		old_locus_tag=SAMN05660666_04063
rRNA		GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000025.1	203	317	-				5S ribosomal RNA	rrf		BLP56_RS20115	115		
gene	rRNA	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000025.1	468	3259	-							BLP56_RS20120	2792		old_locus_tag=SAMN05660666_04064
rRNA		GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000025.1	468	3259	-				23S ribosomal RNA			BLP56_RS20120	2792		
gene	tRNA	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000025.1	3583	3658	-							BLP56_RS20125	76		old_locus_tag=SAMN05660666_04066
tRNA		GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000025.1	3583	3658	-				tRNA-Ala			BLP56_RS20125	76		anticodon=TGC
gene	tRNA	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000025.1	3677	3753	-							BLP56_RS20130	77		old_locus_tag=SAMN05660666_04067
tRNA		GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000025.1	3677	3753	-				tRNA-Ile			BLP56_RS20130	77		anticodon=GAT
gene	rRNA	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000025.1	3945	5429	-							BLP56_RS20135	1485		old_locus_tag=SAMN05660666_04068
rRNA		GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000025.1	3945	5429	-				16S ribosomal RNA			BLP56_RS20135	1485		
gene	pseudogene	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000023.1	1	248	-							BLP56_RS20020	248		partial;pseudo;old_locus_tag=SAMN05660666_04044
CDS	without_protein	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000023.1	1	248	-				IS6 family transposase			BLP56_RS20020	248		partial;pseudo
gene	protein_coding	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000023.1	542	2266	+							BLP56_RS20025	1725		old_locus_tag=SAMN05660666_04045
CDS	with_protein	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000023.1	542	2266	+	WP_011445149.1	WP_011445149.1		sigma-54-dependent Fis family transcriptional regulator			BLP56_RS20025	1725	574	
gene	protein_coding	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000023.1	2435	2986	+							BLP56_RS20030	552		old_locus_tag=SAMN05660666_04046
CDS	with_protein	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000023.1	2435	2986	+	WP_011445148.1	WP_011445148.1		hypothetical protein			BLP56_RS20030	552	183	
gene	protein_coding	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000023.1	2983	4542	+							BLP56_RS20035	1560		old_locus_tag=SAMN05660666_04047
CDS	with_protein	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000023.1	2983	4542	+	WP_011445147.1	WP_011445147.1		FAD-binding oxidoreductase			BLP56_RS20035	1560	519	
gene	protein_coding	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000023.1	4539	4868	+							BLP56_RS20040	330		old_locus_tag=SAMN05660666_04048
CDS	with_protein	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000023.1	4539	4868	+	WP_011445146.1	WP_011445146.1		cytochrome c			BLP56_RS20040	330	109	
gene	protein_coding	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000023.1	4879	6105	+							BLP56_RS20045	1227		old_locus_tag=SAMN05660666_04049
CDS	with_protein	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000023.1	4879	6105	+	WP_011445145.1	WP_011445145.1		FAD-binding protein			BLP56_RS20045	1227	408	
gene	protein_coding	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000023.1	6132	8711	+							BLP56_RS20050	2580		old_locus_tag=SAMN05660666_04050
CDS	with_protein	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000023.1	6132	8711	+	WP_011445144.1	WP_011445144.1		TonB-dependent receptor			BLP56_RS20050	2580	859	
gene	protein_coding	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000023.1	8797	9852	+							BLP56_RS20055	1056		old_locus_tag=SAMN05660666_04051
CDS	with_protein	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000023.1	8797	9852	+	WP_011445143.1	WP_011445143.1		aromatic ring-hydroxylating dioxygenase subunit alpha			BLP56_RS20055	1056	351	
gene	protein_coding	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000023.1	10043	11113	+							BLP56_RS20060	1071		old_locus_tag=SAMN05660666_04052
CDS	with_protein	GCF_900102455.1	Primary Assembly	unplaced scaffold		NZ_FMVR01000023.1	10043	11113	+	WP_011445142.1	WP_011445142.1		Rieske 2Fe-2S domain-containing protein			BLP56_RS20060	1071	356	
