# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	rRNA	GCF_000741825.1	Primary Assembly	unplaced scaffold		NZ_KN046795.1	90	202	+					rrf	60685214	DR66_RS00005	113		old_locus_tag=DR66_1
rRNA		GCF_000741825.1	Primary Assembly	unplaced scaffold		NZ_KN046795.1	90	202	+				5S ribosomal RNA	rrf	60685214	DR66_RS00005	113		
gene	protein_coding	GCF_000741825.1	Primary Assembly	unplaced scaffold		NZ_KN046795.1	355	1122	-						60685215	DR66_RS00010	768		old_locus_tag=DR66_2
CDS	with_protein	GCF_000741825.1	Primary Assembly	unplaced scaffold		NZ_KN046795.1	355	1122	-	WP_012202593.1	WP_012202593.1		class II glutamine amidotransferase		60685215	DR66_RS00010	768	255	
gene	protein_coding	GCF_000741825.1	Primary Assembly	unplaced scaffold		NZ_KN046795.1	1222	1890	+						60685216	DR66_RS00015	669		old_locus_tag=DR66_3
CDS	with_protein	GCF_000741825.1	Primary Assembly	unplaced scaffold		NZ_KN046795.1	1222	1890	+	WP_034389502.1	WP_034389502.1		hypothetical protein		60685216	DR66_RS00015	669	222	
gene	protein_coding	GCF_000741825.1	Primary Assembly	unplaced scaffold		NZ_KN046795.1	1954	2142	-						60685217	DR66_RS00020	189		old_locus_tag=DR66_4
CDS	with_protein	GCF_000741825.1	Primary Assembly	unplaced scaffold		NZ_KN046795.1	1954	2142	-	WP_012202595.1	WP_012202595.1		4-oxalocrotonate tautomerase		60685217	DR66_RS00020	189	62	
gene	protein_coding	GCF_000741825.1	Primary Assembly	unplaced scaffold		NZ_KN046795.1	2167	2415	-						60691042	DR66_RS30025	249		old_locus_tag=DR66_5
CDS	with_protein	GCF_000741825.1	Primary Assembly	unplaced scaffold		NZ_KN046795.1	2167	2415	-	WP_080736780.1	WP_080736780.1		cysteine-rich CWC family protein		60691042	DR66_RS30025	249	82	
