# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000935205.1	Primary Assembly	unplaced scaffold		NZ_JXXE01000086.1	89	514	-							OO17_RS04675	426		old_locus_tag=OO17_04670
CDS	with_protein	GCF_000935205.1	Primary Assembly	unplaced scaffold		NZ_JXXE01000086.1	89	514	-	WP_044406358.1	WP_044406358.1		cupin domain-containing protein			OO17_RS04675	426	141	
gene	protein_coding	GCF_000935205.1	Primary Assembly	unplaced scaffold		NZ_JXXE01000086.1	523	1290	-					gloB		OO17_RS04680	768		old_locus_tag=OO17_04675
CDS	with_protein	GCF_000935205.1	Primary Assembly	unplaced scaffold		NZ_JXXE01000086.1	523	1290	-	WP_044406330.1	WP_044406330.1		hydroxyacylglutathione hydrolase	gloB		OO17_RS04680	768	255	
gene	protein_coding	GCF_000935205.1	Primary Assembly	unplaced scaffold		NZ_JXXE01000086.1	1425	2180	+							OO17_RS04685	756		old_locus_tag=OO17_04680
CDS	with_protein	GCF_000935205.1	Primary Assembly	unplaced scaffold		NZ_JXXE01000086.1	1425	2180	+	WP_044406333.1	WP_044406333.1		methyltransferase domain-containing protein			OO17_RS04685	756	251	
gene	protein_coding	GCF_000935205.1	Primary Assembly	unplaced scaffold		NZ_JXXE01000086.1	2202	3005	-							OO17_RS04690	804		old_locus_tag=OO17_04685
CDS	with_protein	GCF_000935205.1	Primary Assembly	unplaced scaffold		NZ_JXXE01000086.1	2202	3005	-	WP_044406336.1	WP_044406336.1		DUF4167 domain-containing protein			OO17_RS04690	804	267	
gene	protein_coding	GCF_000935205.1	Primary Assembly	unplaced scaffold		NZ_JXXE01000086.1	3457	4344	-					prmC		OO17_RS04695	888		old_locus_tag=OO17_04690
CDS	with_protein	GCF_000935205.1	Primary Assembly	unplaced scaffold		NZ_JXXE01000086.1	3457	4344	-	WP_044406339.1	WP_044406339.1		peptide chain release factor N(5)-glutamine methyltransferase	prmC		OO17_RS04695	888	295	
gene	protein_coding	GCF_000935205.1	Primary Assembly	unplaced scaffold		NZ_JXXE01000086.1	4341	5426	-					prfA		OO17_RS04700	1086		old_locus_tag=OO17_04695
CDS	with_protein	GCF_000935205.1	Primary Assembly	unplaced scaffold		NZ_JXXE01000086.1	4341	5426	-	WP_044406342.1	WP_044406342.1		peptide chain release factor 1	prfA		OO17_RS04700	1086	361	
gene	protein_coding	GCF_000935205.1	Primary Assembly	unplaced scaffold		NZ_JXXE01000086.1	5476	7743	-					ptsP		OO17_RS04705	2268		old_locus_tag=OO17_04700
CDS	with_protein	GCF_000935205.1	Primary Assembly	unplaced scaffold		NZ_JXXE01000086.1	5476	7743	-	WP_044406345.1	WP_044406345.1		phosphoenolpyruvate--protein phosphotransferase	ptsP		OO17_RS04705	2268	755	
gene	protein_coding	GCF_000935205.1	Primary Assembly	unplaced scaffold		NZ_JXXE01000086.1	8032	9285	-							OO17_RS04710	1254		old_locus_tag=OO17_04705
CDS	with_protein	GCF_000935205.1	Primary Assembly	unplaced scaffold		NZ_JXXE01000086.1	8032	9285	-	WP_044406349.1	WP_044406349.1		aspartate kinase			OO17_RS04710	1254	417	
