# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001262515.1	Primary Assembly	unplaced scaffold		NZ_KQ410706.1	880	2361	+					rng		AKG08_RS00005	1482		old_locus_tag=AKG08_00005
CDS	with_protein	GCF_001262515.1	Primary Assembly	unplaced scaffold		NZ_KQ410706.1	880	2361	+	WP_006218501.1	WP_006218501.1		ribonuclease G	rng		AKG08_RS00005	1482	493	
gene	protein_coding	GCF_001262515.1	Primary Assembly	unplaced scaffold		NZ_KQ410706.1	2545	3246	+							AKG08_RS00010	702		old_locus_tag=AKG08_00010
CDS	with_protein	GCF_001262515.1	Primary Assembly	unplaced scaffold		NZ_KQ410706.1	2545	3246	+	WP_050727657.1	WP_050727657.1		DUF3053 domain-containing protein			AKG08_RS00010	702	233	
gene	protein_coding	GCF_001262515.1	Primary Assembly	unplaced scaffold		NZ_KQ410706.1	3265	4731	-							AKG08_RS00015	1467		old_locus_tag=AKG08_00015
CDS	with_protein	GCF_001262515.1	Primary Assembly	unplaced scaffold		NZ_KQ410706.1	3265	4731	-	WP_050727658.1	WP_050727658.1		diguanylate cyclase			AKG08_RS00015	1467	488	
gene	protein_coding	GCF_001262515.1	Primary Assembly	unplaced scaffold		NZ_KQ410706.1	5292	7100	-							AKG08_RS00025	1809		old_locus_tag=AKG08_00025
CDS	with_protein	GCF_001262515.1	Primary Assembly	unplaced scaffold		NZ_KQ410706.1	5292	7100	-	WP_050727659.1	WP_050727659.1		monovalent cation:proton antiporter-2 (CPA2) family protein			AKG08_RS00025	1809	602	
gene	protein_coding	GCF_001262515.1	Primary Assembly	unplaced scaffold		NZ_KQ410706.1	7321	9096	-					msbA		AKG08_RS00030	1776		old_locus_tag=AKG08_00030
CDS	with_protein	GCF_001262515.1	Primary Assembly	unplaced scaffold		NZ_KQ410706.1	7321	9096	-	WP_050727660.1	WP_050727660.1		lipid A export permease/ATP-binding protein MsbA	msbA		AKG08_RS00030	1776	591	
gene	protein_coding	GCF_001262515.1	Primary Assembly	unplaced scaffold		NZ_KQ410706.1	9204	10175	+							AKG08_RS00035	972		old_locus_tag=AKG08_00035
CDS	with_protein	GCF_001262515.1	Primary Assembly	unplaced scaffold		NZ_KQ410706.1	9204	10175	+	WP_050727661.1	WP_050727661.1		heptosyltransferase			AKG08_RS00035	972	323	
gene	protein_coding	GCF_001262515.1	Primary Assembly	unplaced scaffold		NZ_KQ410706.1	10193	10957	+							AKG08_RS00040	765		old_locus_tag=AKG08_00040
CDS	with_protein	GCF_001262515.1	Primary Assembly	unplaced scaffold		NZ_KQ410706.1	10193	10957	+	WP_006218488.1	WP_006218488.1		YdcF family protein			AKG08_RS00040	765	254	
gene	protein_coding	GCF_001262515.1	Primary Assembly	unplaced scaffold		NZ_KQ410706.1	10954	11235	+							AKG08_RS00045	282		old_locus_tag=AKG08_00045
CDS	with_protein	GCF_001262515.1	Primary Assembly	unplaced scaffold		NZ_KQ410706.1	10954	11235	+	WP_006218487.1	WP_006218487.1		hypothetical protein			AKG08_RS00045	282	93	
