# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	669	1082	-							ACH58_RS00005	414		old_locus_tag=ACH58_00005
CDS	with_protein	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	669	1082	-	WP_045953141.1	WP_045953141.1		lysozyme inhibitor LprI family protein			ACH58_RS00005	414	137	
gene	protein_coding	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	1217	1960	-							ACH58_RS00010	744		old_locus_tag=ACH58_00010
CDS	with_protein	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	1217	1960	-	WP_047990725.1	WP_047990725.1		amino acid racemase			ACH58_RS00010	744	247	
gene	protein_coding	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	1953	3449	-							ACH58_RS00015	1497		old_locus_tag=ACH58_00015
CDS	with_protein	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	1953	3449	-	WP_047990726.1	WP_047990726.1		D-aminoacylase			ACH58_RS00015	1497	498	
gene	protein_coding	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	3458	4438	-							ACH58_RS00020	981		old_locus_tag=ACH58_00020
CDS	with_protein	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	3458	4438	-	WP_047990727.1	WP_047990727.1		tripartite tricarboxylate transporter substrate binding protein			ACH58_RS00020	981	326	
gene	protein_coding	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	4558	5511	+							ACH58_RS00025	954		old_locus_tag=ACH58_00025
CDS	with_protein	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	4558	5511	+	WP_047991590.1	WP_047991590.1		LysR family transcriptional regulator			ACH58_RS00025	954	317	
gene	protein_coding	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	5602	6216	-							ACH58_RS00030	615		old_locus_tag=ACH58_00030
CDS	with_protein	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	5602	6216	-	WP_020927553.1	WP_020927553.1		glutathione S-transferase N-terminal domain-containing protein			ACH58_RS00030	615	204	
gene	protein_coding	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	6330	7508	+							ACH58_RS00035	1179		old_locus_tag=ACH58_00035
CDS	with_protein	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	6330	7508	+	WP_026383494.1	WP_026383494.1		PQQ-dependent sugar dehydrogenase			ACH58_RS00035	1179	392	
gene	protein_coding	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	7517	8155	+							ACH58_RS00040	639		old_locus_tag=ACH58_00040
CDS	with_protein	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	7517	8155	+	WP_047991591.1	WP_047991591.1		glutathione S-transferase			ACH58_RS00040	639	212	
gene	protein_coding	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	8207	9115	-							ACH58_RS00045	909		old_locus_tag=ACH58_00045
CDS	with_protein	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	8207	9115	-	WP_024068779.1	WP_024068779.1		DMT family transporter			ACH58_RS00045	909	302	
gene	protein_coding	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	9193	9570	-							ACH58_RS00050	378		old_locus_tag=ACH58_00050
CDS	with_protein	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	9193	9570	-	WP_047990728.1	WP_047990728.1		DUF423 domain-containing protein			ACH58_RS00050	378	125	
gene	protein_coding	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	9690	10751	-							ACH58_RS00055	1062		old_locus_tag=ACH58_00055
CDS	with_protein	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	9690	10751	-	WP_006386465.1	WP_006386465.1		alcohol dehydrogenase			ACH58_RS00055	1062	353	
gene	protein_coding	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	10777	12012	-							ACH58_RS00060	1236		old_locus_tag=ACH58_00060
CDS	with_protein	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	10777	12012	-	WP_006386466.1	WP_006386466.1		ABC transporter substrate-binding protein			ACH58_RS00060	1236	411	
gene	protein_coding	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	12198	12962	+							ACH58_RS00065	765		old_locus_tag=ACH58_00065
CDS	with_protein	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	12198	12962	+	WP_047990729.1	WP_047990729.1		IclR family transcriptional regulator			ACH58_RS00065	765	254	
gene	protein_coding	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	13093	13893	+							ACH58_RS00070	801		old_locus_tag=ACH58_00070
CDS	with_protein	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	13093	13893	+	WP_153228210.1	WP_153228210.1		hypothetical protein			ACH58_RS00070	801	266	
gene	protein_coding	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	13898	14836	-					rocF		ACH58_RS00075	939		old_locus_tag=ACH58_00075
CDS	with_protein	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	13898	14836	-	WP_047990731.1	WP_047990731.1		arginase	rocF		ACH58_RS00075	939	312	
gene	protein_coding	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	14992	15813	+							ACH58_RS00080	822		old_locus_tag=ACH58_00080
CDS	with_protein	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	14992	15813	+	WP_026383489.1	WP_026383489.1		MetQ/NlpA family ABC transporter substrate-binding protein			ACH58_RS00080	822	273	
gene	protein_coding	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	15955	16926	+							ACH58_RS00085	972		old_locus_tag=ACH58_00085
CDS	with_protein	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	15955	16926	+	WP_047990732.1	WP_047990732.1		sensor domain-containing diguanylate cyclase			ACH58_RS00085	972	323	
gene	protein_coding	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	16934	18076	-							ACH58_RS00090	1143		old_locus_tag=ACH58_00090
CDS	with_protein	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	16934	18076	-	WP_153228248.1	WP_153228248.1		MFS transporter			ACH58_RS00090	1143	380	
gene	protein_coding	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	18238	18693	+							ACH58_RS00095	456		old_locus_tag=ACH58_00095
CDS	with_protein	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	18238	18693	+	WP_020927563.1	WP_020927563.1		Lrp/AsnC family transcriptional regulator			ACH58_RS00095	456	151	
gene	protein_coding	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	18725	19888	-							ACH58_RS00100	1164		old_locus_tag=ACH58_00100
CDS	with_protein	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	18725	19888	-	WP_020927564.1	WP_020927564.1		metallophosphoesterase			ACH58_RS00100	1164	387	
gene	protein_coding	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	20002	21210	-							ACH58_RS00105	1209		old_locus_tag=ACH58_00105
CDS	with_protein	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	20002	21210	-	WP_047990734.1	WP_047990734.1		alpha-hydroxy-acid oxidizing protein			ACH58_RS00105	1209	402	
gene	protein_coding	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	21355	22221	-					psd		ACH58_RS00110	867		old_locus_tag=ACH58_00110
CDS	with_protein	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	21355	22221	-	WP_047990735.1	WP_047990735.1		archaetidylserine decarboxylase	psd		ACH58_RS00110	867	288	
gene	protein_coding	GCF_001038045.1	Primary Assembly	unplaced scaffold		NZ_LFHA01000001.1	22372	24006	-							ACH58_RS00115	1635		old_locus_tag=ACH58_00115
