# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	rRNA	GCF_003048205.2	Primary Assembly	unplaced scaffold		NZ_QVOF01000001.1	1	110	-							DA116_RS00005	110		partial
rRNA		GCF_003048205.2	Primary Assembly	unplaced scaffold		NZ_QVOF01000001.1	1	110	-				16S ribosomal RNA			DA116_RS00005	110		partial
gene	pseudogene	GCF_003048205.2	Primary Assembly	unplaced scaffold		NZ_QVOF01000001.1	611	2295	-							DA116_RS00015	1685		pseudo
CDS	without_protein	GCF_003048205.2	Primary Assembly	unplaced scaffold		NZ_QVOF01000001.1	611	2295	-				ribonuclease J			DA116_RS00015	1685		pseudo
gene	protein_coding	GCF_003048205.2	Primary Assembly	unplaced scaffold		NZ_QVOF01000001.1	2453	3352	-					dapA		DA116_RS00020	900		
CDS	with_protein	GCF_003048205.2	Primary Assembly	unplaced scaffold		NZ_QVOF01000001.1	2453	3352	-	WP_030956132.1	WP_030956132.1		4-hydroxy-tetrahydrodipicolinate synthase	dapA		DA116_RS00020	900	299	
gene	protein_coding	GCF_003048205.2	Primary Assembly	unplaced scaffold		NZ_QVOF01000001.1	3553	4293	-					thyX		DA116_RS00025	741		
CDS	with_protein	GCF_003048205.2	Primary Assembly	unplaced scaffold		NZ_QVOF01000001.1	3553	4293	-	WP_107902159.1	WP_107902159.1		FAD-dependent thymidylate synthase	thyX		DA116_RS00025	741	246	
gene	protein_coding	GCF_003048205.2	Primary Assembly	unplaced scaffold		NZ_QVOF01000001.1	4504	4740	+							DA116_RS00030	237		
CDS	with_protein	GCF_003048205.2	Primary Assembly	unplaced scaffold		NZ_QVOF01000001.1	4504	4740	+	WP_107902161.1	WP_107902161.1		hypothetical protein			DA116_RS00030	237	78	
gene	protein_coding	GCF_003048205.2	Primary Assembly	unplaced scaffold		NZ_QVOF01000001.1	4831	5385	+							DA116_RS00035	555		
CDS	with_protein	GCF_003048205.2	Primary Assembly	unplaced scaffold		NZ_QVOF01000001.1	4831	5385	+	WP_107902163.1	WP_107902163.1		PH domain-containing protein			DA116_RS00035	555	184	
gene	protein_coding	GCF_003048205.2	Primary Assembly	unplaced scaffold		NZ_QVOF01000001.1	5468	5920	-							DA116_RS00040	453		
CDS	with_protein	GCF_003048205.2	Primary Assembly	unplaced scaffold		NZ_QVOF01000001.1	5468	5920	-	WP_107902165.1	WP_107902165.1		tetratricopeptide repeat protein			DA116_RS00040	453	150	
gene	protein_coding	GCF_003048205.2	Primary Assembly	unplaced scaffold		NZ_QVOF01000001.1	5920	6672	-					dapB		DA116_RS00045	753		
CDS	with_protein	GCF_003048205.2	Primary Assembly	unplaced scaffold		NZ_QVOF01000001.1	5920	6672	-	WP_107902167.1	WP_107902167.1		4-hydroxy-tetrahydrodipicolinate reductase	dapB		DA116_RS00045	753	250	
gene	protein_coding	GCF_003048205.2	Primary Assembly	unplaced scaffold		NZ_QVOF01000001.1	6709	8088	-							DA116_RS00050	1380		
CDS	with_protein	GCF_003048205.2	Primary Assembly	unplaced scaffold		NZ_QVOF01000001.1	6709	8088	-	WP_107902169.1	WP_107902169.1		insulinase family protein			DA116_RS00050	1380	459	
gene	protein_coding	GCF_003048205.2	Primary Assembly	unplaced scaffold		NZ_QVOF01000001.1	8085	10313	-							DA116_RS00055	2229		
CDS	with_protein	GCF_003048205.2	Primary Assembly	unplaced scaffold		NZ_QVOF01000001.1	8085	10313	-	WP_107902171.1	WP_107902171.1		polyribonucleotide nucleotidyltransferase			DA116_RS00055	2229	742	
gene	protein_coding	GCF_003048205.2	Primary Assembly	unplaced scaffold		NZ_QVOF01000001.1	10650	10937	-					rpsO		DA116_RS00060	288		
CDS	with_protein	GCF_003048205.2	Primary Assembly	unplaced scaffold		NZ_QVOF01000001.1	10650	10937	-	WP_020138875.1	WP_020138875.1		30S ribosomal protein S15	rpsO		DA116_RS00060	288	95	
gene	protein_coding	GCF_003048205.2	Primary Assembly	unplaced scaffold		NZ_QVOF01000001.1	11137	12594	-					eccD		DA116_RS00065	1458		
CDS	with_protein	GCF_003048205.2	Primary Assembly	unplaced scaffold		NZ_QVOF01000001.1	11137	12594	-	WP_107902174.1	WP_107902174.1		type VII secretion integral membrane protein EccD	eccD		DA116_RS00065	1458	485	
gene	protein_coding	GCF_003048205.2	Primary Assembly	unplaced scaffold		NZ_QVOF01000001.1	12869	16813	+					eccCa		DA116_RS00070	3945		
