# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000018405.1	Primary Assembly	chromosome		NC_009943.1	50	1432	+					dnaA		DOLE_RS00005	1383		old_locus_tag=Dole_0001
CDS	with_protein	GCF_000018405.1	Primary Assembly	chromosome		NC_009943.1	50	1432	+	WP_012173430.1	WP_012173430.1		chromosomal replication initiator protein DnaA	dnaA		DOLE_RS00005	1383	460	
gene	protein_coding	GCF_000018405.1	Primary Assembly	chromosome		NC_009943.1	1624	3012	+							DOLE_RS00010	1389		old_locus_tag=Dole_0002
CDS	with_protein	GCF_000018405.1	Primary Assembly	chromosome		NC_009943.1	1624	3012	+	WP_012173431.1	WP_012173431.1		FAD-binding protein			DOLE_RS00010	1389	462	
gene	protein_coding	GCF_000018405.1	Primary Assembly	chromosome		NC_009943.1	3019	3234	-							DOLE_RS00015	216		old_locus_tag=Dole_0003
CDS	with_protein	GCF_000018405.1	Primary Assembly	chromosome		NC_009943.1	3019	3234	-	WP_012173432.1	WP_012173432.1		hypothetical protein			DOLE_RS00015	216	71	
gene	protein_coding	GCF_000018405.1	Primary Assembly	chromosome		NC_009943.1	3231	4013	-							DOLE_RS00020	783		old_locus_tag=Dole_0004
CDS	with_protein	GCF_000018405.1	Primary Assembly	chromosome		NC_009943.1	3231	4013	-	WP_012173433.1	WP_012173433.1		inositol monophosphatase			DOLE_RS00020	783	260	
gene	protein_coding	GCF_000018405.1	Primary Assembly	chromosome		NC_009943.1	4067	5764	-					hflX		DOLE_RS00025	1698		old_locus_tag=Dole_0005
CDS	with_protein	GCF_000018405.1	Primary Assembly	chromosome		NC_009943.1	4067	5764	-	WP_012173434.1	WP_012173434.1		GTPase HflX	hflX		DOLE_RS00025	1698	565	
gene	protein_coding	GCF_000018405.1	Primary Assembly	chromosome		NC_009943.1	5815	7230	-					dnaB		DOLE_RS00030	1416		old_locus_tag=Dole_0006
CDS	with_protein	GCF_000018405.1	Primary Assembly	chromosome		NC_009943.1	5815	7230	-	WP_012173435.1	WP_012173435.1		replicative DNA helicase	dnaB		DOLE_RS00030	1416	471	
gene	protein_coding	GCF_000018405.1	Primary Assembly	chromosome		NC_009943.1	7279	7734	-					rplI		DOLE_RS00035	456		old_locus_tag=Dole_0007
CDS	with_protein	GCF_000018405.1	Primary Assembly	chromosome		NC_009943.1	7279	7734	-	WP_012173436.1	WP_012173436.1		50S ribosomal protein L9	rplI		DOLE_RS00035	456	151	
gene	protein_coding	GCF_000018405.1	Primary Assembly	chromosome		NC_009943.1	7957	8940	-							DOLE_RS00040	984		old_locus_tag=Dole_0008
CDS	with_protein	GCF_000018405.1	Primary Assembly	chromosome		NC_009943.1	7957	8940	-	WP_012173437.1	WP_012173437.1		YybS family protein			DOLE_RS00040	984	327	
