# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000969985.1	Primary Assembly	chromosome		NZ_CP009526.1	1121	2365	+						24821405	MSBRW_RS00115	1245		old_locus_tag=MSBRW_0022
CDS	with_protein	GCF_000969985.1	Primary Assembly	chromosome		NZ_CP009526.1	1121	2365	+	WP_011305997.1	WP_011305997.1		ORC1-type DNA replication protein		24821405	MSBRW_RS00115	1245	414	
gene	protein_coding	GCF_000969985.1	Primary Assembly	chromosome		NZ_CP009526.1	3022	3582	+					fliE	24821406	MSBRW_RS00120	561		old_locus_tag=MSBRW_0023
CDS	with_protein	GCF_000969985.1	Primary Assembly	chromosome		NZ_CP009526.1	3022	3582	+	WP_011305996.1	WP_011305996.1		flagellar hook-basal body complex protein FliE	fliE	24821406	MSBRW_RS00120	561	186	
gene	protein_coding	GCF_000969985.1	Primary Assembly	chromosome		NZ_CP009526.1	3656	4135	+						24821407	MSBRW_RS00125	480		old_locus_tag=MSBRW_0024
CDS	with_protein	GCF_000969985.1	Primary Assembly	chromosome		NZ_CP009526.1	3656	4135	+	WP_011305995.1	WP_011305995.1		hypothetical protein		24821407	MSBRW_RS00125	480	159	
gene	protein_coding	GCF_000969985.1	Primary Assembly	chromosome		NZ_CP009526.1	4397	5170	+						24821408	MSBRW_RS00130	774		old_locus_tag=MSBRW_0025
CDS	with_protein	GCF_000969985.1	Primary Assembly	chromosome		NZ_CP009526.1	4397	5170	+	WP_011305994.1	WP_011305994.1		sugar phosphate isomerase/epimerase		24821408	MSBRW_RS00130	774	257	
gene	protein_coding	GCF_000969985.1	Primary Assembly	chromosome		NZ_CP009526.1	5310	5867	-						24821409	MSBRW_RS00135	558		old_locus_tag=MSBRW_0026
CDS	with_protein	GCF_000969985.1	Primary Assembly	chromosome		NZ_CP009526.1	5310	5867	-	WP_011305993.1	WP_011305993.1		gamma-glutamylcyclotransferase		24821409	MSBRW_RS00135	558	185	
gene	protein_coding	GCF_000969985.1	Primary Assembly	chromosome		NZ_CP009526.1	5913	6983	-						24821410	MSBRW_RS00140	1071		old_locus_tag=MSBRW_0027
CDS	with_protein	GCF_000969985.1	Primary Assembly	chromosome		NZ_CP009526.1	5913	6983	-	WP_011305992.1	WP_011305992.1		translation elongation factor		24821410	MSBRW_RS00140	1071	356	
gene	protein_coding	GCF_000969985.1	Primary Assembly	chromosome		NZ_CP009526.1	7299	8471	-						24821411	MSBRW_RS00145	1173		old_locus_tag=MSBRW_0028
CDS	with_protein	GCF_000969985.1	Primary Assembly	chromosome		NZ_CP009526.1	7299	8471	-	WP_011305991.1	WP_011305991.1		RNA ligase		24821411	MSBRW_RS00145	1173	390	
gene	protein_coding	GCF_000969985.1	Primary Assembly	chromosome		NZ_CP009526.1	8814	9602	+						24821412	MSBRW_RS00150	789		old_locus_tag=MSBRW_0029
CDS	with_protein	GCF_000969985.1	Primary Assembly	chromosome		NZ_CP009526.1	8814	9602	+	WP_011305990.1	WP_011305990.1		TIGR00266 family protein		24821412	MSBRW_RS00150	789	262	
gene	protein_coding	GCF_000969985.1	Primary Assembly	chromosome		NZ_CP009526.1	10099	10875	-						24821413	MSBRW_RS00155	777		old_locus_tag=MSBRW_0030
CDS	with_protein	GCF_000969985.1	Primary Assembly	chromosome		NZ_CP009526.1	10099	10875	-	WP_011305989.1	WP_011305989.1		CBS domain-containing protein		24821413	MSBRW_RS00155	777	258	
gene	protein_coding	GCF_000969985.1	Primary Assembly	chromosome		NZ_CP009526.1	11046	11891	-						24821414	MSBRW_RS00160	846		old_locus_tag=MSBRW_0031
CDS	with_protein	GCF_000969985.1	Primary Assembly	chromosome		NZ_CP009526.1	11046	11891	-	WP_011305988.1	WP_011305988.1		CBS domain-containing protein		24821414	MSBRW_RS00160	846	281	
gene	protein_coding	GCF_000969985.1	Primary Assembly	chromosome		NZ_CP009526.1	12453	13448	-						24821415	MSBRW_RS00165	996		old_locus_tag=MSBRW_0032
CDS	with_protein	GCF_000969985.1	Primary Assembly	chromosome		NZ_CP009526.1	12453	13448	-	WP_011305987.1	WP_011305987.1		CBS domain-containing protein		24821415	MSBRW_RS00165	996	331	
