# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	50	1747	-							DP16_RS22015	1698		old_locus_tag=DP16_1
CDS	with_protein	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	50	1747	-	WP_005414286.1	WP_005414286.1		Kef family K(+) transporter			DP16_RS22015	1698	565	
gene	pseudogene	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	2229	2741	+							DP16_RS22010	513		partial;pseudo;old_locus_tag=DP16_2
CDS	without_protein	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	2229	2741	+				hypothetical protein			DP16_RS22010	513		partial;pseudo
gene	protein_coding	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	2788	3285	+							DP16_RS22005	498		old_locus_tag=DP16_3
CDS	with_protein	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	2788	3285	+	WP_024957836.1	WP_024957836.1		hypothetical protein			DP16_RS22005	498	165	
gene	protein_coding	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	3286	4293	+							DP16_RS22000	1008		old_locus_tag=DP16_4
CDS	with_protein	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	3286	4293	+	WP_024957837.1	WP_024957837.1		hypothetical protein			DP16_RS22000	1008	335	
gene	protein_coding	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	4398	6785	-							DP16_RS21995	2388		old_locus_tag=DP16_5
CDS	with_protein	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	4398	6785	-	WP_038645251.1	WP_038645251.1		TonB-dependent receptor			DP16_RS21995	2388	795	
gene	protein_coding	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	7121	8986	+							DP16_RS21990	1866		old_locus_tag=DP16_6
CDS	with_protein	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	7121	8986	+	WP_038645255.1	WP_038645255.1		ABC-F family ATP-binding cassette domain-containing protein			DP16_RS21990	1866	621	
gene	protein_coding	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	9065	9931	-					ampR		DP16_RS21985	867		old_locus_tag=DP16_7
CDS	with_protein	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	9065	9931	-	WP_005410767.1	WP_005410767.1		LysR family transcriptional regulator AmpR	ampR		DP16_RS21985	867	288	
gene	protein_coding	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	10108	11019	+					blaL2		DP16_RS21980	912		old_locus_tag=DP16_8
CDS	with_protein	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	10108	11019	+	WP_005414283.1	WP_005414283.1		L2 family class A beta-lactamase	blaL2		DP16_RS21980	912	303	
gene	protein_coding	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	11104	12318	+							DP16_RS21975	1215		old_locus_tag=DP16_9
CDS	with_protein	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	11104	12318	+	WP_005410765.1	WP_005410765.1		cation:proton antiporter			DP16_RS21975	1215	404	
gene	protein_coding	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	12372	13013	+							DP16_RS21970	642		old_locus_tag=DP16_10
CDS	with_protein	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	12372	13013	+	WP_005410764.1	WP_005410764.1		hypothetical protein			DP16_RS21970	642	213	
gene	pseudogene	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	13063	13806	-							DP16_RS23010	744		pseudo;old_locus_tag=DP16_11
CDS	without_protein	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	13063	13806	-				DUF3011 domain-containing protein			DP16_RS23010	744		pseudo
gene	protein_coding	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	13965	15716	+					aspS		DP16_RS21960	1752		old_locus_tag=DP16_12
CDS	with_protein	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	13965	15716	+	WP_005414279.1	WP_005414279.1		aspartate--tRNA ligase	aspS		DP16_RS21960	1752	583	
gene	protein_coding	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	15733	16053	+							DP16_RS21955	321		old_locus_tag=DP16_13
CDS	with_protein	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	15733	16053	+	WP_024958674.1	WP_024958674.1		hypothetical protein			DP16_RS21955	321	106	
gene	protein_coding	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	16085	16606	+							DP16_RS21950	522		old_locus_tag=DP16_14
CDS	with_protein	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	16085	16606	+	WP_005410760.1	WP_005410760.1		GNAT family N-acetyltransferase			DP16_RS21950	522	173	
gene	protein_coding	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	16682	17314	+							DP16_RS21945	633		old_locus_tag=DP16_15
CDS	with_protein	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	16682	17314	+	WP_024958675.1	WP_024958675.1		alpha/beta fold hydrolase			DP16_RS21945	633	210	
gene	protein_coding	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	17501	18232	+							DP16_RS21940	732		old_locus_tag=DP16_16
CDS	with_protein	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	17501	18232	+	WP_005410758.1	WP_005410758.1		YebC/PmpR family DNA-binding transcriptional regulator			DP16_RS21940	732	243	
gene	protein_coding	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	18338	18859	+					ruvC		DP16_RS21935	522		old_locus_tag=DP16_17
CDS	with_protein	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	18338	18859	+	WP_005410757.1	WP_005410757.1		crossover junction endodeoxyribonuclease RuvC	ruvC		DP16_RS21935	522	173	
gene	protein_coding	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	18873	19466	+					ruvA		DP16_RS21930	594		old_locus_tag=DP16_18
CDS	with_protein	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	18873	19466	+	WP_005410756.1	WP_005410756.1		Holliday junction branch migration protein RuvA	ruvA		DP16_RS21930	594	197	
gene	protein_coding	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	19585	21435	+							DP16_RS21925	1851		old_locus_tag=DP16_19
CDS	with_protein	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	19585	21435	+	WP_169449093.1	WP_169449093.1		potassium transporter Kup			DP16_RS21925	1851	616	
gene	protein_coding	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	21885	22925	+					ruvB		DP16_RS21920	1041		old_locus_tag=DP16_20
CDS	with_protein	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	21885	22925	+	WP_005410754.1	WP_005410754.1		Holliday junction branch migration DNA helicase RuvB	ruvB		DP16_RS21920	1041	346	
gene	protein_coding	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	22915	23346	+					ybgC		DP16_RS21915	432		old_locus_tag=DP16_21
CDS	with_protein	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	22915	23346	+	WP_012481069.1	WP_012481069.1		tol-pal system-associated acyl-CoA thioesterase	ybgC		DP16_RS21915	432	143	
gene	protein_coding	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	23357	24136	+					tolQ		DP16_RS21910	780		old_locus_tag=DP16_22
CDS	with_protein	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	23357	24136	+	WP_005410752.1	WP_005410752.1		protein TolQ	tolQ		DP16_RS21910	780	259	
gene	protein_coding	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	24161	24589	+					tolR		DP16_RS21905	429		old_locus_tag=DP16_23
CDS	with_protein	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	24161	24589	+	WP_005410751.1	WP_005410751.1		protein TolR	tolR		DP16_RS21905	429	142	
gene	protein_coding	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	24579	25634	+					tolA		DP16_RS21900	1056		old_locus_tag=DP16_24
CDS	with_protein	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	24579	25634	+	WP_005410750.1	WP_005410750.1		cell envelope integrity protein TolA	tolA		DP16_RS21900	1056	351	
gene	protein_coding	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	25918	27237	+					tolB		DP16_RS21895	1320		old_locus_tag=DP16_25
CDS	with_protein	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	25918	27237	+	WP_005410749.1	WP_005410749.1		Tol-Pal system beta propeller repeat protein TolB	tolB		DP16_RS21895	1320	439	
gene	protein_coding	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	27302	27820	+					pal		DP16_RS21890	519		old_locus_tag=DP16_26
CDS	with_protein	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	27302	27820	+	WP_005410748.1	WP_005410748.1		peptidoglycan-associated lipoprotein Pal	pal		DP16_RS21890	519	172	
gene	protein_coding	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	27824	28642	+					ybgF		DP16_RS21885	819		old_locus_tag=DP16_27
CDS	with_protein	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	27824	28642	+	WP_005414274.1	WP_005414274.1		tol-pal system protein YbgF	ybgF		DP16_RS21885	819	272	
gene	protein_coding	GCF_000742995.1	Primary Assembly	chromosome		NZ_CP008838.1	28782	29483	+					queE		DP16_RS21880	702		old_locus_tag=DP16_28
