# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	1	1467	+					dnaA		E8A47_RS00005	1467		
CDS	with_protein	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	1	1467	+	WP_022521029.1	WP_022521029.1		chromosomal replication initiator protein DnaA	dnaA		E8A47_RS00005	1467	488	
gene	protein_coding	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	1528	2631	+					dnaN		E8A47_RS00010	1104		
CDS	with_protein	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	1528	2631	+	WP_022521028.1	WP_022521028.1		DNA polymerase III subunit beta	dnaN		E8A47_RS00010	1104	367	
gene	protein_coding	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	2757	3860	+					recF		E8A47_RS00015	1104		
CDS	with_protein	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	2757	3860	+	WP_022521027.1	WP_022521027.1		DNA replication/repair protein RecF	recF		E8A47_RS00015	1104	367	
gene	protein_coding	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	3918	6338	+					gyrB		E8A47_RS00020	2421		
CDS	with_protein	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	3918	6338	+	WP_009286362.1	WP_009286362.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		E8A47_RS00020	2421	806	
gene	protein_coding	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	6580	7128	-					gmhB		E8A47_RS00025	549		
CDS	with_protein	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	6580	7128	-	WP_022521026.1	WP_022521026.1		D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase	gmhB		E8A47_RS00025	549	182	
gene	protein_coding	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	7295	9361	-							E8A47_RS00030	2067		
CDS	with_protein	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	7295	9361	-	WP_141440210.1	WP_141440210.1		glycine--tRNA ligase subunit beta			E8A47_RS00030	2067	688	
gene	protein_coding	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	9361	10332	-					glyQ		E8A47_RS00035	972		
CDS	with_protein	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	9361	10332	-	WP_041157463.1	WP_041157463.1		glycine--tRNA ligase subunit alpha	glyQ		E8A47_RS00035	972	323	
gene	protein_coding	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	10442	11398	+					rfaD		E8A47_RS00040	957		
CDS	with_protein	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	10442	11398	+	WP_039857862.1	WP_039857862.1		ADP-glyceromanno-heptose 6-epimerase	rfaD		E8A47_RS00040	957	318	
gene	protein_coding	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	11391	12434	+					waaF		E8A47_RS00045	1044		
CDS	with_protein	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	11391	12434	+	WP_141440209.1	WP_141440209.1		lipopolysaccharide heptosyltransferase II	waaF		E8A47_RS00045	1044	347	
gene	protein_coding	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	12424	14082	-							E8A47_RS00050	1659		
CDS	with_protein	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	12424	14082	-	WP_027958488.1	WP_027958488.1		sulfatase-like hydrolase/transferase			E8A47_RS00050	1659	552	
gene	protein_coding	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	14175	15152	-							E8A47_RS00055	978		
CDS	with_protein	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	14175	15152	-	WP_141440208.1	WP_141440208.1		lipopolysaccharide A protein			E8A47_RS00055	978	325	
gene	protein_coding	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	15152	16207	-							E8A47_RS00060	1056		
CDS	with_protein	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	15152	16207	-	WP_141440207.1	WP_141440207.1		glycosyltransferase family 4 protein			E8A47_RS00060	1056	351	
gene	protein_coding	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	16208	16990	-							E8A47_RS00065	783		
CDS	with_protein	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	16208	16990	-	WP_141440206.1	WP_141440206.1		glycosyltransferase family 2 protein			E8A47_RS00065	783	260	
gene	protein_coding	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	16987	18141	-							E8A47_RS00070	1155		
CDS	with_protein	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	16987	18141	-	WP_141440205.1	WP_141440205.1		glycosyltransferase			E8A47_RS00070	1155	384	
gene	protein_coding	GCF_006542315.2	Primary Assembly	chromosome		NZ_CP039374.2	18138	19082	-							E8A47_RS00075	945		
