# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	57	638	-							BN949_RS00005	582		old_locus_tag=BN949_00001
CDS	with_protein	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	57	638	-	WP_035218831.1	WP_035218831.1		recombinase family protein			BN949_RS00005	582	193	
gene	protein_coding	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	804	3770	+							BN949_RS00010	2967		old_locus_tag=BN949_00002
CDS	with_protein	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	804	3770	+	WP_035217225.1	WP_035217225.1		Tn3 family transposase			BN949_RS00010	2967	988	
gene	protein_coding	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	4740	5771	-					mgrA		BN949_RS00015	1032		old_locus_tag=BN949_00003
CDS	with_protein	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	4740	5771	-	WP_035217227.1	WP_035217227.1		L-glyceraldehyde 3-phosphate reductase	mgrA		BN949_RS00015	1032	343	
gene	protein_coding	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	5895	8390	-							BN949_RS00020	2496		old_locus_tag=BN949_00004
CDS	with_protein	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	5895	8390	-	WP_051795827.1	WP_051795827.1		glycoside hydrolase family 2 protein			BN949_RS00020	2496	831	
gene	protein_coding	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	8860	9912	+							BN949_RS00025	1053		old_locus_tag=BN949_00005
CDS	with_protein	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	8860	9912	+	WP_035217230.1	WP_035217230.1		substrate-binding domain-containing protein			BN949_RS00025	1053	350	
gene	protein_coding	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	9934	10914	-					znuA		BN949_RS00030	981		old_locus_tag=BN949_00006
CDS	with_protein	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	9934	10914	-	WP_035217231.1	WP_035217231.1		zinc ABC transporter substrate-binding protein ZnuA	znuA		BN949_RS00030	981	326	
gene	protein_coding	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	11019	11939	+					znuC		BN949_RS00035	921		old_locus_tag=BN949_00007
CDS	with_protein	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	11019	11939	+	WP_035217236.1	WP_035217236.1		zinc ABC transporter ATP-binding protein ZnuC	znuC		BN949_RS00035	921	306	
gene	protein_coding	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	11932	12750	+					znuB		BN949_RS00040	819		old_locus_tag=BN949_00008
CDS	with_protein	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	11932	12750	+	WP_035217238.1	WP_035217238.1		zinc ABC transporter permease subunit ZnuB	znuB		BN949_RS00040	819	272	
gene	protein_coding	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	12747	13160	+					zur		BN949_RS00045	414		old_locus_tag=BN949_00009
CDS	with_protein	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	12747	13160	+	WP_035217240.1	WP_035217240.1		zinc uptake transcriptional repressor Zur	zur		BN949_RS00045	414	137	
gene	protein_coding	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	13199	13732	-							BN949_RS00050	534		old_locus_tag=BN949_00010
CDS	with_protein	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	13199	13732	-	WP_035217242.1	WP_035217242.1		gamma carbonic anhydrase family protein			BN949_RS00050	534	177	
gene	protein_coding	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	13769	14458	-							BN949_RS00055	690		old_locus_tag=BN949_00011
CDS	with_protein	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	13769	14458	-	WP_035217243.1	WP_035217243.1		fumarylacetoacetate hydrolase family protein			BN949_RS00055	690	229	
gene	protein_coding	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	14598	15608	+					dusA		BN949_RS00060	1011		old_locus_tag=BN949_00012
CDS	with_protein	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	14598	15608	+	WP_035217244.1	WP_035217244.1		tRNA dihydrouridine(20/20a) synthase DusA	dusA		BN949_RS00060	1011	336	
gene	protein_coding	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	15660	16178	-							BN949_RS00065	519		old_locus_tag=BN949_00013
CDS	with_protein	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	15660	16178	-	WP_051795836.1	WP_051795836.1		GNAT family N-acetyltransferase			BN949_RS00065	519	172	
gene	protein_coding	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	16328	17128	-							BN949_RS00070	801		old_locus_tag=BN949_00014
CDS	with_protein	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	16328	17128	-	WP_035218835.1	WP_035218835.1		DUF72 domain-containing protein			BN949_RS00070	801	266	
gene	protein_coding	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	17287	20208	-					uvrA		BN949_RS00075	2922		old_locus_tag=BN949_00015
CDS	with_protein	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	17287	20208	-	WP_035217248.1	WP_035217248.1		excinuclease ABC subunit UvrA	uvrA		BN949_RS00075	2922	973	
gene	protein_coding	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	20473	21054	+							BN949_RS00080	582		old_locus_tag=BN949_00016
CDS	with_protein	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	20473	21054	+	WP_035217250.1	WP_035217250.1		single-stranded DNA-binding protein			BN949_RS00080	582	193	
gene	protein_coding	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	21119	22267	-							BN949_RS00085	1149		old_locus_tag=BN949_00017
CDS	with_protein	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	21119	22267	-	WP_035217252.1	WP_035217252.1		HPP family protein			BN949_RS00085	1149	382	
gene	protein_coding	GCF_000723345.1	Primary Assembly	unplaced scaffold		NZ_CCAN010000001.1	22398	23027	-							BN949_RS00090	630		old_locus_tag=BN949_00018
