# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_003342755.1	Primary Assembly	chromosome		NZ_CP031145.1	298	699	-							DN585_RS00005	402		old_locus_tag=DN585_00005
CDS	with_protein	GCF_003342755.1	Primary Assembly	chromosome		NZ_CP031145.1	298	699	-	WP_114609092.1	WP_114609092.1		hypothetical protein			DN585_RS00005	402	133	
gene	protein_coding	GCF_003342755.1	Primary Assembly	chromosome		NZ_CP031145.1	959	1246	+							DN585_RS00010	288		old_locus_tag=DN585_00010
CDS	with_protein	GCF_003342755.1	Primary Assembly	chromosome		NZ_CP031145.1	959	1246	+	WP_114609133.1	WP_114609133.1		WhiB family transcriptional regulator			DN585_RS00010	288	95	
gene	protein_coding	GCF_003342755.1	Primary Assembly	chromosome		NZ_CP031145.1	2364	2876	+							DN585_RS18700	513		
CDS	with_protein	GCF_003342755.1	Primary Assembly	chromosome		NZ_CP031145.1	2364	2876	+	WP_199921592.1	WP_199921592.1		hypothetical protein			DN585_RS18700	513	170	
gene	protein_coding	GCF_003342755.1	Primary Assembly	chromosome		NZ_CP031145.1	2861	3061	+							DN585_RS00020	201		old_locus_tag=DN585_00020
CDS	with_protein	GCF_003342755.1	Primary Assembly	chromosome		NZ_CP031145.1	2861	3061	+	WP_114609094.1	WP_114609094.1		excisionase family DNA-binding protein			DN585_RS00020	201	66	
gene	protein_coding	GCF_003342755.1	Primary Assembly	chromosome		NZ_CP031145.1	3061	4044	+							DN585_RS00025	984		old_locus_tag=DN585_00025
CDS	with_protein	GCF_003342755.1	Primary Assembly	chromosome		NZ_CP031145.1	3061	4044	+	WP_199921593.1	WP_199921593.1		tyrosine-type recombinase/integrase			DN585_RS00025	984	327	
gene	protein_coding	GCF_003342755.1	Primary Assembly	chromosome		NZ_CP031145.1	4058	4198	+							DN585_RS18705	141		
CDS	with_protein	GCF_003342755.1	Primary Assembly	chromosome		NZ_CP031145.1	4058	4198	+	WP_199921594.1	WP_199921594.1		hypothetical protein			DN585_RS18705	141	46	
gene	tRNA	GCF_003342755.1	Primary Assembly	chromosome		NZ_CP031145.1	4287	4360	-							DN585_RS00030	74		old_locus_tag=DN585_00030
tRNA		GCF_003342755.1	Primary Assembly	chromosome		NZ_CP031145.1	4287	4360	-				tRNA-Gly			DN585_RS00030	74		anticodon=CCC
