# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000065.1	1	568	+							CT4_RS24720	568		partial;old_locus_tag=TR35_RS24500
CDS	with_protein	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000065.1	1	568	+	WP_042438772.1	WP_042438772.1		autotransporter-associated beta strand repeat-containing protein			CT4_RS24720	568	189	partial
gene	pseudogene	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000064.1	1	595	-							CT4_RS24715	595		partial;pseudo;old_locus_tag=TR35_RS25360
CDS	without_protein	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000064.1	1	595	-				IS3 family transposase			CT4_RS24715	595		partial;pseudo
gene	protein_coding	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000063.1	1	602	-							CT4_RS24710	602		partial;old_locus_tag=TR35_RS24495
CDS	with_protein	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000063.1	1	602	-	WP_042438764.1	WP_042438764.1		Lateral flagellin			CT4_RS24710	602	200	partial
gene	pseudogene	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000062.1	1	644	-							CT4_RS24705	644		partial;pseudo;old_locus_tag=TR35_RS24490
CDS	without_protein	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000062.1	1	644	-				methyl-accepting chemotaxis protein			CT4_RS24705	644		partial;pseudo
gene	protein_coding	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000061.1	1	665	+							CT4_RS24700	665		partial;old_locus_tag=TR35_RS24485
CDS	with_protein	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000061.1	1	665	+	WP_042438756.1	WP_042438756.1		efflux RND transporter permease subunit			CT4_RS24700	665	221	partial
gene	pseudogene	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000060.1	1	637	-							CT4_RS24695	637		partial;pseudo;old_locus_tag=TR35_RS25355
CDS	without_protein	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000060.1	1	637	-				IS5 family transposase			CT4_RS24695	637		partial;pseudo
gene	protein_coding	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000059.1	1	730	+							CT4_RS24690	730		partial;old_locus_tag=TR35_RS24475
CDS	with_protein	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000059.1	1	730	+	WP_155278094.1	WP_155278094.1		elongation factor Tu			CT4_RS24690	730	243	partial
gene	protein_coding	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000058.1	1	953	-					puuE		CT4_RS24685	953		partial;old_locus_tag=TR35_RS24470
CDS	with_protein	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000058.1	1	953	-	WP_034348414.1	WP_034348414.1		allantoinase PuuE	puuE		CT4_RS24685	953	317	partial
gene	protein_coding	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000057.1	1	374	+							CT4_RS24675	374		partial;old_locus_tag=TR35_RS24460
CDS	with_protein	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000057.1	1	374	+	WP_042438741.1	WP_042438741.1		hypothetical protein			CT4_RS24675	374	123	partial
gene	protein_coding	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000057.1	451	998	+							CT4_RS24960	548		partial
CDS	with_protein	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000057.1	451	998	+	WP_174437026.1	WP_174437026.1		hypothetical protein			CT4_RS24960	548	183	partial
gene	protein_coding	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000056.1	1	960	-							CT4_RS24670	960		partial;old_locus_tag=TR35_RS24455
CDS	with_protein	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000056.1	1	960	-	WP_003072982.1	WP_003072982.1		IS481 family transposase			CT4_RS24670	960	320	partial
gene	protein_coding	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000055.1	1	1163	-							CT4_RS24665	1163		partial;old_locus_tag=TR35_RS24450
CDS	with_protein	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000055.1	1	1163	-	WP_042438733.1	WP_042438733.1		aldehyde dehydrogenase family protein			CT4_RS24665	1163	387	partial
gene	protein_coding	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000054.1	133	1104	-							CT4_RS24660	972		old_locus_tag=TR35_RS24445
CDS	with_protein	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000054.1	133	1104	-	WP_003081624.1	WP_003081624.1		IS5 family transposase			CT4_RS24660	972	323	
gene	protein_coding	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000053.1	1	942	+							CT4_RS24650	942		partial;old_locus_tag=TR35_RS24435
CDS	with_protein	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000053.1	1	942	+	WP_155278093.1	WP_155278093.1		acetaldehyde dehydrogenase (acetylating)			CT4_RS24650	942	313	partial
gene	pseudogene	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000053.1	957	1251	+							CT4_RS24655	295		partial;pseudo;old_locus_tag=TR35_RS24440
CDS	without_protein	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000053.1	957	1251	+				4-hydroxy-2-oxovalerate aldolase			CT4_RS24655	295		partial;pseudo
gene	protein_coding	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000052.1	1	1402	+							CT4_RS24645	1402		partial;old_locus_tag=TR35_RS24430
CDS	with_protein	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000052.1	1	1402	+	WP_042438721.1	WP_042438721.1		PAS domain-containing methyl-accepting chemotaxis protein			CT4_RS24645	1402	467	partial
gene	protein_coding	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000051.1	1	894	-							CT4_RS24640	894		partial;old_locus_tag=TR35_RS24420
CDS	with_protein	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000051.1	1	894	-	WP_003076977.1	WP_003076977.1		HAMP domain-containing protein			CT4_RS24640	894	298	partial
gene	pseudogene	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000051.1	1205	1412	-							CT4_RS25010	208		partial;pseudo
CDS	without_protein	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000051.1	1205	1412	-				methyl-accepting chemotaxis protein			CT4_RS25010	208		partial;pseudo
gene	protein_coding	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000050.1	1	720	-					copD		CT4_RS24625	720		partial;old_locus_tag=TR35_RS24405
CDS	with_protein	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000050.1	1	720	-	WP_003078544.1	WP_003078544.1		copper homeostasis membrane protein CopD	copD		CT4_RS24625	720	240	partial
gene	protein_coding	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000050.1	725	1111	-					copC		CT4_RS24630	387		old_locus_tag=TR35_RS24410
CDS	with_protein	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000050.1	725	1111	-	WP_003078546.1	WP_003078546.1		copper homeostasis periplasmic binding protein CopC	copC		CT4_RS24630	387	128	
gene	protein_coding	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000050.1	1222	1828	-							CT4_RS24635	607		partial;old_locus_tag=TR35_RS24415
CDS	with_protein	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000050.1	1222	1828	-	WP_042438713.1	WP_042438713.1		copper resistance protein B			CT4_RS24635	607	201	partial
gene	protein_coding	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000049.1	617	1618	-							CT4_RS24615	1002		old_locus_tag=TR35_RS24395
CDS	with_protein	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000049.1	617	1618	-	WP_157999249.1	WP_157999249.1		NERD domain-containing protein			CT4_RS24615	1002	333	
gene	pseudogene	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000049.1	1880	2070	-							CT4_RS24620	191		partial;pseudo;old_locus_tag=TR35_RS24400
CDS	without_protein	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000049.1	1880	2070	-				tyrosine-type recombinase/integrase			CT4_RS24620	191		partial;pseudo
gene	protein_coding	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000048.1	1	1725	-							CT4_RS24595	1725		partial;old_locus_tag=TR35_RS24375
CDS	with_protein	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000048.1	1	1725	-	WP_003080379.1	WP_003080379.1		CusA/CzcA family heavy metal efflux RND transporter			CT4_RS24595	1725	575	partial
gene	protein_coding	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000048.1	1722	3242	-							CT4_RS24600	1521		old_locus_tag=TR35_RS24380
CDS	with_protein	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000048.1	1722	3242	-	WP_003080380.1	WP_003080380.1		efflux RND transporter periplasmic adaptor subunit			CT4_RS24600	1521	506	
gene	protein_coding	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000048.1	3239	4471	-							CT4_RS24605	1233		old_locus_tag=TR35_RS24385
CDS	with_protein	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000048.1	3239	4471	-	WP_003080381.1	WP_003080381.1		TolC family protein			CT4_RS24605	1233	410	
gene	protein_coding	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000047.1	1	661	+							CT4_RS24585	661		partial;old_locus_tag=TR35_RS24370
CDS	with_protein	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000047.1	1	661	+	WP_003080902.1	WP_003080902.1		multicopper oxidase domain-containing protein			CT4_RS24585	661	219	partial
gene	pseudogene	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000047.1	903	1051	+							CT4_RS24590	149		partial;pseudo;old_locus_tag=TR35_RS25350
CDS	without_protein	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000047.1	903	1051	+				copper resistance protein B			CT4_RS24590	149		partial;pseudo
gene	protein_coding	GCF_000740035.1	Primary Assembly	unplaced scaffold		NZ_BBJZ01000046.1	1	233	-							CT4_RS24560	233		partial;old_locus_tag=TR35_RS24345
