# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	89	370	+							C175_RS00005	282		old_locus_tag=C175_00005
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	89	370	+	WP_033695342.1	WP_033695342.1		YolD-like family protein			C175_RS00005	282	93	
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	404	1222	-							C175_RS00010	819		old_locus_tag=C175_00010
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	404	1222	-	WP_033695343.1	WP_033695343.1		N-acetylmuramoyl-L-alanine amidase			C175_RS00010	819	272	
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	1222	1434	-							C175_RS00015	213		old_locus_tag=C175_00015
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	1222	1434	-	WP_033695344.1	WP_033695344.1		hypothetical protein			C175_RS00015	213	70	
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	1437	1925	-							C175_RS00020	489		old_locus_tag=C175_00020
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	1437	1925	-	WP_033695346.1	WP_033695346.1		phage holin family protein			C175_RS00020	489	162	
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	2029	2778	-							C175_RS00025	750		old_locus_tag=C175_00025
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	2029	2778	-	WP_078214882.1	WP_078214882.1		trypsin-like peptidase domain-containing protein			C175_RS00025	750	249	
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	2911	3393	-							C175_RS00030	483		old_locus_tag=C175_00030
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	2911	3393	-	WP_033695347.1	WP_033695347.1		hypothetical protein			C175_RS00030	483	160	
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	3357	3563	-							C175_RS31270	207		old_locus_tag=C175_00035
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	3357	3563	-	WP_078214883.1	WP_078214883.1		hypothetical protein			C175_RS31270	207	68	
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	3565	5565	-							C175_RS00035	2001		old_locus_tag=C175_00040
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	3565	5565	-	WP_033695401.1	WP_033695401.1		phage tail protein			C175_RS00035	2001	666	
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	5647	6891	-							C175_RS00040	1245		old_locus_tag=C175_00045
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	5647	6891	-	WP_033695348.1	WP_033695348.1		O-antigen ligase family protein			C175_RS00040	1245	414	
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	7031	8770	-							C175_RS00045	1740		old_locus_tag=C175_00050
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	7031	8770	-	WP_033695349.1	WP_033695349.1		hypothetical protein			C175_RS00045	1740	579	
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	8784	9593	-							C175_RS00050	810		old_locus_tag=C175_00055
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	8784	9593	-	WP_033695350.1	WP_033695350.1		phage tail family protein			C175_RS00050	810	269	
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	9590	11032	-							C175_RS00055	1443		
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	9590	11032	-	WP_033695351.1	WP_033695351.1		tape measure protein			C175_RS00055	1443	480	
gene	pseudogene	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	11262	12545	-							C175_RS00060	1284		partial;pseudo
CDS	without_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	11262	12545	-				tape measure protein			C175_RS00060	1284		partial;pseudo
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	12772	14016	-							C175_RS00065	1245		
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	12772	14016	-	WP_033695352.1	WP_033695352.1		hypothetical protein			C175_RS00065	1245	414	
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	14258	14620	-							C175_RS00070	363		old_locus_tag=C175_00080
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	14258	14620	-	WP_033695353.1	WP_033695353.1		hypothetical protein			C175_RS00070	363	120	
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	14625	15194	-							C175_RS00075	570		old_locus_tag=C175_00085
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	14625	15194	-	WP_033695354.1	WP_033695354.1		phage tail protein			C175_RS00075	570	189	
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	15195	15524	-							C175_RS00080	330		old_locus_tag=C175_00090
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	15195	15524	-	WP_033695355.1	WP_033695355.1		hypothetical protein			C175_RS00080	330	109	
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	15521	15877	-							C175_RS00085	357		old_locus_tag=C175_00095
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	15521	15877	-	WP_033695356.1	WP_033695356.1		hypothetical protein			C175_RS00085	357	118	
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	15870	16169	-							C175_RS00090	300		old_locus_tag=C175_00100
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	15870	16169	-	WP_033695357.1	WP_033695357.1		phage head closure protein			C175_RS00090	300	99	
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	16166	16438	-							C175_RS00095	273		old_locus_tag=C175_00105
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	16166	16438	-	WP_033695359.1	WP_033695359.1		head-tail connector protein			C175_RS00095	273	90	
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	16441	16731	-							C175_RS00100	291		old_locus_tag=C175_00110
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	16441	16731	-	WP_001291035.1	WP_001291035.1		hypothetical protein			C175_RS00100	291	96	
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	16768	17934	-							C175_RS00105	1167		old_locus_tag=C175_00115
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	16768	17934	-	WP_033695361.1	WP_033695361.1		phage major capsid protein			C175_RS00105	1167	388	
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	17948	18532	-							C175_RS00110	585		old_locus_tag=C175_00120
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	17948	18532	-	WP_000361706.1	WP_000361706.1		HK97 family phage prohead protease			C175_RS00110	585	194	
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	18483	19718	-							C175_RS00115	1236		old_locus_tag=C175_00125
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	18483	19718	-	WP_000522233.1	WP_000522233.1		phage portal protein			C175_RS00115	1236	411	
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	19734	21425	-							C175_RS00120	1692		old_locus_tag=C175_00130
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	19734	21425	-	WP_033695364.1	WP_033695364.1		terminase large subunit			C175_RS00120	1692	563	
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	21412	21786	-							C175_RS00125	375		old_locus_tag=C175_00135
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	21412	21786	-	WP_000985225.1	WP_000985225.1		hypothetical protein			C175_RS00125	375	124	
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	21888	22103	-							C175_RS00130	216		old_locus_tag=C175_00140
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	21888	22103	-	WP_033695365.1	WP_033695365.1		hypothetical protein			C175_RS00130	216	71	
gene	pseudogene	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	22280	22660	-							C175_RS00135	381		partial;pseudo;old_locus_tag=C175_00145
CDS	without_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	22280	22660	-				hypothetical protein			C175_RS00135	381		partial;pseudo
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	22674	22886	-							C175_RS00140	213		old_locus_tag=C175_00150
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	22674	22886	-	WP_033695366.1	WP_033695366.1		hypothetical protein			C175_RS00140	213	70	
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	22892	23194	-							C175_RS00145	303		old_locus_tag=C175_00155
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	22892	23194	-	WP_033695367.1	WP_033695367.1		HNH endonuclease			C175_RS00145	303	100	
gene	protein_coding	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	23245	23400	-							C175_RS31275	156		
CDS	with_protein	GCF_000518025.1	Primary Assembly	unplaced scaffold		NZ_ASPZ01000001.1	23245	23400	-	WP_179117256.1	WP_179117256.1		hypothetical protein			C175_RS31275	156	51	
