# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	382	822	-					mioC		kpn2146_RS00005	441		old_locus_tag=Kpn2146_0001
CDS	with_protein	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	382	822	-	WP_002882491.1	WP_002882491.1		FMN-binding protein MioC	mioC		kpn2146_RS00005	441	146	
gene	protein_coding	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	922	1380	-					asnC		kpn2146_RS00010	459		old_locus_tag=Kpn2146_0002
CDS	with_protein	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	922	1380	-	WP_002882510.1	WP_002882510.1		transcriptional regulator AsnC	asnC		kpn2146_RS00010	459	152	
gene	protein_coding	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	1532	2524	+					asnA		kpn2146_RS00015	993		old_locus_tag=Kpn2146_0003
CDS	with_protein	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	1532	2524	+	WP_002882514.1	WP_002882514.1		aspartate--ammonia ligase	asnA		kpn2146_RS00015	993	330	
gene	protein_coding	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	2528	3976	-					viaA		kpn2146_RS00020	1449		old_locus_tag=Kpn2146_0004
CDS	with_protein	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	2528	3976	-	WP_002882517.1	WP_002882517.1		ATPase RavA stimulator ViaA	viaA		kpn2146_RS00020	1449	482	
gene	protein_coding	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	3973	5472	-					ravA		kpn2146_RS00025	1500		old_locus_tag=Kpn2146_0005
CDS	with_protein	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	3973	5472	-	WP_004151555.1	WP_004151555.1		ATPase RavA	ravA		kpn2146_RS00025	1500	499	
gene	protein_coding	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	5690	7558	+					kup		kpn2146_RS00030	1869		old_locus_tag=Kpn2146_0006
CDS	with_protein	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	5690	7558	+	WP_002882520.1	WP_002882520.1		low affinity potassium transporter Kup	kup		kpn2146_RS00030	1869	622	
gene	protein_coding	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	7744	8163	+					rbsD		kpn2146_RS00035	420		old_locus_tag=Kpn2146_0007
CDS	with_protein	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	7744	8163	+	WP_002882527.1	WP_002882527.1		D-ribose pyranase	rbsD		kpn2146_RS00035	420	139	
gene	protein_coding	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	8174	9679	+					rbsA		kpn2146_RS00040	1506		old_locus_tag=Kpn2146_0008
CDS	with_protein	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	8174	9679	+	WP_002882529.1	WP_002882529.1		ribose ABC transporter ATP-binding protein RbsA	rbsA		kpn2146_RS00040	1506	501	
gene	protein_coding	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	9685	10650	+					rbsC		kpn2146_RS00045	966		old_locus_tag=Kpn2146_0009
CDS	with_protein	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	9685	10650	+	WP_002882531.1	WP_002882531.1		ribose ABC transporter permease	rbsC		kpn2146_RS00045	966	321	
gene	protein_coding	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	10678	11568	+					rbsB		kpn2146_RS00050	891		old_locus_tag=Kpn2146_0010
CDS	with_protein	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	10678	11568	+	WP_002882536.1	WP_002882536.1		ribose ABC transporter substrate-binding protein RbsB	rbsB		kpn2146_RS00050	891	296	
gene	protein_coding	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	11669	12601	+					rbsK		kpn2146_RS00055	933		old_locus_tag=Kpn2146_0011
CDS	with_protein	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	11669	12601	+	WP_004217808.1	WP_004217808.1		ribokinase	rbsK		kpn2146_RS00055	933	310	
gene	protein_coding	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	12605	13597	+					rbsR		kpn2146_RS00060	993		old_locus_tag=Kpn2146_0012
CDS	with_protein	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	12605	13597	+	WP_002882538.1	WP_002882538.1		ribose operon transcriptional repressor RbsR	rbsR		kpn2146_RS00060	993	330	
gene	protein_coding	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	13594	14991	-					mdtD		kpn2146_RS00065	1398		old_locus_tag=Kpn2146_0013
CDS	with_protein	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	13594	14991	-	WP_002882539.1	WP_002882539.1		multidrug transporter subunit MdtD	mdtD		kpn2146_RS00065	1398	465	
gene	protein_coding	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	15004	15705	-							kpn2146_RS00070	702		old_locus_tag=Kpn2146_0014
CDS	with_protein	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	15004	15705	-	WP_002882540.1	WP_002882540.1		FadR family transcriptional regulator			kpn2146_RS00070	702	233	
gene	rRNA	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	16182	17721	+							kpn2146_RS00075	1540		old_locus_tag=Kpn2146_0015
rRNA		GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	16182	17721	+				16S ribosomal RNA			kpn2146_RS00075	1540		
gene	tRNA	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	17807	17882	+							kpn2146_RS00080	76		old_locus_tag=Kpn2146_0016
tRNA		GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	17807	17882	+				tRNA-Glu			kpn2146_RS00080	76		anticodon=TTC
gene	rRNA	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	18065	20966	+							kpn2146_RS00085	2902		old_locus_tag=Kpn2146_0017
rRNA		GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	18065	20966	+				23S ribosomal RNA			kpn2146_RS00085	2902		
gene	rRNA	GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	21066	21181	+					rrf		kpn2146_RS00090	116		old_locus_tag=Kpn2146_0018
rRNA		GCF_000364385.3	Primary Assembly	chromosome	1	NZ_CP006659.2	21066	21181	+				5S ribosomal RNA	rrf		kpn2146_RS00090	116		
