# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_000719985.1	Primary Assembly	unplaced scaffold		NZ_JOIL01000001.1	98	373	+							IF68_RS0100005	276		partial;pseudo
CDS	without_protein	GCF_000719985.1	Primary Assembly	unplaced scaffold		NZ_JOIL01000001.1	98	373	+				HNH endonuclease			IF68_RS0100005	276		partial;pseudo
gene	protein_coding	GCF_000719985.1	Primary Assembly	unplaced scaffold		NZ_JOIL01000001.1	387	557	-							IF68_RS36075	171		
CDS	with_protein	GCF_000719985.1	Primary Assembly	unplaced scaffold		NZ_JOIL01000001.1	387	557	-	WP_191908658.1	WP_191908658.1		hypothetical protein			IF68_RS36075	171	56	
gene	protein_coding	GCF_000719985.1	Primary Assembly	unplaced scaffold		NZ_JOIL01000001.1	912	1298	-							IF68_RS0100015	387		
CDS	with_protein	GCF_000719985.1	Primary Assembly	unplaced scaffold		NZ_JOIL01000001.1	912	1298	-	WP_019747170.1	WP_019747170.1		hypothetical protein			IF68_RS0100015	387	128	
gene	protein_coding	GCF_000719985.1	Primary Assembly	unplaced scaffold		NZ_JOIL01000001.1	1569	2687	-							IF68_RS0100020	1119		
CDS	with_protein	GCF_000719985.1	Primary Assembly	unplaced scaffold		NZ_JOIL01000001.1	1569	2687	-	WP_030534621.1	WP_030534621.1		Ig-like domain-containing protein			IF68_RS0100020	1119	372	
gene	protein_coding	GCF_000719985.1	Primary Assembly	unplaced scaffold		NZ_JOIL01000001.1	2743	3957	-							IF68_RS0100025	1215		
CDS	with_protein	GCF_000719985.1	Primary Assembly	unplaced scaffold		NZ_JOIL01000001.1	2743	3957	-	WP_030534622.1	WP_030534622.1		Ig-like domain-containing protein			IF68_RS0100025	1215	404	
gene	protein_coding	GCF_000719985.1	Primary Assembly	unplaced scaffold		NZ_JOIL01000001.1	4255	5754	+							IF68_RS0100030	1500		
CDS	with_protein	GCF_000719985.1	Primary Assembly	unplaced scaffold		NZ_JOIL01000001.1	4255	5754	+	WP_191908657.1	WP_191908657.1		SulP family inorganic anion transporter			IF68_RS0100030	1500	499	
gene	protein_coding	GCF_000719985.1	Primary Assembly	unplaced scaffold		NZ_JOIL01000001.1	5790	6215	+							IF68_RS0100035	426		
CDS	with_protein	GCF_000719985.1	Primary Assembly	unplaced scaffold		NZ_JOIL01000001.1	5790	6215	+	WP_019747166.1	WP_019747166.1		MerR family transcriptional regulator			IF68_RS0100035	426	141	
gene	protein_coding	GCF_000719985.1	Primary Assembly	unplaced scaffold		NZ_JOIL01000001.1	6242	6862	+							IF68_RS0100040	621		
CDS	with_protein	GCF_000719985.1	Primary Assembly	unplaced scaffold		NZ_JOIL01000001.1	6242	6862	+	WP_030534624.1	WP_030534624.1		threonylcarbamoyl-AMP synthase			IF68_RS0100040	621	206	
gene	protein_coding	GCF_000719985.1	Primary Assembly	unplaced scaffold		NZ_JOIL01000001.1	6872	7831	-							IF68_RS34755	960		
CDS	with_protein	GCF_000719985.1	Primary Assembly	unplaced scaffold		NZ_JOIL01000001.1	6872	7831	-	WP_020968622.1	WP_020968622.1		helix-turn-helix domain-containing protein			IF68_RS34755	960	319	
gene	protein_coding	GCF_000719985.1	Primary Assembly	unplaced scaffold		NZ_JOIL01000001.1	7995	9107	+							IF68_RS0100050	1113		
CDS	with_protein	GCF_000719985.1	Primary Assembly	unplaced scaffold		NZ_JOIL01000001.1	7995	9107	+	WP_024487546.1	WP_024487546.1		NDMA-dependent alcohol dehydrogenase			IF68_RS0100050	1113	370	
gene	protein_coding	GCF_000719985.1	Primary Assembly	unplaced scaffold		NZ_JOIL01000001.1	9151	11064	-							IF68_RS0100055	1914		
CDS	with_protein	GCF_000719985.1	Primary Assembly	unplaced scaffold		NZ_JOIL01000001.1	9151	11064	-	WP_029254603.1	WP_029254603.1		MBL fold metallo-hydrolase			IF68_RS0100055	1914	637	
gene	protein_coding	GCF_000719985.1	Primary Assembly	unplaced scaffold		NZ_JOIL01000001.1	11164	11727	-							IF68_RS0100060	564		
CDS	with_protein	GCF_000719985.1	Primary Assembly	unplaced scaffold		NZ_JOIL01000001.1	11164	11727	-	WP_019747163.1	WP_019747163.1		TetR/AcrR family transcriptional regulator			IF68_RS0100060	564	187	
gene	protein_coding	GCF_000719985.1	Primary Assembly	unplaced scaffold		NZ_JOIL01000001.1	11724	12959	-							IF68_RS0100065	1236		
