# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002003285.1	Primary Assembly	chromosome		NZ_CP016086.1	101	1453	+					dnaA		CLOSC_RS00005	1353		old_locus_tag=CLOSC_00010
CDS	with_protein	GCF_002003285.1	Primary Assembly	chromosome		NZ_CP016086.1	101	1453	+	WP_022743383.1	WP_022743383.1		chromosomal replication initiator protein DnaA	dnaA		CLOSC_RS00005	1353	450	
gene	protein_coding	GCF_002003285.1	Primary Assembly	chromosome		NZ_CP016086.1	1716	2816	+							CLOSC_RS00010	1101		old_locus_tag=CLOSC_00020
CDS	with_protein	GCF_002003285.1	Primary Assembly	chromosome		NZ_CP016086.1	1716	2816	+	WP_022743384.1	WP_022743384.1		DNA polymerase III subunit beta			CLOSC_RS00010	1101	366	
gene	protein_coding	GCF_002003285.1	Primary Assembly	chromosome		NZ_CP016086.1	2853	3059	+					yaaA		CLOSC_RS00015	207		old_locus_tag=CLOSC_00030
CDS	with_protein	GCF_002003285.1	Primary Assembly	chromosome		NZ_CP016086.1	2853	3059	+	WP_022743385.1	WP_022743385.1		S4 domain-containing protein YaaA	yaaA		CLOSC_RS00015	207	68	
gene	protein_coding	GCF_002003285.1	Primary Assembly	chromosome		NZ_CP016086.1	3128	4213	+					recF		CLOSC_RS00020	1086		old_locus_tag=CLOSC_00040
CDS	with_protein	GCF_002003285.1	Primary Assembly	chromosome		NZ_CP016086.1	3128	4213	+	WP_022743386.1	WP_022743386.1		DNA replication/repair protein RecF	recF		CLOSC_RS00020	1086	361	
gene	protein_coding	GCF_002003285.1	Primary Assembly	chromosome		NZ_CP016086.1	4228	4488	+							CLOSC_RS00025	261		old_locus_tag=CLOSC_00050
CDS	with_protein	GCF_002003285.1	Primary Assembly	chromosome		NZ_CP016086.1	4228	4488	+	WP_022743387.1	WP_022743387.1		DUF370 domain-containing protein			CLOSC_RS00025	261	86	
gene	protein_coding	GCF_002003285.1	Primary Assembly	chromosome		NZ_CP016086.1	4539	6446	+					gyrB		CLOSC_RS00030	1908		old_locus_tag=CLOSC_00060
CDS	with_protein	GCF_002003285.1	Primary Assembly	chromosome		NZ_CP016086.1	4539	6446	+	WP_022743388.1	WP_022743388.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		CLOSC_RS00030	1908	635	
gene	protein_coding	GCF_002003285.1	Primary Assembly	chromosome		NZ_CP016086.1	6470	8962	+					gyrA		CLOSC_RS00035	2493		old_locus_tag=CLOSC_00070
CDS	with_protein	GCF_002003285.1	Primary Assembly	chromosome		NZ_CP016086.1	6470	8962	+	WP_022743389.1	WP_022743389.1		DNA gyrase subunit A	gyrA		CLOSC_RS00035	2493	830	
gene	rRNA	GCF_002003285.1	Primary Assembly	chromosome		NZ_CP016086.1	9508	11020	+							CLOSC_RS00040	1513		old_locus_tag=CLOSC_00080
rRNA		GCF_002003285.1	Primary Assembly	chromosome		NZ_CP016086.1	9508	11020	+				16S ribosomal RNA			CLOSC_RS00040	1513		
gene	rRNA	GCF_002003285.1	Primary Assembly	chromosome		NZ_CP016086.1	11262	14171	+							CLOSC_RS00045	2910		old_locus_tag=CLOSC_00090
rRNA		GCF_002003285.1	Primary Assembly	chromosome		NZ_CP016086.1	11262	14171	+				23S ribosomal RNA			CLOSC_RS00045	2910		
gene	rRNA	GCF_002003285.1	Primary Assembly	chromosome		NZ_CP016086.1	14281	14397	+					rrf		CLOSC_RS00050	117		old_locus_tag=CLOSC_00100
rRNA		GCF_002003285.1	Primary Assembly	chromosome		NZ_CP016086.1	14281	14397	+				5S ribosomal RNA	rrf		CLOSC_RS00050	117		
gene	tRNA	GCF_002003285.1	Primary Assembly	chromosome		NZ_CP016086.1	14406	14482	+							CLOSC_RS00055	77		old_locus_tag=CLOSC_00110
tRNA		GCF_002003285.1	Primary Assembly	chromosome		NZ_CP016086.1	14406	14482	+				tRNA-Ile			CLOSC_RS00055	77		anticodon=CAT
gene	tRNA	GCF_002003285.1	Primary Assembly	chromosome		NZ_CP016086.1	14484	14559	+							CLOSC_RS00060	76		old_locus_tag=CLOSC_00120
tRNA		GCF_002003285.1	Primary Assembly	chromosome		NZ_CP016086.1	14484	14559	+				tRNA-Ala			CLOSC_RS00060	76		anticodon=TGC
gene	protein_coding	GCF_002003285.1	Primary Assembly	chromosome		NZ_CP016086.1	14652	15161	+							CLOSC_RS00065	510		old_locus_tag=CLOSC_00130
CDS	with_protein	GCF_002003285.1	Primary Assembly	chromosome		NZ_CP016086.1	14652	15161	+	WP_022743390.1	WP_022743390.1		HD domain-containing protein			CLOSC_RS00065	510	169	
