# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	46	1107	+					cobW		B7L09_RS00005	1062		old_locus_tag=B7L09_00005
CDS	with_protein	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	46	1107	+	WP_094467250.1	WP_094467250.1		cobalamin biosynthesis protein CobW	cobW		B7L09_RS00005	1062	353	
gene	pseudogene	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	1111	5018	+					cobN		B7L09_RS00010	3908		pseudo;old_locus_tag=B7L09_00010
CDS	without_protein	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	1111	5018	+				cobaltochelatase subunit CobN	cobN		B7L09_RS00010	3908		pseudo
gene	protein_coding	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	5166	6164	+							B7L09_RS00015	999		old_locus_tag=B7L09_00015
CDS	with_protein	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	5166	6164	+	WP_094467238.1	WP_094467238.1		AAA family ATPase			B7L09_RS00015	999	332	
gene	protein_coding	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	6218	6829	+							B7L09_RS00020	612		old_locus_tag=B7L09_00020
CDS	with_protein	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	6218	6829	+	WP_094467251.1	WP_094467251.1		VWA domain-containing protein			B7L09_RS00020	612	203	
gene	protein_coding	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	6998	8644	+							B7L09_RS00025	1647		old_locus_tag=B7L09_00025
CDS	with_protein	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	6998	8644	+	WP_094467239.1	WP_094467239.1		phospholipase			B7L09_RS00025	1647	548	
gene	protein_coding	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	8760	10484	-					poxB		B7L09_RS00030	1725		old_locus_tag=B7L09_00030
CDS	with_protein	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	8760	10484	-	WP_094467240.1	WP_094467240.1		ubiquinone-dependent pyruvate dehydrogenase	poxB		B7L09_RS00030	1725	574	
gene	protein_coding	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	10569	11792	-							B7L09_RS00035	1224		old_locus_tag=B7L09_00035
CDS	with_protein	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	10569	11792	-	WP_094467241.1	WP_094467241.1		NADH:flavin oxidoreductase/NADH oxidase family protein			B7L09_RS00035	1224	407	
gene	protein_coding	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	11870	12274	+							B7L09_RS00040	405		old_locus_tag=B7L09_00040
CDS	with_protein	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	11870	12274	+	WP_094467242.1	WP_094467242.1		MerR family transcriptional regulator			B7L09_RS00040	405	134	
gene	protein_coding	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	12271	12528	-							B7L09_RS00045	258		old_locus_tag=B7L09_00045
CDS	with_protein	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	12271	12528	-	WP_094467243.1	WP_094467243.1		DUF2790 domain-containing protein			B7L09_RS00045	258	85	
gene	protein_coding	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	12592	14130	-							B7L09_RS00050	1539		old_locus_tag=B7L09_00050
CDS	with_protein	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	12592	14130	-	WP_094467244.1	WP_094467244.1		MFS transporter			B7L09_RS00050	1539	512	
gene	protein_coding	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	14295	15161	+							B7L09_RS00055	867		old_locus_tag=B7L09_00055
CDS	with_protein	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	14295	15161	+	WP_094467245.1	WP_094467245.1		LysR family transcriptional regulator			B7L09_RS00055	867	288	
gene	protein_coding	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	15265	15708	-							B7L09_RS00060	444		old_locus_tag=B7L09_00060
CDS	with_protein	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	15265	15708	-	WP_094467246.1	WP_094467246.1		thioredoxin family protein			B7L09_RS00060	444	147	
gene	protein_coding	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	16051	16899	+							B7L09_RS00065	849		old_locus_tag=B7L09_00065
CDS	with_protein	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	16051	16899	+	WP_094467247.1	WP_094467247.1		transporter substrate-binding domain-containing protein			B7L09_RS00065	849	282	
gene	protein_coding	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	16952	17614	+							B7L09_RS00070	663		old_locus_tag=B7L09_00070
CDS	with_protein	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	16952	17614	+	WP_094467248.1	WP_094467248.1		amino acid ABC transporter permease			B7L09_RS00070	663	220	
gene	protein_coding	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	17624	18286	+							B7L09_RS00075	663		old_locus_tag=B7L09_00075
CDS	with_protein	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000001.1	17624	18286	+	WP_094467249.1	WP_094467249.1		amino acid ABC transporter permease			B7L09_RS00075	663	220	
gene	protein_coding	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000010.1	181	540	-							B7L09_RS01215	360		old_locus_tag=B7L09_01215
CDS	with_protein	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000010.1	181	540	-	WP_094467408.1	WP_094467408.1		response regulator			B7L09_RS01215	360	119	
gene	protein_coding	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000010.1	799	4290	+							B7L09_RS01220	3492		old_locus_tag=B7L09_01220
CDS	with_protein	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000010.1	799	4290	+	WP_094467409.1	WP_094467409.1		response regulator			B7L09_RS01220	3492	1163	
gene	protein_coding	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000010.1	4290	5123	+							B7L09_RS01225	834		old_locus_tag=B7L09_01225
CDS	with_protein	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000010.1	4290	5123	+	WP_094467410.1	WP_094467410.1		protein-glutamate O-methyltransferase CheR			B7L09_RS01225	834	277	
gene	protein_coding	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000010.1	5120	5713	+							B7L09_RS01230	594		old_locus_tag=B7L09_01230
CDS	with_protein	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000010.1	5120	5713	+	WP_094467411.1	WP_094467411.1		chemotaxis protein CheB			B7L09_RS01230	594	197	
gene	protein_coding	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000010.1	5707	6888	+							B7L09_RS01235	1182		old_locus_tag=B7L09_01235
CDS	with_protein	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000010.1	5707	6888	+	WP_094467412.1	WP_094467412.1		hybrid sensor histidine kinase/response regulator			B7L09_RS01235	1182	393	
gene	protein_coding	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000010.1	6966	7343	+							B7L09_RS01240	378		old_locus_tag=B7L09_01240
CDS	with_protein	GCF_002251635.1	Primary Assembly	unplaced scaffold		NZ_NMOJ01000010.1	6966	7343	+	WP_059405185.1	WP_059405185.1		response regulator			B7L09_RS01240	378	125	
