# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_000759595.1	Primary Assembly	unplaced scaffold		NZ_JRFX01000001.1	1	3110	-							Llab_RS00005	3110		partial;pseudo
CDS	without_protein	GCF_000759595.1	Primary Assembly	unplaced scaffold		NZ_JRFX01000001.1	1	3110	-				hypothetical protein			Llab_RS00005	3110		partial;pseudo
gene	protein_coding	GCF_000759595.1	Primary Assembly	unplaced scaffold		NZ_JRFX01000001.1	3147	3411	-							Llab_RS00010	265		partial;old_locus_tag=Llab_0001
CDS	with_protein	GCF_000759595.1	Primary Assembly	unplaced scaffold		NZ_JRFX01000001.1	3147	3411	-	WP_033898627.1	WP_033898627.1		WxL domain-containing protein			Llab_RS00010	265	87	partial
gene	protein_coding	GCF_000759595.1	Primary Assembly	unplaced scaffold		NZ_JRFX01000002.1	98	403	-							Llab_RS11570	306		old_locus_tag=Llab_0002
CDS	with_protein	GCF_000759595.1	Primary Assembly	unplaced scaffold		NZ_JRFX01000002.1	98	403	-	WP_033898630.1	WP_033898630.1		hypothetical protein			Llab_RS11570	306	101	
gene	protein_coding	GCF_000759595.1	Primary Assembly	unplaced scaffold		NZ_JRFX01000002.1	771	1388	+							Llab_RS00020	618		old_locus_tag=Llab_0003
CDS	with_protein	GCF_000759595.1	Primary Assembly	unplaced scaffold		NZ_JRFX01000002.1	771	1388	+	WP_033898632.1	WP_033898632.1		hypothetical protein			Llab_RS00020	618	205	
gene	protein_coding	GCF_000759595.1	Primary Assembly	unplaced scaffold		NZ_JRFX01000002.1	1402	1572	-							Llab_RS00025	171		old_locus_tag=Llab_0004
CDS	with_protein	GCF_000759595.1	Primary Assembly	unplaced scaffold		NZ_JRFX01000002.1	1402	1572	-	WP_012898204.1	WP_012898204.1		hypothetical protein			Llab_RS00025	171	56	
gene	protein_coding	GCF_000759595.1	Primary Assembly	unplaced scaffold		NZ_JRFX01000002.1	1600	2913	-					obgE		Llab_RS00030	1314		old_locus_tag=Llab_0005
CDS	with_protein	GCF_000759595.1	Primary Assembly	unplaced scaffold		NZ_JRFX01000002.1	1600	2913	-	WP_003130743.1	WP_003130743.1		GTPase ObgE	obgE		Llab_RS00030	1314	437	
gene	protein_coding	GCF_000759595.1	Primary Assembly	unplaced scaffold		NZ_JRFX01000002.1	3063	4241	-							Llab_RS00035	1179		old_locus_tag=Llab_0006
CDS	with_protein	GCF_000759595.1	Primary Assembly	unplaced scaffold		NZ_JRFX01000002.1	3063	4241	-	WP_033898634.1	WP_033898634.1		cell division protein FtsQ/DivIB			Llab_RS00035	1179	392	
gene	protein_coding	GCF_000759595.1	Primary Assembly	unplaced scaffold		NZ_JRFX01000002.1	4242	5315	-					murG		Llab_RS00040	1074		old_locus_tag=Llab_0007
