# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_904845905.1	Primary Assembly	unplaced scaffold		NZ_CAJGYW010000001.1	123	1496	-							JMW60_RS00005	1374		
CDS	with_protein	GCF_904845905.1	Primary Assembly	unplaced scaffold		NZ_CAJGYW010000001.1	123	1496	-	WP_040642507.1	WP_040642507.1		hypothetical protein			JMW60_RS00005	1374	457	
gene	protein_coding	GCF_904845905.1	Primary Assembly	unplaced scaffold		NZ_CAJGYW010000001.1	2229	2567	-							JMW60_RS00010	339		
CDS	with_protein	GCF_904845905.1	Primary Assembly	unplaced scaffold		NZ_CAJGYW010000001.1	2229	2567	-	WP_021814627.1	WP_021814627.1		hypothetical protein			JMW60_RS00010	339	112	
gene	protein_coding	GCF_904845905.1	Primary Assembly	unplaced scaffold		NZ_CAJGYW010000001.1	3045	3863	-							JMW60_RS00015	819		
CDS	with_protein	GCF_904845905.1	Primary Assembly	unplaced scaffold		NZ_CAJGYW010000001.1	3045	3863	-	WP_021814624.1	WP_021814624.1		dioxygenase			JMW60_RS00015	819	272	
gene	protein_coding	GCF_904845905.1	Primary Assembly	unplaced scaffold		NZ_CAJGYW010000001.1	3983	4429	-							JMW60_RS00020	447		
CDS	with_protein	GCF_904845905.1	Primary Assembly	unplaced scaffold		NZ_CAJGYW010000001.1	3983	4429	-	WP_021814623.1	WP_021814623.1		DoxX family protein			JMW60_RS00020	447	148	
gene	protein_coding	GCF_904845905.1	Primary Assembly	unplaced scaffold		NZ_CAJGYW010000001.1	4590	5507	+							JMW60_RS00025	918		
CDS	with_protein	GCF_904845905.1	Primary Assembly	unplaced scaffold		NZ_CAJGYW010000001.1	4590	5507	+	WP_021814622.1	WP_021814622.1		LysR family transcriptional regulator			JMW60_RS00025	918	305	
gene	protein_coding	GCF_904845905.1	Primary Assembly	unplaced scaffold		NZ_CAJGYW010000001.1	5630	5926	-							JMW60_RS00030	297		
CDS	with_protein	GCF_904845905.1	Primary Assembly	unplaced scaffold		NZ_CAJGYW010000001.1	5630	5926	-	WP_021814621.1	WP_021814621.1		hypothetical protein			JMW60_RS00030	297	98	
