# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	tRNA	GCF_000833105.2	Primary Assembly	chromosome		NZ_CP010086.2	15	91	+							LF65_RS00005	77		old_locus_tag=LF65_00001
tRNA		GCF_000833105.2	Primary Assembly	chromosome		NZ_CP010086.2	15	91	+				tRNA-Ile			LF65_RS00005	77		anticodon=CAT
gene	tRNA	GCF_000833105.2	Primary Assembly	chromosome		NZ_CP010086.2	93	168	+							LF65_RS00010	76		old_locus_tag=LF65_00002
tRNA		GCF_000833105.2	Primary Assembly	chromosome		NZ_CP010086.2	93	168	+				tRNA-Ala			LF65_RS00010	76		anticodon=TGC
gene	protein_coding	GCF_000833105.2	Primary Assembly	chromosome		NZ_CP010086.2	254	769	+							LF65_RS00015	516		old_locus_tag=LF65_00003
CDS	with_protein	GCF_000833105.2	Primary Assembly	chromosome		NZ_CP010086.2	254	769	+	WP_039773422.1	WP_039773422.1		HD domain-containing protein			LF65_RS00015	516	171	
gene	protein_coding	GCF_000833105.2	Primary Assembly	chromosome		NZ_CP010086.2	784	1305	+							LF65_RS00020	522		old_locus_tag=LF65_00004
CDS	with_protein	GCF_000833105.2	Primary Assembly	chromosome		NZ_CP010086.2	784	1305	+	WP_023976926.1	WP_023976926.1		transcription repressor NadR			LF65_RS00020	522	173	
gene	protein_coding	GCF_000833105.2	Primary Assembly	chromosome		NZ_CP010086.2	1308	2693	+							LF65_RS00025	1386		old_locus_tag=LF65_00005
CDS	with_protein	GCF_000833105.2	Primary Assembly	chromosome		NZ_CP010086.2	1308	2693	+	WP_041893249.1	WP_041893249.1		FAD-dependent oxidoreductase			LF65_RS00025	1386	461	
gene	protein_coding	GCF_000833105.2	Primary Assembly	chromosome		NZ_CP010086.2	2710	2937	+							LF65_RS00030	228		old_locus_tag=LF65_00006
CDS	with_protein	GCF_000833105.2	Primary Assembly	chromosome		NZ_CP010086.2	2710	2937	+	WP_041893252.1	WP_041893252.1		DUF1667 domain-containing protein			LF65_RS00030	228	75	
gene	tRNA	GCF_000833105.2	Primary Assembly	chromosome		NZ_CP010086.2	3057	3147	+							LF65_RS00035	91		old_locus_tag=LF65_00007
tRNA		GCF_000833105.2	Primary Assembly	chromosome		NZ_CP010086.2	3057	3147	+				tRNA-Ser			LF65_RS00035	91		anticodon=TGA
