# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	rRNA	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000107.1	83	197	+					rrf		Ato01_RS13815	115		old_locus_tag=TR24_RS13700
rRNA		GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000107.1	83	197	+				5S ribosomal RNA	rrf		Ato01_RS13815	115		
gene	rRNA	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000106.1	18	1739	-							Ato01_RS13810	1722		partial;old_locus_tag=TR24_RS13695
rRNA		GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000106.1	18	1739	-				23S ribosomal RNA			Ato01_RS13810	1722		partial
gene	rRNA	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000105.1	1	1156	-							Ato01_RS13805	1156		partial;old_locus_tag=TR24_RS13690
rRNA		GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000105.1	1	1156	-				23S ribosomal RNA			Ato01_RS13805	1156		partial
gene	tRNA	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000104.1	1	77	-							Ato01_RS13795	77		old_locus_tag=TR24_RS13680
tRNA		GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000104.1	1	77	-				tRNA-Ile			Ato01_RS13795	77		anticodon=GAT
gene	rRNA	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000104.1	137	1674	-							Ato01_RS13800	1538		old_locus_tag=TR24_RS13685
rRNA		GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000104.1	137	1674	-				16S ribosomal RNA			Ato01_RS13800	1538		
gene	protein_coding	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000103.1	53	571	-							Ato01_RS13790	519		partial;old_locus_tag=TR24_RS13675
CDS	with_protein	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000103.1	53	571	-	WP_042068930.1	WP_042068930.1		IS6-like element IS1006 family transposase			Ato01_RS13790	519	172	partial
gene	pseudogene	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000102.1	123	594	+							Ato01_RS13785	472		partial;pseudo;old_locus_tag=TR24_RS13670
CDS	without_protein	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000102.1	123	594	+				NADH pyrophosphatase			Ato01_RS13785	472		partial;pseudo
gene	pseudogene	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000101.1	354	696	-							Ato01_RS13950	343		partial;pseudo
CDS	without_protein	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000101.1	354	696	-				replication initiation protein			Ato01_RS13950	343		partial;pseudo
gene	protein_coding	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000100.1	1	716	+							Ato01_RS13780	716		partial;old_locus_tag=TR24_RS13660
CDS	with_protein	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000100.1	1	716	+	WP_155756551.1	WP_155756551.1		IS3 family transposase			Ato01_RS13780	716	238	partial
gene	protein_coding	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000099.1	71	628	-							Ato01_RS13775	558		old_locus_tag=TR24_RS13655
CDS	with_protein	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000099.1	71	628	-	WP_019836970.1	WP_019836970.1		DNA-binding protein			Ato01_RS13775	558	185	
gene	pseudogene	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000098.1	13	722	+					tuf		Ato01_RS13770	710		partial;pseudo;old_locus_tag=TR24_RS13650
CDS	without_protein	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000098.1	13	722	+				elongation factor Tu	tuf		Ato01_RS13770	710		partial;pseudo
gene	protein_coding	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000097.1	1	832	-							Ato01_RS13765	832		partial;old_locus_tag=TR24_RS13645
CDS	with_protein	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000097.1	1	832	-	WP_052416880.1	WP_052416880.1		IS5-like element IS17 family transposase			Ato01_RS13765	832	276	partial
gene	protein_coding	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000096.1	68	841	+					istB		Ato01_RS13760	774		old_locus_tag=TR24_RS13640
CDS	with_protein	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000096.1	68	841	+	WP_004972895.1	WP_004972895.1		IS21-like element ISEc57 family helper ATPase IstB	istB		Ato01_RS13760	774	257	
gene	protein_coding	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000095.1	318	887	-							Ato01_RS13755	570		old_locus_tag=TR24_RS13635
CDS	with_protein	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000095.1	318	887	-	WP_004969822.1	WP_004969822.1		peptidylprolyl isomerase A			Ato01_RS13755	570	189	
gene	protein_coding	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000094.1	1	373	+							Ato01_RS13945	373		partial
CDS	with_protein	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000094.1	1	373	+	WP_042068923.1	WP_042068923.1		hypothetical protein			Ato01_RS13945	373	123	partial
gene	protein_coding	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000094.1	370	810	+							Ato01_RS13745	441		old_locus_tag=TR24_RS13630
CDS	with_protein	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000094.1	370	810	+	WP_004973476.1	WP_004973476.1		hypothetical protein			Ato01_RS13745	441	146	
gene	protein_coding	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000094.1	850	968	-							Ato01_RS13750	119		partial
CDS	with_protein	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000094.1	850	968	-	WP_148308745.1	WP_148308745.1		integrase core domain-containing protein			Ato01_RS13750	119	38	partial
gene	protein_coding	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000093.1	1	891	-							Ato01_RS13740	891		partial;old_locus_tag=TR24_RS13620
CDS	with_protein	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000093.1	1	891	-	WP_042068922.1	WP_042068922.1		BapA prefix-like domain-containing protein			Ato01_RS13740	891	297	partial
gene	protein_coding	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000092.1	89	1047	+					istA		Ato01_RS13735	959		partial;old_locus_tag=TR24_RS13615
CDS	with_protein	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000092.1	89	1047	+	WP_042068921.1	WP_042068921.1		IS21 family transposase	istA		Ato01_RS13735	959	320	partial
gene	protein_coding	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000091.1	44	952	-							Ato01_RS13730	909		old_locus_tag=TR24_RS13610
CDS	with_protein	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000091.1	44	952	-	WP_004973361.1	WP_004973361.1		AEC family transporter			Ato01_RS13730	909	302	
gene	protein_coding	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000090.1	62	1090	-							Ato01_RS13725	1029		old_locus_tag=TR24_RS13605
CDS	with_protein	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000090.1	62	1090	-	WP_081402506.1	WP_081402506.1		transposase			Ato01_RS13725	1029	342	
gene	protein_coding	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000089.1	71	1152	+							Ato01_RS13720	1082		partial
CDS	with_protein	GCF_000760575.1	Primary Assembly	unplaced scaffold		NZ_BBNL01000089.1	71	1152	+	WP_155756550.1	WP_155756550.1		IS4 family transposase			Ato01_RS13720	1083	361	partial;ribosomal_slippage
