# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	rRNA	GCF_000775815.1	Primary Assembly	unplaced scaffold		NZ_BBOS01000168.1	98	212	+					rrf		Aju01S_RS17450	115		old_locus_tag=TR29_RS17330
rRNA		GCF_000775815.1	Primary Assembly	unplaced scaffold		NZ_BBOS01000168.1	98	212	+				5S ribosomal RNA	rrf		Aju01S_RS17450	115		
gene	rRNA	GCF_000775815.1	Primary Assembly	unplaced scaffold		NZ_BBOS01000167.1	128	1664	-							Aju01S_RS17445	1537		old_locus_tag=TR29_RS17325
rRNA		GCF_000775815.1	Primary Assembly	unplaced scaffold		NZ_BBOS01000167.1	128	1664	-				16S ribosomal RNA			Aju01S_RS17445	1537		
gene	rRNA	GCF_000775815.1	Primary Assembly	unplaced scaffold		NZ_BBOS01000166.1	155	3045	+							Aju01S_RS17440	2891		old_locus_tag=TR29_RS17315
rRNA		GCF_000775815.1	Primary Assembly	unplaced scaffold		NZ_BBOS01000166.1	155	3045	+				23S ribosomal RNA			Aju01S_RS17440	2891		
gene	pseudogene	GCF_000775815.1	Primary Assembly	unplaced scaffold		NZ_BBOS01000165.1	72	517	+							Aju01S_RS17435	446		partial;pseudo;old_locus_tag=TR29_RS17310
CDS	without_protein	GCF_000775815.1	Primary Assembly	unplaced scaffold		NZ_BBOS01000165.1	72	517	+				IS4 family transposase			Aju01S_RS17435	446		partial;pseudo
gene	protein_coding	GCF_000775815.1	Primary Assembly	unplaced scaffold		NZ_BBOS01000164.1	1	526	+							Aju01S_RS17430	526		partial;old_locus_tag=TR29_RS17305
CDS	with_protein	GCF_000775815.1	Primary Assembly	unplaced scaffold		NZ_BBOS01000164.1	1	526	+	WP_042893861.1	WP_042893861.1		FAD-dependent oxidoreductase			Aju01S_RS17430	526	174	partial
gene	protein_coding	GCF_000775815.1	Primary Assembly	unplaced scaffold		NZ_BBOS01000163.1	105	365	-							Aju01S_RS17425	261		old_locus_tag=TR29_RS17300
CDS	with_protein	GCF_000775815.1	Primary Assembly	unplaced scaffold		NZ_BBOS01000163.1	105	365	-	WP_002058491.1	WP_002058491.1		hypothetical protein			Aju01S_RS17425	261	86	
gene	protein_coding	GCF_000775815.1	Primary Assembly	unplaced scaffold		NZ_BBOS01000162.1	13	623	+							Aju01S_RS17420	611		partial;old_locus_tag=TR29_RS17295
CDS	with_protein	GCF_000775815.1	Primary Assembly	unplaced scaffold		NZ_BBOS01000162.1	13	623	+	WP_042893859.1	WP_042893859.1		IS30 family transposase			Aju01S_RS17420	611	204	partial
gene	protein_coding	GCF_000775815.1	Primary Assembly	unplaced scaffold		NZ_BBOS01000161.1	131	628	+							Aju01S_RS17415	498		partial;old_locus_tag=TR29_RS17290
CDS	with_protein	GCF_000775815.1	Primary Assembly	unplaced scaffold		NZ_BBOS01000161.1	131	628	+	WP_042893855.1	WP_042893855.1		DUF932 domain-containing protein			Aju01S_RS17415	498	166	partial
gene	protein_coding	GCF_000775815.1	Primary Assembly	unplaced scaffold		NZ_BBOS01000160.1	17	645	-							Aju01S_RS17410	629		partial;old_locus_tag=TR29_RS17285
CDS	with_protein	GCF_000775815.1	Primary Assembly	unplaced scaffold		NZ_BBOS01000160.1	17	645	-	WP_042893852.1	WP_042893852.1		transposase			Aju01S_RS17410	629	208	partial
gene	protein_coding	GCF_000775815.1	Primary Assembly	unplaced scaffold		NZ_BBOS01000159.1	1	498	-							Aju01S_RS17405	498		partial;old_locus_tag=TR29_RS17280
CDS	with_protein	GCF_000775815.1	Primary Assembly	unplaced scaffold		NZ_BBOS01000159.1	1	498	-	WP_042893849.1	WP_042893849.1		DUF932 domain-containing protein			Aju01S_RS17405	498	166	partial
gene	protein_coding	GCF_000775815.1	Primary Assembly	unplaced scaffold		NZ_BBOS01000158.1	49	333	+							Aju01S_RS17395	285		old_locus_tag=TR29_RS17270
CDS	with_protein	GCF_000775815.1	Primary Assembly	unplaced scaffold		NZ_BBOS01000158.1	49	333	+	WP_000016639.1	WP_000016639.1		transposase			Aju01S_RS17395	285	94	
gene	protein_coding	GCF_000775815.1	Primary Assembly	unplaced scaffold		NZ_BBOS01000158.1	381	764	+							Aju01S_RS17400	384		partial;old_locus_tag=TR29_RS17275
