# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000007345.1	Primary Assembly	chromosome		NC_003552.1	266	1510	-						1471893	MA_RS00005	1245		old_locus_tag=MA0001,MA_0001
CDS	with_protein	GCF_000007345.1	Primary Assembly	chromosome		NC_003552.1	266	1510	-	WP_048064787.1	WP_048064787.1		ORC1-type DNA replication protein		1471893	MA_RS00005	1245	414	
gene	protein_coding	GCF_000007345.1	Primary Assembly	chromosome		NC_003552.1	3805	5349	+					putP	1471895	MA_RS00010	1545		old_locus_tag=MA0003,MA_0003
CDS	with_protein	GCF_000007345.1	Primary Assembly	chromosome		NC_003552.1	3805	5349	+	WP_011020062.1	WP_011020062.1		sodium/proline symporter PutP	putP	1471895	MA_RS00010	1545	514	
gene	protein_coding	GCF_000007345.1	Primary Assembly	chromosome		NC_003552.1	7361	8134	-						1471896	MA_RS00015	774		old_locus_tag=MA0004,MA_0004
CDS	with_protein	GCF_000007345.1	Primary Assembly	chromosome		NC_003552.1	7361	8134	-	WP_011020063.1	WP_011020063.1		IS21-like element ISMac3 family helper ATPase IstB		1471896	MA_RS00015	774	257	
gene	protein_coding	GCF_000007345.1	Primary Assembly	chromosome		NC_003552.1	8131	9375	-						1471897	MA_RS00020	1245		old_locus_tag=MA0005,MA_0005
CDS	with_protein	GCF_000007345.1	Primary Assembly	chromosome		NC_003552.1	8131	9375	-	WP_011020064.1	WP_011020064.1		IS21-like element ISMac3 family transposase		1471897	MA_RS00020	1245	414	
gene	protein_coding	GCF_000007345.1	Primary Assembly	chromosome		NC_003552.1	9571	10758	+					mfnA	1471898	MA_RS00025	1188		old_locus_tag=MA0006,MA_0006
CDS	with_protein	GCF_000007345.1	Primary Assembly	chromosome		NC_003552.1	9571	10758	+	WP_011020065.1	WP_011020065.1		tyrosine decarboxylase MfnA	mfnA	1471898	MA_RS00025	1188	395	
gene	protein_coding	GCF_000007345.1	Primary Assembly	chromosome		NC_003552.1	11359	12453	+						1471899	MA_RS00030	1095		old_locus_tag=MA0007,MA_0007
CDS	with_protein	GCF_000007345.1	Primary Assembly	chromosome		NC_003552.1	11359	12453	+	WP_011020066.1	WP_011020066.1		CBS domain-containing protein		1471899	MA_RS00030	1095	364	
gene	protein_coding	GCF_000007345.1	Primary Assembly	chromosome		NC_003552.1	13031	14572	+						1471900	MA_RS00035	1542		old_locus_tag=MA0008,MA_0008
CDS	with_protein	GCF_000007345.1	Primary Assembly	chromosome		NC_003552.1	13031	14572	+	WP_011020067.1	WP_011020067.1		TraB/GumN family protein		1471900	MA_RS00035	1542	513	
gene	protein_coding	GCF_000007345.1	Primary Assembly	chromosome		NC_003552.1	14788	15084	-						1471901	MA_RS00040	297		old_locus_tag=MA0009,MA_0009
