# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000204415.1	Primary Assembly	chromosome		NC_015416.1	53	2995	+						10462725	MCON_RS00005	2943		old_locus_tag=MCON_0001
CDS	with_protein	GCF_000204415.1	Primary Assembly	chromosome		NC_015416.1	53	2995	+	WP_013717992.1	WP_013717992.1		S8 family serine peptidase		10462725	MCON_RS00005	2943	980	
gene	protein_coding	GCF_000204415.1	Primary Assembly	chromosome		NC_015416.1	2943	4070	-						24812091	MCON_RS00010	1128		
CDS	with_protein	GCF_000204415.1	Primary Assembly	chromosome		NC_015416.1	2943	4070	-	WP_048131541.1	WP_048131541.1		IS256 family transposase		24812091	MCON_RS00010	1128	375	
gene	protein_coding	GCF_000204415.1	Primary Assembly	chromosome		NC_015416.1	4211	5338	-						10459820	MCON_RS00015	1128		old_locus_tag=MCON_0002
CDS	with_protein	GCF_000204415.1	Primary Assembly	chromosome		NC_015416.1	4211	5338	-	WP_013717993.1	WP_013717993.1		IS256 family transposase		10459820	MCON_RS00015	1128	375	
gene	protein_coding	GCF_000204415.1	Primary Assembly	chromosome		NC_015416.1	5378	9148	+						10459821	MCON_RS00020	3771		old_locus_tag=MCON_0003
CDS	with_protein	GCF_000204415.1	Primary Assembly	chromosome		NC_015416.1	5378	9148	+	WP_013717994.1	WP_013717994.1		S8 family serine peptidase		10459821	MCON_RS00020	3771	1256	
gene	protein_coding	GCF_000204415.1	Primary Assembly	chromosome		NC_015416.1	9430	11514	-						10459822	MCON_RS00025	2085		old_locus_tag=MCON_0004
CDS	with_protein	GCF_000204415.1	Primary Assembly	chromosome		NC_015416.1	9430	11514	-	WP_013717995.1	WP_013717995.1		S9 family peptidase		10459822	MCON_RS00025	2085	694	
gene	protein_coding	GCF_000204415.1	Primary Assembly	chromosome		NC_015416.1	11899	12207	-						10459823	MCON_RS00030	309		old_locus_tag=MCON_0005
CDS	with_protein	GCF_000204415.1	Primary Assembly	chromosome		NC_015416.1	11899	12207	-	WP_013717996.1	WP_013717996.1		hypothetical protein		10459823	MCON_RS00030	309	102	
gene	protein_coding	GCF_000204415.1	Primary Assembly	chromosome		NC_015416.1	12297	13202	+						10459824	MCON_RS00035	906		old_locus_tag=MCON_0006
CDS	with_protein	GCF_000204415.1	Primary Assembly	chromosome		NC_015416.1	12297	13202	+	WP_048131543.1	WP_048131543.1		tetratricopeptide repeat protein		10459824	MCON_RS00035	906	301	
gene	protein_coding	GCF_000204415.1	Primary Assembly	chromosome		NC_015416.1	13276	14520	-						10459825	MCON_RS00040	1245		old_locus_tag=MCON_0007
CDS	with_protein	GCF_000204415.1	Primary Assembly	chromosome		NC_015416.1	13276	14520	-	WP_013717998.1	WP_013717998.1		LVIVD repeat family		10459825	MCON_RS00040	1245	414	
gene	protein_coding	GCF_000204415.1	Primary Assembly	chromosome		NC_015416.1	14517	15851	-						10459826	MCON_RS00045	1335		old_locus_tag=MCON_0008
CDS	with_protein	GCF_000204415.1	Primary Assembly	chromosome		NC_015416.1	14517	15851	-	WP_013717999.1	WP_013717999.1		hypothetical protein		10459826	MCON_RS00045	1335	444	
gene	protein_coding	GCF_000204415.1	Primary Assembly	chromosome		NC_015416.1	16075	16809	-						62500943	MCON_RS16510	735		
CDS	with_protein	GCF_000204415.1	Primary Assembly	chromosome		NC_015416.1	16075	16809	-	WP_202795808.1	WP_202795808.1		PLP-dependent aminotransferase family protein		62500943	MCON_RS16510	735	244	
gene	protein_coding	GCF_000204415.1	Primary Assembly	chromosome		NC_015416.1	16840	17253	-						62500944	MCON_RS16515	414		
CDS	with_protein	GCF_000204415.1	Primary Assembly	chromosome		NC_015416.1	16840	17253	-	WP_202795809.1	WP_202795809.1		aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme		62500944	MCON_RS16515	414	137	
gene	protein_coding	GCF_000204415.1	Primary Assembly	chromosome		NC_015416.1	17554	17841	+						10459828	MCON_RS00055	288		old_locus_tag=MCON_0011
