# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_904846025.1	Primary Assembly	unplaced scaffold		NZ_CAJGZE010000001.1	293	1618	-					purD		JMV65_RS00005	1326		
CDS	with_protein	GCF_904846025.1	Primary Assembly	unplaced scaffold		NZ_CAJGZE010000001.1	293	1618	-	WP_041758004.1	WP_041758004.1		phosphoribosylamine--glycine ligase	purD		JMV65_RS00005	1326	441	
gene	protein_coding	GCF_904846025.1	Primary Assembly	unplaced scaffold		NZ_CAJGZE010000001.1	2058	6917	+							JMV65_RS00010	4860		
CDS	with_protein	GCF_904846025.1	Primary Assembly	unplaced scaffold		NZ_CAJGZE010000001.1	2058	6917	+	WP_011280336.1	WP_011280336.1		NAD-glutamate dehydrogenase			JMV65_RS00010	4860	1619	
gene	protein_coding	GCF_904846025.1	Primary Assembly	unplaced scaffold		NZ_CAJGZE010000001.1	7096	11019	-							JMV65_RS00015	3924		
CDS	with_protein	GCF_904846025.1	Primary Assembly	unplaced scaffold		NZ_CAJGZE010000001.1	7096	11019	-	WP_011280337.1	WP_011280337.1		AAA family ATPase			JMV65_RS00015	3924	1307	
gene	protein_coding	GCF_904846025.1	Primary Assembly	unplaced scaffold		NZ_CAJGZE010000001.1	11092	12645	-							JMV65_RS00020	1554		
CDS	with_protein	GCF_904846025.1	Primary Assembly	unplaced scaffold		NZ_CAJGZE010000001.1	11092	12645	-	WP_041757640.1	WP_041757640.1		exonuclease SbcCD subunit D C-terminal domain-containing protein			JMV65_RS00020	1554	517	
gene	protein_coding	GCF_904846025.1	Primary Assembly	unplaced scaffold		NZ_CAJGZE010000001.1	12782	14431	-					cobA		JMV65_RS00025	1650		
CDS	with_protein	GCF_904846025.1	Primary Assembly	unplaced scaffold		NZ_CAJGZE010000001.1	12782	14431	-	WP_041757642.1	WP_041757642.1		siroheme synthase CysG	cobA		JMV65_RS00025	1650	549	
gene	protein_coding	GCF_904846025.1	Primary Assembly	unplaced scaffold		NZ_CAJGZE010000001.1	14672	15310	-							JMV65_RS00030	639		
CDS	with_protein	GCF_904846025.1	Primary Assembly	unplaced scaffold		NZ_CAJGZE010000001.1	14672	15310	-	WP_011280340.1	WP_011280340.1		phosphoadenosine phosphosulfate reductase family protein			JMV65_RS00030	639	212	
gene	protein_coding	GCF_904846025.1	Primary Assembly	unplaced scaffold		NZ_CAJGZE010000001.1	15361	15957	-							JMV65_RS00035	597		
CDS	with_protein	GCF_904846025.1	Primary Assembly	unplaced scaffold		NZ_CAJGZE010000001.1	15361	15957	-	WP_011280341.1	WP_011280341.1		DUF934 domain-containing protein			JMV65_RS00035	597	198	
gene	protein_coding	GCF_904846025.1	Primary Assembly	unplaced scaffold		NZ_CAJGZE010000001.1	15950	17635	-							JMV65_RS00040	1686		
CDS	with_protein	GCF_904846025.1	Primary Assembly	unplaced scaffold		NZ_CAJGZE010000001.1	15950	17635	-	WP_011280342.1	WP_011280342.1		nitrite/sulfite reductase			JMV65_RS00040	1686	561	
gene	protein_coding	GCF_904846025.1	Primary Assembly	unplaced scaffold		NZ_CAJGZE010000001.1	18113	19366	+					sat		JMV65_RS00045	1254		
CDS	with_protein	GCF_904846025.1	Primary Assembly	unplaced scaffold		NZ_CAJGZE010000001.1	18113	19366	+	WP_041758005.1	WP_041758005.1		sulfate adenylyltransferase	sat		JMV65_RS00045	1254	417	
