# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000092105.1	Primary Assembly	chromosome		NC_014148.1	614	3166	+							PLIM_RS22070	2553		old_locus_tag=Plim_0001
CDS	with_protein	GCF_000092105.1	Primary Assembly	chromosome		NC_014148.1	614	3166	+	WP_013108285.1	WP_013108285.1		chromosomal replication initiator protein DnaA			PLIM_RS22070	2553	850	
gene	protein_coding	GCF_000092105.1	Primary Assembly	chromosome		NC_014148.1	3189	4967	-							PLIM_RS22075	1779		old_locus_tag=Plim_0002
CDS	with_protein	GCF_000092105.1	Primary Assembly	chromosome		NC_014148.1	3189	4967	-	WP_013108286.1	WP_013108286.1		HAMP domain-containing protein			PLIM_RS22075	1779	592	
gene	protein_coding	GCF_000092105.1	Primary Assembly	chromosome		NC_014148.1	5023	5730	-							PLIM_RS00025	708		old_locus_tag=Plim_0003
CDS	with_protein	GCF_000092105.1	Primary Assembly	chromosome		NC_014148.1	5023	5730	-	WP_013108287.1	WP_013108287.1		response regulator transcription factor			PLIM_RS00025	708	235	
gene	protein_coding	GCF_000092105.1	Primary Assembly	chromosome		NC_014148.1	6006	7139	-							PLIM_RS24310	1134		old_locus_tag=Plim_0005
CDS	with_protein	GCF_000092105.1	Primary Assembly	chromosome		NC_014148.1	6006	7139	-	WP_013108289.1	WP_013108289.1		OB-fold tRNA/helicase-type nucleic acid binding-protein			PLIM_RS24310	1134	377	
gene	protein_coding	GCF_000092105.1	Primary Assembly	chromosome		NC_014148.1	7544	8851	+							PLIM_RS00045	1308		old_locus_tag=Plim_0006
CDS	with_protein	GCF_000092105.1	Primary Assembly	chromosome		NC_014148.1	7544	8851	+	WP_013108290.1	WP_013108290.1		Gfo/Idh/MocA family oxidoreductase			PLIM_RS00045	1308	435	
gene	protein_coding	GCF_000092105.1	Primary Assembly	chromosome		NC_014148.1	8976	9230	-							PLIM_RS23925	255		old_locus_tag=Plim_0007
CDS	with_protein	GCF_000092105.1	Primary Assembly	chromosome		NC_014148.1	8976	9230	-	WP_013108291.1	WP_013108291.1		ferredoxin family protein			PLIM_RS23925	255	84	
gene	protein_coding	GCF_000092105.1	Primary Assembly	chromosome		NC_014148.1	9309	10766	+							PLIM_RS22080	1458		old_locus_tag=Plim_0008
CDS	with_protein	GCF_000092105.1	Primary Assembly	chromosome		NC_014148.1	9309	10766	+	WP_196349501.1	WP_196349501.1		protein kinase			PLIM_RS22080	1458	485	
gene	protein_coding	GCF_000092105.1	Primary Assembly	chromosome		NC_014148.1	10824	11840	-							PLIM_RS00055	1017		old_locus_tag=Plim_0009
CDS	with_protein	GCF_000092105.1	Primary Assembly	chromosome		NC_014148.1	10824	11840	-	WP_013108293.1	WP_013108293.1		D-alanine--D-alanine ligase			PLIM_RS00055	1017	338	
gene	protein_coding	GCF_000092105.1	Primary Assembly	chromosome		NC_014148.1	11910	13304	-							PLIM_RS00060	1395		old_locus_tag=Plim_0010
CDS	with_protein	GCF_000092105.1	Primary Assembly	chromosome		NC_014148.1	11910	13304	-	WP_013108294.1	WP_013108294.1		hypothetical protein			PLIM_RS00060	1395	464	
gene	protein_coding	GCF_000092105.1	Primary Assembly	chromosome		NC_014148.1	13644	14522	-					murB		PLIM_RS00065	879		old_locus_tag=Plim_0011
CDS	with_protein	GCF_000092105.1	Primary Assembly	chromosome		NC_014148.1	13644	14522	-	WP_013108295.1	WP_013108295.1		UDP-N-acetylmuramate dehydrogenase	murB		PLIM_RS00065	879	292	
gene	protein_coding	GCF_000092105.1	Primary Assembly	chromosome		NC_014148.1	14413	16122	-							PLIM_RS00070	1710		old_locus_tag=Plim_0012
CDS	with_protein	GCF_000092105.1	Primary Assembly	chromosome		NC_014148.1	14413	16122	-	WP_013108296.1	WP_013108296.1		Mur ligase middle domain-containing protein			PLIM_RS00070	1710	569	
gene	protein_coding	GCF_000092105.1	Primary Assembly	chromosome		NC_014148.1	16614	16946	+							PLIM_RS00075	333		old_locus_tag=Plim_0013
