# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000015765.1	Primary Assembly	chromosome		NC_008942.1	531	1808	+						4795583	MLAB_RS00005	1278		old_locus_tag=Mlab_0001
CDS	with_protein	GCF_000015765.1	Primary Assembly	chromosome		NC_008942.1	531	1808	+	WP_011832380.1	WP_011832380.1		ORC1-type DNA replication protein		4795583	MLAB_RS00005	1278	425	
gene	protein_coding	GCF_000015765.1	Primary Assembly	chromosome		NC_008942.1	1811	2302	+						4794458	MLAB_RS00010	492		old_locus_tag=Mlab_0002
CDS	with_protein	GCF_000015765.1	Primary Assembly	chromosome		NC_008942.1	1811	2302	+	WP_011832381.1	WP_011832381.1		Lrp/AsnC family transcriptional regulator		4794458	MLAB_RS00010	492	163	
gene	protein_coding	GCF_000015765.1	Primary Assembly	chromosome		NC_008942.1	2316	3479	+						4795244	MLAB_RS00015	1164		old_locus_tag=Mlab_0003
CDS	with_protein	GCF_000015765.1	Primary Assembly	chromosome		NC_008942.1	2316	3479	+	WP_011832382.1	WP_011832382.1		aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme		4795244	MLAB_RS00015	1164	387	
gene	protein_coding	GCF_000015765.1	Primary Assembly	chromosome		NC_008942.1	3537	4952	+						4794930	MLAB_RS00020	1416		old_locus_tag=Mlab_0004
CDS	with_protein	GCF_000015765.1	Primary Assembly	chromosome		NC_008942.1	3537	4952	+	WP_011832383.1	WP_011832383.1		DNA-directed DNA polymerase II small subunit		4794930	MLAB_RS00020	1416	471	
gene	protein_coding	GCF_000015765.1	Primary Assembly	chromosome		NC_008942.1	5064	7148	+						4794573	MLAB_RS00025	2085		old_locus_tag=Mlab_0005
CDS	with_protein	GCF_000015765.1	Primary Assembly	chromosome		NC_008942.1	5064	7148	+	WP_011832384.1	WP_011832384.1		sodium-translocating pyrophosphatase		4794573	MLAB_RS00025	2085	694	
gene	protein_coding	GCF_000015765.1	Primary Assembly	chromosome		NC_008942.1	7241	7570	-						4795051	MLAB_RS00030	330		old_locus_tag=Mlab_0006
CDS	with_protein	GCF_000015765.1	Primary Assembly	chromosome		NC_008942.1	7241	7570	-	WP_011832385.1	WP_011832385.1		cupin domain-containing protein		4795051	MLAB_RS00030	330	109	
gene	protein_coding	GCF_000015765.1	Primary Assembly	chromosome		NC_008942.1	7707	8141	+						4795552	MLAB_RS00035	435		old_locus_tag=Mlab_0007
CDS	with_protein	GCF_000015765.1	Primary Assembly	chromosome		NC_008942.1	7707	8141	+	WP_011832386.1	WP_011832386.1		DUF3795 domain-containing protein		4795552	MLAB_RS00035	435	144	
gene	protein_coding	GCF_000015765.1	Primary Assembly	chromosome		NC_008942.1	8393	8875	-					rimI	4796025	MLAB_RS00040	483		old_locus_tag=Mlab_0008
CDS	with_protein	GCF_000015765.1	Primary Assembly	chromosome		NC_008942.1	8393	8875	-	WP_011832387.1	WP_011832387.1		ribosomal protein S18-alanine N-acetyltransferase	rimI	4796025	MLAB_RS00040	483	160	
gene	protein_coding	GCF_000015765.1	Primary Assembly	chromosome		NC_008942.1	8915	10168	+						4794465	MLAB_RS00045	1254		old_locus_tag=Mlab_0009
CDS	with_protein	GCF_000015765.1	Primary Assembly	chromosome		NC_008942.1	8915	10168	+	WP_011832388.1	WP_011832388.1		DUF1015 family protein		4794465	MLAB_RS00045	1254	417	
gene	protein_coding	GCF_000015765.1	Primary Assembly	chromosome		NC_008942.1	10248	11060	-						4794515	MLAB_RS00050	813		old_locus_tag=Mlab_0010
CDS	with_protein	GCF_000015765.1	Primary Assembly	chromosome		NC_008942.1	10248	11060	-	WP_011832389.1	WP_011832389.1		MerR family transcriptional regulator		4794515	MLAB_RS00050	813	270	
gene	protein_coding	GCF_000015765.1	Primary Assembly	chromosome		NC_008942.1	11177	11986	-						4794988	MLAB_RS00055	810		old_locus_tag=Mlab_0011
CDS	with_protein	GCF_000015765.1	Primary Assembly	chromosome		NC_008942.1	11177	11986	-	WP_048061924.1	WP_048061924.1		hypothetical protein		4794988	MLAB_RS00055	810	269	
gene	protein_coding	GCF_000015765.1	Primary Assembly	chromosome		NC_008942.1	12111	12983	-					frhB	4795951	MLAB_RS00060	873		old_locus_tag=Mlab_0012
