# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000212675.2	Primary Assembly	chromosome		NC_016629.1	200	1564	+					dnaA		DESAF_RS00005	1365		old_locus_tag=Desaf_0001
CDS	with_protein	GCF_000212675.2	Primary Assembly	chromosome		NC_016629.1	200	1564	+	WP_014258249.1	WP_014258249.1		chromosomal replication initiator protein DnaA	dnaA		DESAF_RS00005	1365	454	
gene	protein_coding	GCF_000212675.2	Primary Assembly	chromosome		NC_016629.1	1924	2673	-							DESAF_RS00010	750		old_locus_tag=Desaf_0002
CDS	with_protein	GCF_000212675.2	Primary Assembly	chromosome		NC_016629.1	1924	2673	-	WP_014258250.1	WP_014258250.1		UPF0280 family protein			DESAF_RS00010	750	249	
gene	protein_coding	GCF_000212675.2	Primary Assembly	chromosome		NC_016629.1	2679	3344	-					thyX		DESAF_RS00015	666		old_locus_tag=Desaf_0003
CDS	with_protein	GCF_000212675.2	Primary Assembly	chromosome		NC_016629.1	2679	3344	-	WP_014258251.1	WP_014258251.1		FAD-dependent thymidylate synthase	thyX		DESAF_RS00015	666	221	
gene	protein_coding	GCF_000212675.2	Primary Assembly	chromosome		NC_016629.1	3550	4518	-					ruvB		DESAF_RS00020	969		old_locus_tag=Desaf_0004
CDS	with_protein	GCF_000212675.2	Primary Assembly	chromosome		NC_016629.1	3550	4518	-	WP_005985354.1	WP_005985354.1		Holliday junction branch migration DNA helicase RuvB	ruvB		DESAF_RS00020	969	322	
gene	protein_coding	GCF_000212675.2	Primary Assembly	chromosome		NC_016629.1	4522	5130	-					ruvA		DESAF_RS00025	609		old_locus_tag=Desaf_0005
CDS	with_protein	GCF_000212675.2	Primary Assembly	chromosome		NC_016629.1	4522	5130	-	WP_005985353.1	WP_005985353.1		Holliday junction branch migration protein RuvA	ruvA		DESAF_RS00025	609	202	
gene	protein_coding	GCF_000212675.2	Primary Assembly	chromosome		NC_016629.1	5138	5674	-					ruvC		DESAF_RS00030	537		old_locus_tag=Desaf_0006
CDS	with_protein	GCF_000212675.2	Primary Assembly	chromosome		NC_016629.1	5138	5674	-	WP_014258252.1	WP_014258252.1		crossover junction endodeoxyribonuclease RuvC	ruvC		DESAF_RS00030	537	178	
gene	protein_coding	GCF_000212675.2	Primary Assembly	chromosome		NC_016629.1	5675	6421	-							DESAF_RS00035	747		old_locus_tag=Desaf_0007
CDS	with_protein	GCF_000212675.2	Primary Assembly	chromosome		NC_016629.1	5675	6421	-	WP_014258253.1	WP_014258253.1		YebC/PmpR family DNA-binding transcriptional regulator			DESAF_RS00035	747	248	
gene	protein_coding	GCF_000212675.2	Primary Assembly	chromosome		NC_016629.1	6598	7224	-							DESAF_RS00040	627		old_locus_tag=Desaf_0008
CDS	with_protein	GCF_000212675.2	Primary Assembly	chromosome		NC_016629.1	6598	7224	-	WP_014258254.1	WP_014258254.1		RlmE family RNA methyltransferase			DESAF_RS00040	627	208	
gene	protein_coding	GCF_000212675.2	Primary Assembly	chromosome		NC_016629.1	7285	8814	+							DESAF_RS00045	1530		old_locus_tag=Desaf_0009
