# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000310225.1	Primary Assembly	unplaced scaffold		NZ_AMXF01000001.1	102	2228	+							C667_RS00005	2127		old_locus_tag=C667_00005
CDS	with_protein	GCF_000310225.1	Primary Assembly	unplaced scaffold		NZ_AMXF01000001.1	102	2228	+	WP_039920430.1	WP_039920430.1		LPS-assembly protein LptD			C667_RS00005	2127	708	
gene	protein_coding	GCF_000310225.1	Primary Assembly	unplaced scaffold		NZ_AMXF01000001.1	2260	3576	+							C667_RS00010	1317		old_locus_tag=C667_00010
CDS	with_protein	GCF_000310225.1	Primary Assembly	unplaced scaffold		NZ_AMXF01000001.1	2260	3576	+	WP_004354730.1	WP_004354730.1		peptidylprolyl isomerase			C667_RS00010	1317	438	
gene	protein_coding	GCF_000310225.1	Primary Assembly	unplaced scaffold		NZ_AMXF01000001.1	3656	4672	+					pdxA		C667_RS00015	1017		old_locus_tag=C667_00015
CDS	with_protein	GCF_000310225.1	Primary Assembly	unplaced scaffold		NZ_AMXF01000001.1	3656	4672	+	WP_004354732.1	WP_004354732.1		4-hydroxythreonine-4-phosphate dehydrogenase PdxA	pdxA		C667_RS00015	1017	338	
gene	protein_coding	GCF_000310225.1	Primary Assembly	unplaced scaffold		NZ_AMXF01000001.1	4716	5534	+					rsmA		C667_RS00020	819		old_locus_tag=C667_00020
CDS	with_protein	GCF_000310225.1	Primary Assembly	unplaced scaffold		NZ_AMXF01000001.1	4716	5534	+	WP_004354733.1	WP_004354733.1		16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA	rsmA		C667_RS00020	819	272	
gene	protein_coding	GCF_000310225.1	Primary Assembly	unplaced scaffold		NZ_AMXF01000001.1	5576	5767	-							C667_RS00025	192		old_locus_tag=C667_00025
CDS	with_protein	GCF_000310225.1	Primary Assembly	unplaced scaffold		NZ_AMXF01000001.1	5576	5767	-	WP_004354734.1	WP_004354734.1		DUF2892 domain-containing protein			C667_RS00025	192	63	
gene	protein_coding	GCF_000310225.1	Primary Assembly	unplaced scaffold		NZ_AMXF01000001.1	5915	6595	-							C667_RS00030	681		old_locus_tag=C667_00030
CDS	with_protein	GCF_000310225.1	Primary Assembly	unplaced scaffold		NZ_AMXF01000001.1	5915	6595	-	WP_039920431.1	WP_039920431.1		Crp/Fnr family transcriptional regulator			C667_RS00030	681	226	
