# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000128.1	269	535	+							MBEBAB_RS14815	267		partial;pseudo
CDS	without_protein	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000128.1	269	535	+				imidazole glycerol phosphate synthase subunit HisF			MBEBAB_RS14815	267		partial;pseudo
gene	pseudogene	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000127.1	1	546	-							MBEBAB_RS14810	546		partial;pseudo
CDS	without_protein	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000127.1	1	546	-				histidine kinase			MBEBAB_RS14810	546		partial;pseudo
gene	pseudogene	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000126.1	1	555	+					bioB		MBEBAB_RS14805	555		partial;pseudo;old_locus_tag=MBE-BAB_2946,MBEBAB_2946
CDS	without_protein	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000126.1	1	555	+				biotin synthase BioB	bioB		MBEBAB_RS14805	555		partial;pseudo
gene	protein_coding	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000125.1	1	563	-							MBEBAB_RS14800	563		partial
CDS	with_protein	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000125.1	1	563	-	WP_045319490.1	WP_045319490.1		S46 family peptidase			MBEBAB_RS14800	563	188	partial
gene	protein_coding	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000124.1	1	338	-							MBEBAB_RS14790	338		partial
CDS	with_protein	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000124.1	1	338	-	WP_045319488.1	WP_045319488.1		acyl-CoA dehydrogenase N-terminal domain-containing protein			MBEBAB_RS14790	338	112	partial
gene	pseudogene	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000124.1	342	564	-							MBEBAB_RS14795	223		partial;pseudo;old_locus_tag=MBEBAB_2945
CDS	without_protein	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000124.1	342	564	-				transcriptional regulator			MBEBAB_RS14795	223		partial;pseudo
gene	pseudogene	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000123.1	1	577	+							MBEBAB_RS15930	577		partial;pseudo;old_locus_tag=MBEBAB_2944
CDS	without_protein	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000123.1	1	577	+				S46 family peptidase			MBEBAB_RS15930	577		partial;pseudo
gene	pseudogene	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000121.1	1	297	-							MBEBAB_RS14780	297		partial;pseudo
CDS	without_protein	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000121.1	1	297	-				TonB-dependent receptor			MBEBAB_RS14780	297		partial;pseudo
gene	protein_coding	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000120.1	1	560	+							MBEBAB_RS14775	560		partial;old_locus_tag=MBE-BAB_2943,MBEBAB_2943
CDS	with_protein	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000120.1	1	560	+	WP_045319486.1	WP_045319486.1		class I SAM-dependent methyltransferase			MBEBAB_RS14775	560	185	partial
gene	protein_coding	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000119.1	1	218	+							MBEBAB_RS14765	218		partial;old_locus_tag=MBE-BAB_2942,MBEBAB_2942
CDS	with_protein	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000119.1	1	218	+	WP_045319484.1	WP_045319484.1		multicopper oxidase domain-containing protein			MBEBAB_RS14765	218	71	partial
gene	pseudogene	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000119.1	215	698	+							MBEBAB_RS14770	484		partial;pseudo
CDS	without_protein	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000119.1	215	698	+				copper resistance protein B			MBEBAB_RS14770	484		partial;pseudo
gene	protein_coding	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000118.1	154	728	-							MBEBAB_RS14760	575		partial;old_locus_tag=MBE-BAB_2941,MBEBAB_2941
CDS	with_protein	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000118.1	154	728	-	WP_045319483.1	WP_045319483.1		copper resistance protein B			MBEBAB_RS14760	575	190	partial
gene	protein_coding	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000117.1	1	218	+							MBEBAB_RS14750	218		partial;old_locus_tag=MBE-BAB_2940,MBEBAB_2940
CDS	with_protein	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000117.1	1	218	+	WP_045319481.1	WP_045319481.1		multicopper oxidase domain-containing protein			MBEBAB_RS14750	218	71	partial
gene	pseudogene	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000117.1	215	738	+							MBEBAB_RS14755	524		partial;pseudo
CDS	without_protein	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000117.1	215	738	+				copper resistance protein B			MBEBAB_RS14755	524		partial;pseudo
gene	protein_coding	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000116.1	1	681	+							MBEBAB_RS14745	681		partial;old_locus_tag=MBE-BAB_2939,MBEBAB_2939
CDS	with_protein	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000116.1	1	681	+	WP_045319480.1	WP_045319480.1		PhoH family protein			MBEBAB_RS14745	681	226	partial
gene	protein_coding	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000115.1	38	1192	-							MBEBAB_RS14740	1155		old_locus_tag=MBE-BAB_2938,MBEBAB_2938
CDS	with_protein	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000115.1	38	1192	-	WP_021698782.1	WP_021698782.1		MFS transporter			MBEBAB_RS14740	1155	384	
gene	pseudogene	GCF_000466985.1	Primary Assembly	unplaced scaffold		NZ_BATC01000114.1	1	1402	-							MBEBAB_RS16670	1402		partial;pseudo
