# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001530125.1	Primary Assembly	unplaced scaffold		NZ_LDUG01000001.1	1	376	-							ABW22_RS16550	376		partial
CDS	with_protein	GCF_001530125.1	Primary Assembly	unplaced scaffold		NZ_LDUG01000001.1	1	376	-	WP_162264462.1	WP_162264462.1		guanylate kinase			ABW22_RS16550	376	125	partial
gene	protein_coding	GCF_001530125.1	Primary Assembly	unplaced scaffold		NZ_LDUG01000001.1	1117	2315	+							ABW22_RS00020	1199		old_locus_tag=ABW22_00020
CDS	with_protein	GCF_001530125.1	Primary Assembly	unplaced scaffold		NZ_LDUG01000001.1	1117	2315	+	WP_202813880.1	WP_202813880.1		IS3 family transposase			ABW22_RS00020	1200	399	ribosomal_slippage
gene	pseudogene	GCF_001530125.1	Primary Assembly	unplaced scaffold		NZ_LDUG01000001.1	2282	2500	-							ABW22_RS16555	219		partial;pseudo
CDS	without_protein	GCF_001530125.1	Primary Assembly	unplaced scaffold		NZ_LDUG01000001.1	2282	2500	-				hypothetical protein			ABW22_RS16555	219		partial;pseudo
gene	protein_coding	GCF_001530125.1	Primary Assembly	unplaced scaffold		NZ_LDUG01000001.1	2535	3325	+							ABW22_RS16560	791		
CDS	with_protein	GCF_001530125.1	Primary Assembly	unplaced scaffold		NZ_LDUG01000001.1	2535	3325	+	WP_088178732.1	WP_088178732.1		IS5 family transposase			ABW22_RS16560	792	263	ribosomal_slippage
gene	protein_coding	GCF_001530125.1	Primary Assembly	unplaced scaffold		NZ_LDUG01000001.1	3390	3527	+							ABW22_RS17090	138		
CDS	with_protein	GCF_001530125.1	Primary Assembly	unplaced scaffold		NZ_LDUG01000001.1	3390	3527	+	WP_202813881.1	WP_202813881.1		hypothetical protein			ABW22_RS17090	138	45	
gene	protein_coding	GCF_001530125.1	Primary Assembly	unplaced scaffold		NZ_LDUG01000001.1	3521	3679	+							ABW22_RS17095	159		
CDS	with_protein	GCF_001530125.1	Primary Assembly	unplaced scaffold		NZ_LDUG01000001.1	3521	3679	+	WP_157648474.1	WP_157648474.1		hypothetical protein			ABW22_RS17095	159	52	
gene	protein_coding	GCF_001530125.1	Primary Assembly	unplaced scaffold		NZ_LDUG01000001.1	3694	3939	+							ABW22_RS00035	246		
CDS	with_protein	GCF_001530125.1	Primary Assembly	unplaced scaffold		NZ_LDUG01000001.1	3694	3939	+	WP_157648475.1	WP_157648475.1		hypothetical protein			ABW22_RS00035	246	81	
gene	protein_coding	GCF_001530125.1	Primary Assembly	unplaced scaffold		NZ_LDUG01000001.1	3926	6583	-							ABW22_RS00040	2658		old_locus_tag=ABW22_00040
