# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	1	256	+							SULAR_RS10205	256		partial;old_locus_tag=SULAR_10159
CDS	with_protein	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	1	256	+	WP_008245743.1	WP_008245743.1		helix-turn-helix domain-containing protein			SULAR_RS10205	256	84	partial
gene	protein_coding	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	312	2060	+							SULAR_RS10210	1749		old_locus_tag=SULAR_10164
CDS	with_protein	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	312	2060	+	WP_155993897.1	WP_155993897.1		HAMP domain-containing histidine kinase			SULAR_RS10210	1749	582	
gene	protein_coding	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	2110	3771	+							SULAR_RS10975	1662		old_locus_tag=SULAR_10169
CDS	with_protein	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	2110	3771	+	WP_008245747.1	WP_008245747.1		PAS domain-containing sensor histidine kinase			SULAR_RS10975	1662	553	
gene	protein_coding	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	3824	5812	-					tkt		SULAR_RS10220	1989		old_locus_tag=SULAR_10174
CDS	with_protein	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	3824	5812	-	WP_008245748.1	WP_008245748.1		transketolase	tkt		SULAR_RS10220	1989	662	
gene	protein_coding	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	5823	6671	-							SULAR_RS10225	849		old_locus_tag=SULAR_10179
CDS	with_protein	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	5823	6671	-	WP_008245749.1	WP_008245749.1		polyprenyl synthetase family protein			SULAR_RS10225	849	282	
gene	protein_coding	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	6729	6953	+							SULAR_RS10230	225		old_locus_tag=SULAR_10184
CDS	with_protein	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	6729	6953	+	WP_008245750.1	WP_008245750.1		hypothetical protein			SULAR_RS10230	225	74	
gene	protein_coding	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	6950	7432	-							SULAR_RS10235	483		old_locus_tag=SULAR_10189
CDS	with_protein	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	6950	7432	-	WP_038000620.1	WP_038000620.1		shikimate kinase			SULAR_RS10235	483	160	
gene	protein_coding	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	7466	7717	-							SULAR_RS10240	252		old_locus_tag=SULAR_10194
CDS	with_protein	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	7466	7717	-	WP_008245752.1	WP_008245752.1		hypothetical protein			SULAR_RS10240	252	83	
gene	protein_coding	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	7849	8541	+							SULAR_RS10245	693		old_locus_tag=SULAR_10199
CDS	with_protein	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	7849	8541	+	WP_008245753.1	WP_008245753.1		SDR family NAD(P)-dependent oxidoreductase			SULAR_RS10245	693	230	
gene	protein_coding	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	8654	9979	-							SULAR_RS10250	1326		old_locus_tag=SULAR_10204
CDS	with_protein	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	8654	9979	-	WP_008245755.1	WP_008245755.1		MATE family efflux transporter			SULAR_RS10250	1326	441	
gene	protein_coding	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	9989	10309	-							SULAR_RS10255	321		old_locus_tag=SULAR_10209
CDS	with_protein	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	9989	10309	-	WP_008245757.1	WP_008245757.1		hypothetical protein			SULAR_RS10255	321	106	
gene	protein_coding	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	10556	12142	+							SULAR_RS10260	1587		old_locus_tag=SULAR_10214
CDS	with_protein	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	10556	12142	+	WP_008245758.1	WP_008245758.1		hypothetical protein			SULAR_RS10260	1587	528	
gene	protein_coding	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	12282	12446	-							SULAR_RS11065	165		old_locus_tag=SULAR_10219
CDS	with_protein	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	12282	12446	-	WP_188084899.1	WP_188084899.1		DUF4389 domain-containing protein			SULAR_RS11065	165	54	
gene	protein_coding	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	12700	14922	+							SULAR_RS10265	2223		old_locus_tag=SULAR_10224
CDS	with_protein	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	12700	14922	+	WP_008245762.1	WP_008245762.1		hypothetical protein			SULAR_RS10265	2223	740	
gene	protein_coding	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	15073	15606	+							SULAR_RS10270	534		old_locus_tag=SULAR_10229
CDS	with_protein	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	15073	15606	+	WP_008245764.1	WP_008245764.1		hypothetical protein			SULAR_RS10270	534	177	
gene	protein_coding	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	15716	15988	-							SULAR_RS10275	273		old_locus_tag=SULAR_10234
CDS	with_protein	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	15716	15988	-	WP_008245766.1	WP_008245766.1		DUF4389 domain-containing protein			SULAR_RS10275	273	90	
gene	protein_coding	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	16068	17201	-							SULAR_RS10280	1134		old_locus_tag=SULAR_10239
CDS	with_protein	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	16068	17201	-	WP_008245767.1	WP_008245767.1		site-2 protease family protein			SULAR_RS10280	1134	377	
gene	protein_coding	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	17378	17878	+					thpR		SULAR_RS10285	501		old_locus_tag=SULAR_10244
CDS	with_protein	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	17378	17878	+	WP_008245769.1	WP_008245769.1		RNA 2',3'-cyclic phosphodiesterase	thpR		SULAR_RS10285	501	166	
gene	protein_coding	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	17875	18432	-					purN		SULAR_RS10290	558		old_locus_tag=SULAR_10249
CDS	with_protein	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	17875	18432	-	WP_008245771.1	WP_008245771.1		phosphoribosylglycinamide formyltransferase	purN		SULAR_RS10290	558	185	
gene	protein_coding	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	18487	19905	-							SULAR_RS10295	1419		old_locus_tag=SULAR_10254
CDS	with_protein	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	18487	19905	-	WP_008245772.1	WP_008245772.1		bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase			SULAR_RS10295	1419	472	
gene	protein_coding	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	20038	20250	+							SULAR_RS10300	213		old_locus_tag=SULAR_10259
CDS	with_protein	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	20038	20250	+	WP_008245774.1	WP_008245774.1		30S ribosomal protein S21			SULAR_RS10300	213	70	
gene	protein_coding	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	20386	21549	+					purT		SULAR_RS10305	1164		old_locus_tag=SULAR_10264
CDS	with_protein	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	20386	21549	+	WP_008245776.1	WP_008245776.1		formate-dependent phosphoribosylglycinamide formyltransferase	purT		SULAR_RS10305	1164	387	
gene	protein_coding	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	21561	22409	+							SULAR_RS10310	849		old_locus_tag=SULAR_10269
CDS	with_protein	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	21561	22409	+	WP_008245779.1	WP_008245779.1		hypothetical protein			SULAR_RS10310	849	282	
gene	protein_coding	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	22418	23353	+							SULAR_RS10315	936		old_locus_tag=SULAR_10274
CDS	with_protein	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	22418	23353	+	WP_008245781.1	WP_008245781.1		D-2-hydroxyacid dehydrogenase			SULAR_RS10315	936	311	
gene	protein_coding	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	23350	24954	+							SULAR_RS10320	1605		old_locus_tag=SULAR_10279
CDS	with_protein	GCF_000296775.1	Primary Assembly	unplaced scaffold		NZ_AJLE01000011.1	23350	24954	+	WP_008245783.1	WP_008245783.1		FAD-dependent oxidoreductase			SULAR_RS10320	1605	534	
