# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	1	1344	+					dnaA		BUW91_RS00005	1344		old_locus_tag=BUW91_00005
CDS	with_protein	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	1	1344	+	WP_013054820.1	WP_013054820.1		chromosomal replication initiator protein DnaA	dnaA		BUW91_RS00005	1344	447	
gene	protein_coding	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	1531	2667	+					dnaN		BUW91_RS00010	1137		old_locus_tag=BUW91_00010
CDS	with_protein	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	1531	2667	+	WP_013054821.1	WP_013054821.1		DNA polymerase III subunit beta	dnaN		BUW91_RS00010	1137	378	
gene	protein_coding	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	2768	2983	+					yaaA		BUW91_RS00015	216		old_locus_tag=BUW91_00015
CDS	with_protein	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	2768	2983	+	WP_013054822.1	WP_013054822.1		S4 domain-containing protein YaaA	yaaA		BUW91_RS00015	216	71	
gene	protein_coding	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	2998	4116	+					recF		BUW91_RS00020	1119		old_locus_tag=BUW91_00020
CDS	with_protein	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	2998	4116	+	WP_013054823.1	WP_013054823.1		DNA replication/repair protein RecF	recF		BUW91_RS00020	1119	372	
gene	protein_coding	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	4357	6273	+					gyrB		BUW91_RS00025	1917		old_locus_tag=BUW91_00025
CDS	with_protein	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	4357	6273	+	WP_013054824.1	WP_013054824.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		BUW91_RS00025	1917	638	
gene	protein_coding	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	6400	8910	+					gyrA		BUW91_RS00030	2511		old_locus_tag=BUW91_00030
CDS	with_protein	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	6400	8910	+	WP_078081405.1	WP_078081405.1		DNA gyrase subunit A	gyrA		BUW91_RS00030	2511	836	
gene	rRNA	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	9175	10726	+							BUW91_RS00035	1552		old_locus_tag=BUW91_00035
rRNA		GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	9175	10726	+				16S ribosomal RNA			BUW91_RS00035	1552		
gene	tRNA	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	10796	10872	+							BUW91_RS00040	77		old_locus_tag=BUW91_00040
tRNA		GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	10796	10872	+				tRNA-Ile			BUW91_RS00040	77		anticodon=GAT
gene	tRNA	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	10890	10965	+							BUW91_RS00045	76		old_locus_tag=BUW91_00045
tRNA		GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	10890	10965	+				tRNA-Ala			BUW91_RS00045	76		anticodon=TGC
gene	rRNA	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	11074	14009	+							BUW91_RS00050	2936		old_locus_tag=BUW91_00050
rRNA		GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	11074	14009	+				23S ribosomal RNA			BUW91_RS00050	2936		
gene	rRNA	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	14119	14234	+					rrf		BUW91_RS00055	116		old_locus_tag=BUW91_00055
rRNA		GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	14119	14234	+				5S ribosomal RNA	rrf		BUW91_RS00055	116		
gene	protein_coding	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	14261	15226	-							BUW91_RS00060	966		old_locus_tag=BUW91_00060
CDS	with_protein	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	14261	15226	-	WP_078081406.1	WP_078081406.1		YaaC family protein			BUW91_RS00060	966	321	
gene	protein_coding	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	15343	16809	+					guaB		BUW91_RS00065	1467		old_locus_tag=BUW91_00065
CDS	with_protein	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	15343	16809	+	WP_013054827.1	WP_013054827.1		IMP dehydrogenase	guaB		BUW91_RS00065	1467	488	
gene	protein_coding	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	16960	18315	+							BUW91_RS00070	1356		old_locus_tag=BUW91_00070
CDS	with_protein	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	16960	18315	+	WP_029325234.1	WP_029325234.1		D-alanyl-D-alanine carboxypeptidase			BUW91_RS00070	1356	451	
gene	protein_coding	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	18506	19393	+					pdxS		BUW91_RS00075	888		old_locus_tag=BUW91_00075
CDS	with_protein	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	18506	19393	+	WP_078081407.1	WP_078081407.1		pyridoxal 5'-phosphate synthase lyase subunit PdxS	pdxS		BUW91_RS00075	888	295	
gene	protein_coding	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	19415	20002	+					pdxT		BUW91_RS00080	588		old_locus_tag=BUW91_00080
CDS	with_protein	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	19415	20002	+	WP_013081320.1	WP_013081320.1		pyridoxal 5'-phosphate synthase glutaminase subunit PdxT	pdxT		BUW91_RS00080	588	195	
gene	protein_coding	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	20325	21602	+					serS		BUW91_RS00085	1278		old_locus_tag=BUW91_00085
CDS	with_protein	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	20325	21602	+	WP_013054831.1	WP_013054831.1		serine--tRNA ligase	serS		BUW91_RS00085	1278	425	
gene	tRNA	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	21714	21806	+							BUW91_RS00090	93		old_locus_tag=BUW91_00090
tRNA		GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	21714	21806	+				tRNA-Ser			BUW91_RS00090	93		anticodon=TGA
gene	protein_coding	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	21927	22607	-							BUW91_RS00095	681		old_locus_tag=BUW91_00095
CDS	with_protein	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	21927	22607	-	WP_013054832.1	WP_013054832.1		deoxynucleoside kinase			BUW91_RS00095	681	226	
gene	protein_coding	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	22607	23242	-							BUW91_RS00100	636		old_locus_tag=BUW91_00100
CDS	with_protein	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	22607	23242	-	WP_028410386.1	WP_028410386.1		deoxynucleoside kinase			BUW91_RS00100	636	211	
gene	protein_coding	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	23386	24687	-							BUW91_RS00105	1302		old_locus_tag=BUW91_00105
CDS	with_protein	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	23386	24687	-	WP_013054834.1	WP_013054834.1		glycoside hydrolase family 18 protein			BUW91_RS00105	1302	433	
gene	protein_coding	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	24744	25286	-							BUW91_RS00110	543		old_locus_tag=BUW91_00110
CDS	with_protein	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	24744	25286	-	WP_029325237.1	WP_029325237.1		cysteine hydrolase			BUW91_RS00110	543	180	
gene	protein_coding	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	25366	25836	+					tadA		BUW91_RS00115	471		old_locus_tag=BUW91_00115
CDS	with_protein	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	25366	25836	+	WP_013054836.1	WP_013054836.1		tRNA adenosine(34) deaminase TadA	tadA		BUW91_RS00115	471	156	
gene	SRP_RNA	GCF_002009195.1	Primary Assembly	chromosome		NZ_CP018874.1	25939	26203	+					ffs		BUW91_RS00120	265		old_locus_tag=BUW91_00120
