# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	147	2075	+							PNAP_RS00015	1929		old_locus_tag=Pnap_0001
CDS	with_protein	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	147	2075	+	WP_041376411.1	WP_041376411.1		hypothetical protein			PNAP_RS00015	1929	642	
gene	protein_coding	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	2108	2701	+							PNAP_RS00020	594		
CDS	with_protein	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	2108	2701	+	WP_157040175.1	WP_157040175.1		hypothetical protein			PNAP_RS00020	594	197	
gene	protein_coding	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	2877	3659	+							PNAP_RS00025	783		old_locus_tag=Pnap_0002
CDS	with_protein	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	2877	3659	+	WP_041376860.1	WP_041376860.1		DUF3883 domain-containing protein			PNAP_RS00025	783	260	
gene	protein_coding	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	3701	4492	-							PNAP_RS00030	792		old_locus_tag=Pnap_0003
CDS	with_protein	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	3701	4492	-	WP_157040176.1	WP_157040176.1		hypothetical protein			PNAP_RS00030	792	263	
gene	protein_coding	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	4747	4953	+							PNAP_RS00035	207		old_locus_tag=Pnap_0004
CDS	with_protein	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	4747	4953	+	WP_011799440.1	WP_011799440.1		hypothetical protein			PNAP_RS00035	207	68	
gene	protein_coding	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	5033	5608	+							PNAP_RS00040	576		old_locus_tag=Pnap_0005
CDS	with_protein	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	5033	5608	+	WP_011799441.1	WP_011799441.1		NnrU family protein			PNAP_RS00040	576	191	
gene	protein_coding	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	5834	6508	+							PNAP_RS26655	675		old_locus_tag=Pnap_0006
CDS	with_protein	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	5834	6508	+	WP_011799442.1	WP_011799442.1		hypothetical protein			PNAP_RS26655	675	224	
gene	protein_coding	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	6653	6913	-					minE		PNAP_RS00050	261		old_locus_tag=Pnap_0007
CDS	with_protein	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	6653	6913	-	WP_011799443.1	WP_011799443.1		cell division topological specificity factor MinE	minE		PNAP_RS00050	261	86	
gene	protein_coding	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	6920	7735	-					minD		PNAP_RS00055	816		old_locus_tag=Pnap_0008
CDS	with_protein	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	6920	7735	-	WP_011799444.1	WP_011799444.1		septum site-determining protein MinD	minD		PNAP_RS00055	816	271	
gene	protein_coding	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	7871	8641	-					minC		PNAP_RS00060	771		old_locus_tag=Pnap_0009
CDS	with_protein	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	7871	8641	-	WP_011799445.1	WP_011799445.1		septum site-determining protein MinC	minC		PNAP_RS00060	771	256	
gene	pseudogene	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	8869	9030	+							PNAP_RS25400	162		partial;pseudo;old_locus_tag=Pnap_0010
CDS	without_protein	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	8869	9030	+				metallophosphoesterase			PNAP_RS25400	162		partial;pseudo
gene	protein_coding	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	9140	9574	+							PNAP_RS00065	435		old_locus_tag=Pnap_0011
CDS	with_protein	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	9140	9574	+	WP_011799447.1	WP_011799447.1		DNA-binding protein			PNAP_RS00065	435	144	
gene	protein_coding	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	9620	10642	-							PNAP_RS00070	1023		old_locus_tag=Pnap_0012
CDS	with_protein	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	9620	10642	-	WP_011799448.1	WP_011799448.1		lysylphosphatidylglycerol synthase domain-containing protein			PNAP_RS00070	1023	340	
gene	protein_coding	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	10635	11936	-					clsB		PNAP_RS00075	1302		old_locus_tag=Pnap_0013
CDS	with_protein	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	10635	11936	-	WP_011799449.1	WP_011799449.1		cardiolipin synthase ClsB	clsB		PNAP_RS00075	1302	433	
gene	protein_coding	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	12012	12845	-							PNAP_RS00080	834		old_locus_tag=Pnap_0014
CDS	with_protein	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	12012	12845	-	WP_011799450.1	WP_011799450.1		endonuclease/exonuclease/phosphatase family protein			PNAP_RS00080	834	277	
gene	protein_coding	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	13140	13568	+							PNAP_RS00085	429		old_locus_tag=Pnap_0015
CDS	with_protein	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	13140	13568	+	WP_041376415.1	WP_041376415.1		hypothetical protein			PNAP_RS00085	429	142	
gene	protein_coding	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	13600	14670	-							PNAP_RS00090	1071		old_locus_tag=Pnap_0016
CDS	with_protein	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	13600	14670	-	WP_011799452.1	WP_011799452.1		flavodoxin family protein			PNAP_RS00090	1071	356	
gene	protein_coding	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	14939	15508	-							PNAP_RS00095	570		old_locus_tag=Pnap_0017
CDS	with_protein	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	14939	15508	-	WP_011799453.1	WP_011799453.1		Spy/CpxP family protein refolding chaperone			PNAP_RS00095	570	189	
gene	protein_coding	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	15738	16397	+							PNAP_RS00100	660		old_locus_tag=Pnap_0018
CDS	with_protein	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	15738	16397	+	WP_011799454.1	WP_011799454.1		hypothetical protein			PNAP_RS00100	660	219	
gene	protein_coding	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	16663	18579	+					thiC		PNAP_RS00105	1917		old_locus_tag=Pnap_0019
CDS	with_protein	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	16663	18579	+	WP_011799455.1	WP_011799455.1		phosphomethylpyrimidine synthase ThiC	thiC		PNAP_RS00105	1917	638	
gene	protein_coding	GCF_000015505.1	Primary Assembly	chromosome		NC_008781.1	18866	19921	+					thiO		PNAP_RS00110	1056		old_locus_tag=Pnap_0020
