# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	rRNA	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000123.1	5	119	-					rrf		AJO02_RS16950	115		old_locus_tag=TT27_RS17190
rRNA		GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000123.1	5	119	-				5S ribosomal RNA	rrf		AJO02_RS16950	115		
gene	protein_coding	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000122.1	45	434	-							AJO02_RS16945	390		old_locus_tag=TT27_RS16855
CDS	with_protein	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000122.1	45	434	-	WP_004694234.1	WP_004694234.1		tautomerase family protein			AJO02_RS16945	390	129	
gene	protein_coding	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000121.1	14	475	+							AJO02_RS16940	462		old_locus_tag=TT27_RS16850
CDS	with_protein	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000121.1	14	475	+	WP_004691350.1	WP_004691350.1		hypothetical protein			AJO02_RS16940	462	153	
gene	protein_coding	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000120.1	1	171	-					tnpB		AJO02_RS16930	171		partial;old_locus_tag=TT27_RS16840
CDS	with_protein	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000120.1	1	171	-	WP_045015107.1	WP_045015107.1		IS66 family insertion sequence element accessory protein TnpB	tnpB		AJO02_RS16930	171	57	partial
gene	protein_coding	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000120.1	168	512	-							AJO02_RS16935	345		old_locus_tag=TT27_RS16845
CDS	with_protein	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000120.1	168	512	-	WP_080593158.1	WP_080593158.1		IS66 family insertion sequence hypothetical protein			AJO02_RS16935	345	114	
gene	protein_coding	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000119.1	1	331	-							AJO02_RS16925	331		partial;old_locus_tag=TT27_RS16835
CDS	with_protein	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000119.1	1	331	-	WP_004694923.1	WP_004694923.1		metal-dependent hydrolase			AJO02_RS16925	331	110	partial
gene	protein_coding	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000118.1	70	357	-							AJO02_RS17000	288		
CDS	with_protein	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000118.1	70	357	-	WP_017397023.1	WP_017397023.1		hypothetical protein			AJO02_RS17000	288	95	
gene	protein_coding	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000116.1	1	282	-							AJO02_RS16910	282		partial;old_locus_tag=TT27_RS16815
CDS	with_protein	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000116.1	1	282	-	WP_045015105.1	WP_045015105.1		hypothetical protein			AJO02_RS16910	282	94	partial
gene	protein_coding	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000116.1	275	499	-							AJO02_RS16915	225		old_locus_tag=TT27_RS16820
CDS	with_protein	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000116.1	275	499	-	WP_004694180.1	WP_004694180.1		hypothetical protein			AJO02_RS16915	225	74	
gene	pseudogene	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000116.1	492	728	-							AJO02_RS16920	237		partial;pseudo;old_locus_tag=TT27_RS16825
CDS	without_protein	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000116.1	492	728	-				hypothetical protein			AJO02_RS16920	237		partial;pseudo
gene	protein_coding	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000115.1	134	640	-							AJO02_RS16905	507		old_locus_tag=TT27_RS16810
CDS	with_protein	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000115.1	134	640	-	WP_004692085.1	WP_004692085.1		GNAT family N-acetyltransferase			AJO02_RS16905	507	168	
gene	pseudogene	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000114.1	1	749	+							AJO02_RS16900	749		partial;pseudo;old_locus_tag=TT27_RS16805
CDS	without_protein	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000114.1	1	749	+				IS66 family transposase			AJO02_RS16900	749		partial;pseudo
gene	protein_coding	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000113.1	38	837	-							AJO02_RS16895	800		partial;old_locus_tag=TT27_RS16800
CDS	with_protein	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000113.1	38	837	-	WP_019509725.1	WP_019509725.1		IS3 family transposase			AJO02_RS16895	800	265	partial
gene	protein_coding	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000112.1	18	764	-							AJO02_RS16890	747		old_locus_tag=TT27_RS16795
CDS	with_protein	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000112.1	18	764	-	WP_004645384.1	WP_004645384.1		IS5-like element ISAba31 family transposase			AJO02_RS16890	747	248	
gene	protein_coding	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000111.1	151	897	-							AJO02_RS16885	747		old_locus_tag=TT27_RS16790
CDS	with_protein	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000111.1	151	897	-	WP_004684364.1	WP_004684364.1		ATP-binding protein			AJO02_RS16885	747	248	
gene	protein_coding	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000110.1	104	1066	+							AJO02_RS16880	963		old_locus_tag=TT27_RS16785
CDS	with_protein	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000110.1	104	1066	+	WP_004691346.1	WP_004691346.1		IS30 family transposase			AJO02_RS16880	963	320	
gene	protein_coding	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000109.1	55	1080	+							AJO02_RS16875	1026		old_locus_tag=TT27_RS16780
CDS	with_protein	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000109.1	55	1080	+	WP_005100823.1	WP_005100823.1		IS30 family transposase			AJO02_RS16875	1026	341	
gene	protein_coding	GCF_000949655.1	Primary Assembly	unplaced scaffold		NZ_BBTB01000108.1	1	1067	+							AJO02_RS16870	1067		partial;old_locus_tag=TT27_RS16775
