# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	tRNA	GCF_905220995.1	Primary Assembly	unplaced scaffold		NZ_CAJNBJ010000001.1	124	199	-							KJA79_RS00005	76		old_locus_tag=NSPZN2_TRNA26
tRNA		GCF_905220995.1	Primary Assembly	unplaced scaffold		NZ_CAJNBJ010000001.1	124	199	-				tRNA-Thr			KJA79_RS00005	76		anticodon=GGT
gene	tRNA	GCF_905220995.1	Primary Assembly	unplaced scaffold		NZ_CAJNBJ010000001.1	270	344	-							KJA79_RS00010	75		old_locus_tag=NSPZN2_TRNA25
tRNA		GCF_905220995.1	Primary Assembly	unplaced scaffold		NZ_CAJNBJ010000001.1	270	344	-				tRNA-Gly			KJA79_RS00010	75		anticodon=TCC
gene	tRNA	GCF_905220995.1	Primary Assembly	unplaced scaffold		NZ_CAJNBJ010000001.1	491	576	-							KJA79_RS00015	86		old_locus_tag=NSPZN2_TRNA24
tRNA		GCF_905220995.1	Primary Assembly	unplaced scaffold		NZ_CAJNBJ010000001.1	491	576	-				tRNA-Tyr			KJA79_RS00015	86		anticodon=GTA
gene	protein_coding	GCF_905220995.1	Primary Assembly	unplaced scaffold		NZ_CAJNBJ010000001.1	813	1718	-							KJA79_RS00020	906		old_locus_tag=NSPZN2_10001
CDS	with_protein	GCF_905220995.1	Primary Assembly	unplaced scaffold		NZ_CAJNBJ010000001.1	813	1718	-	WP_213039964.1	WP_213039964.1		hypothetical protein			KJA79_RS00020	906	301	
gene	protein_coding	GCF_905220995.1	Primary Assembly	unplaced scaffold		NZ_CAJNBJ010000001.1	1813	3945	-							KJA79_RS00025	2133		old_locus_tag=NSPZN2_10002
CDS	with_protein	GCF_905220995.1	Primary Assembly	unplaced scaffold		NZ_CAJNBJ010000001.1	1813	3945	-	WP_213041322.1	WP_213041322.1		ATP-dependent helicase			KJA79_RS00025	2133	710	
gene	protein_coding	GCF_905220995.1	Primary Assembly	unplaced scaffold		NZ_CAJNBJ010000001.1	4022	4858	+							KJA79_RS00030	837		old_locus_tag=NSPZN2_10003
CDS	with_protein	GCF_905220995.1	Primary Assembly	unplaced scaffold		NZ_CAJNBJ010000001.1	4022	4858	+	WP_213039965.1	WP_213039965.1		hypothetical protein			KJA79_RS00030	837	278	
gene	protein_coding	GCF_905220995.1	Primary Assembly	unplaced scaffold		NZ_CAJNBJ010000001.1	4928	7087	+					glgP		KJA79_RS00035	2160		old_locus_tag=NSPZN2_10005
CDS	with_protein	GCF_905220995.1	Primary Assembly	unplaced scaffold		NZ_CAJNBJ010000001.1	4928	7087	+	WP_213039966.1	WP_213039966.1		alpha-glucan family phosphorylase	glgP		KJA79_RS00035	2160	719	
gene	protein_coding	GCF_905220995.1	Primary Assembly	unplaced scaffold		NZ_CAJNBJ010000001.1	7050	8492	+							KJA79_RS00040	1443		old_locus_tag=NSPZN2_10006
CDS	with_protein	GCF_905220995.1	Primary Assembly	unplaced scaffold		NZ_CAJNBJ010000001.1	7050	8492	+	WP_213039967.1	WP_213039967.1		HEAT repeat domain-containing protein			KJA79_RS00040	1443	480	
