# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000931715.1	Primary Assembly	unplaced scaffold		NZ_BBTL01000031.1	5	238	-							AB3_RS17180	234		old_locus_tag=TT18_RS17155
CDS	with_protein	GCF_000931715.1	Primary Assembly	unplaced scaffold		NZ_BBTL01000031.1	5	238	-	WP_005058286.1	WP_005058286.1		hypothetical protein			AB3_RS17180	234	77	
gene	protein_coding	GCF_000931715.1	Primary Assembly	unplaced scaffold		NZ_BBTL01000030.1	71	379	-							AB3_RS17170	309		old_locus_tag=TT18_RS17145
CDS	with_protein	GCF_000931715.1	Primary Assembly	unplaced scaffold		NZ_BBTL01000030.1	71	379	-	WP_005063309.1	WP_005063309.1		hypothetical protein			AB3_RS17170	309	102	
gene	protein_coding	GCF_000931715.1	Primary Assembly	unplaced scaffold		NZ_BBTL01000030.1	408	1034	-							AB3_RS17175	627		old_locus_tag=TT18_RS17150
CDS	with_protein	GCF_000931715.1	Primary Assembly	unplaced scaffold		NZ_BBTL01000030.1	408	1034	-	WP_005063308.1	WP_005063308.1		lytic transglycosylase domain-containing protein			AB3_RS17175	627	208	
gene	protein_coding	GCF_000931715.1	Primary Assembly	unplaced scaffold		NZ_BBTL01000029.1	1	1598	-							AB3_RS17165	1598		partial;old_locus_tag=TT18_RS17140
CDS	with_protein	GCF_000931715.1	Primary Assembly	unplaced scaffold		NZ_BBTL01000029.1	1	1598	-	WP_045505285.1	WP_045505285.1		type VI secretion system Vgr family protein			AB3_RS17165	1598	532	partial
gene	protein_coding	GCF_000931715.1	Primary Assembly	unplaced scaffold		NZ_BBTL01000028.1	1	151	-							AB3_RS17115	151		partial;old_locus_tag=TT18_RS17090
CDS	with_protein	GCF_000931715.1	Primary Assembly	unplaced scaffold		NZ_BBTL01000028.1	1	151	-	WP_045505281.1	WP_045505281.1		conjugal transfer protein TraL			AB3_RS17115	151	50	partial
gene	protein_coding	GCF_000931715.1	Primary Assembly	unplaced scaffold		NZ_BBTL01000028.1	181	537	-							AB3_RS17120	357		old_locus_tag=TT18_RS17095
CDS	with_protein	GCF_000931715.1	Primary Assembly	unplaced scaffold		NZ_BBTL01000028.1	181	537	-	WP_005063306.1	WP_005063306.1		hypothetical protein			AB3_RS17120	357	118	
gene	protein_coding	GCF_000931715.1	Primary Assembly	unplaced scaffold		NZ_BBTL01000028.1	1239	1679	-							AB3_RS17125	441		old_locus_tag=TT18_RS17100
CDS	with_protein	GCF_000931715.1	Primary Assembly	unplaced scaffold		NZ_BBTL01000028.1	1239	1679	-	WP_005063305.1	WP_005063305.1		hypothetical protein			AB3_RS17125	441	146	
gene	protein_coding	GCF_000931715.1	Primary Assembly	unplaced scaffold		NZ_BBTL01000028.1	1792	5046	-							AB3_RS17130	3255		old_locus_tag=TT18_RS17105
CDS	with_protein	GCF_000931715.1	Primary Assembly	unplaced scaffold		NZ_BBTL01000028.1	1792	5046	-	WP_005063304.1	WP_005063304.1		relaxase domain-containing protein			AB3_RS17130	3255	1084	
gene	protein_coding	GCF_000931715.1	Primary Assembly	unplaced scaffold		NZ_BBTL01000028.1	5049	7172	-							AB3_RS17135	2124		old_locus_tag=TT18_RS17110
CDS	with_protein	GCF_000931715.1	Primary Assembly	unplaced scaffold		NZ_BBTL01000028.1	5049	7172	-	WP_005063302.1	WP_005063302.1		type IV secretion system DNA-binding domain-containing protein			AB3_RS17135	2124	707	
gene	protein_coding	GCF_000931715.1	Primary Assembly	unplaced scaffold		NZ_BBTL01000028.1	7169	7555	-							AB3_RS17140	387		old_locus_tag=TT18_RS17115
