# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	95	274	-						64351832	B5G41_RS00005	180		partial;pseudo;old_locus_tag=B5G41_00005
CDS	without_protein	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	95	274	-				hypothetical protein		64351832	B5G41_RS00005	180		partial;pseudo
gene	protein_coding	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	214	447	-						64351833	B5G41_RS00010	234		old_locus_tag=B5G41_00010
CDS	with_protein	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	214	447	-	WP_004304291.1	WP_004304291.1		DUF3873 domain-containing protein		64351833	B5G41_RS00010	234	77	
gene	protein_coding	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	467	724	-						64351834	B5G41_RS00015	258		old_locus_tag=B5G41_00015
CDS	with_protein	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	467	724	-	WP_004291531.1	WP_004291531.1		hypothetical protein		64351834	B5G41_RS00015	258	85	
gene	protein_coding	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	749	2080	-						64351835	B5G41_RS00020	1332		old_locus_tag=B5G41_00020
CDS	with_protein	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	749	2080	-	WP_004291532.1	WP_004291532.1		PcfJ domain-containing protein		64351835	B5G41_RS00020	1332	443	
gene	protein_coding	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	2077	2493	-						64351836	B5G41_RS00025	417		old_locus_tag=B5G41_00025
CDS	with_protein	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	2077	2493	-	WP_004291533.1	WP_004291533.1		PcfK-like family protein		64351836	B5G41_RS00025	417	138	
gene	protein_coding	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	2507	2728	-						64351837	B5G41_RS00030	222		old_locus_tag=B5G41_00030
CDS	with_protein	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	2507	2728	-	WP_004291534.1	WP_004291534.1		hypothetical protein		64351837	B5G41_RS00030	222	73	
gene	protein_coding	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	2740	2955	-						64351838	B5G41_RS00035	216		old_locus_tag=B5G41_00035
CDS	with_protein	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	2740	2955	-	WP_004291535.1	WP_004291535.1		hypothetical protein		64351838	B5G41_RS00035	216	71	
gene	protein_coding	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	3117	3527	-						64354668	B5G41_RS14665	411		
CDS	with_protein	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	3117	3527	-	WP_004291538.1	WP_004291538.1		hypothetical protein		64354668	B5G41_RS14665	411	136	
gene	protein_coding	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	4007	4999	-						64351839	B5G41_RS00055	993		old_locus_tag=B5G41_00055
CDS	with_protein	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	4007	4999	-	WP_087400901.1	WP_087400901.1		tyrosine-type recombinase/integrase		64351839	B5G41_RS00055	993	330	
gene	protein_coding	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	5147	5896	+						64351840	B5G41_RS00060	750		old_locus_tag=B5G41_00060
CDS	with_protein	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	5147	5896	+	WP_206384365.1	WP_206384365.1		restriction endonuclease subunit S		64351840	B5G41_RS00060	750	249	
gene	protein_coding	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	5872	7419	-						64351841	B5G41_RS00065	1548		old_locus_tag=B5G41_00065
CDS	with_protein	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	5872	7419	-	WP_087400902.1	WP_087400902.1		plasmid recombination protein		64351841	B5G41_RS00065	1548	515	
gene	protein_coding	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	7570	8598	-						64351842	B5G41_RS00070	1029		old_locus_tag=B5G41_00070
CDS	with_protein	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	7570	8598	-	WP_087400903.1	WP_087400903.1		DUF6371 domain-containing protein		64351842	B5G41_RS00070	1029	342	
gene	protein_coding	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	8591	10090	-						64351843	B5G41_RS00075	1500		old_locus_tag=B5G41_00075
CDS	with_protein	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	8591	10090	-	WP_087400904.1	WP_087400904.1		DUF3987 domain-containing protein		64351843	B5G41_RS00075	1500	499	
gene	protein_coding	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	10083	10415	-						64351844	B5G41_RS00080	333		old_locus_tag=B5G41_00080
CDS	with_protein	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	10083	10415	-	WP_087400905.1	WP_087400905.1		DNA-binding protein		64351844	B5G41_RS00080	333	110	
gene	protein_coding	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	10659	11336	-						64351845	B5G41_RS00085	678		old_locus_tag=B5G41_00085
CDS	with_protein	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	10659	11336	-	WP_087400906.1	WP_087400906.1		hypothetical protein		64351845	B5G41_RS00085	678	225	
gene	protein_coding	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	11360	12715	-						64351846	B5G41_RS00090	1356		old_locus_tag=B5G41_00090
CDS	with_protein	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	11360	12715	-	WP_072531152.1	WP_072531152.1		site-specific integrase		64351846	B5G41_RS00090	1356	451	
gene	protein_coding	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	12916	13137	-						64351847	B5G41_RS00095	222		old_locus_tag=B5G41_00095
CDS	with_protein	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	12916	13137	-	WP_009597992.1	WP_009597992.1		DUF2795 domain-containing protein		64351847	B5G41_RS00095	222	73	
gene	protein_coding	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	13572	14228	+					fsa	64351848	B5G41_RS00100	657		old_locus_tag=B5G41_00100
CDS	with_protein	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	13572	14228	+	WP_087400907.1	WP_087400907.1		fructose-6-phosphate aldolase	fsa	64351848	B5G41_RS00100	657	218	
gene	protein_coding	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	14296	14574	-						64351849	B5G41_RS00105	279		old_locus_tag=B5G41_00105
CDS	with_protein	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	14296	14574	-	WP_022333585.1	WP_022333585.1		integration host factor subunit beta		64351849	B5G41_RS00105	279	92	
gene	protein_coding	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	14742	15449	-						64351850	B5G41_RS00110	708		old_locus_tag=B5G41_00110
CDS	with_protein	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	14742	15449	-	WP_087400908.1	WP_087400908.1		nucleotidyl transferase AbiEii/AbiGii toxin family protein		64351850	B5G41_RS00110	708	235	
gene	protein_coding	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	15404	15730	-						64351851	B5G41_RS00115	327		old_locus_tag=B5G41_00115
CDS	with_protein	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	15404	15730	-	WP_014774786.1	WP_014774786.1		hypothetical protein		64351851	B5G41_RS00115	327	108	
gene	protein_coding	GCF_002159215.1	Primary Assembly	unplaced scaffold		NZ_NFHB01000001.1	15977	16267	-						64351852	B5G41_RS00120	291		old_locus_tag=B5G41_00120
