# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000095.1	167	575	-							Ata01_RS19600	409		partial;old_locus_tag=TR22_RS19510
CDS	with_protein	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000095.1	167	575	-	WP_042069376.1	WP_042069376.1		recombinase family protein			Ata01_RS19600	409	135	partial
gene	pseudogene	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000094.1	1	575	-							Ata01_RS19595	575		partial;pseudo;old_locus_tag=TR22_RS19505
CDS	without_protein	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000094.1	1	575	-				hypothetical protein			Ata01_RS19595	575		partial;pseudo
gene	protein_coding	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000093.1	1	535	-							Ata01_RS19590	535		partial;old_locus_tag=TR22_RS19500
CDS	with_protein	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000093.1	1	535	-	WP_004642292.1	WP_004642292.1		IS6-like element IS1006 family transposase			Ata01_RS19590	535	178	partial
gene	protein_coding	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000092.1	64	597	+							Ata01_RS19585	534		partial;old_locus_tag=TR22_RS19495
CDS	with_protein	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000092.1	64	597	+	WP_042069367.1	WP_042069367.1		IS6 family transposase			Ata01_RS19585	534	178	partial
gene	protein_coding	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000091.1	160	702	-							Ata01_RS19580	543		old_locus_tag=TR22_RS19490
CDS	with_protein	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000091.1	160	702	-	WP_016167889.1	WP_016167889.1		SHOCT domain-containing protein			Ata01_RS19580	543	180	
gene	protein_coding	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000090.1	17	798	-							Ata01_RS19575	782		partial;old_locus_tag=TR22_RS19485
CDS	with_protein	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000090.1	17	798	-	WP_042069363.1	WP_042069363.1		IS982 family transposase			Ata01_RS19575	782	259	partial
gene	pseudogene	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000089.1	1	896	-							Ata01_RS19810	896		partial;pseudo
CDS	without_protein	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000089.1	1	896	-				hypothetical protein			Ata01_RS19810	896		partial;pseudo
gene	protein_coding	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000088.1	628	975	+							Ata01_RS19570	348		old_locus_tag=TR22_RS19475
CDS	with_protein	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000088.1	628	975	+	WP_016165163.1	WP_016165163.1		hypothetical protein			Ata01_RS19570	348	115	
gene	pseudogene	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000087.1	1	355	+							Ata01_RS19560	355		partial;pseudo;old_locus_tag=TR22_RS19465
CDS	without_protein	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000087.1	1	355	+				type II toxin-antitoxin system HipA family toxin			Ata01_RS19560	355		partial;pseudo
gene	protein_coding	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000087.1	666	887	-							Ata01_RS19565	222		old_locus_tag=TR22_RS19470
CDS	with_protein	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000087.1	666	887	-	WP_004658364.1	WP_004658364.1		helix-turn-helix transcriptional regulator			Ata01_RS19565	222	73	
gene	protein_coding	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000086.1	1	1025	-					tuf		Ata01_RS19555	1025		partial;old_locus_tag=TR22_RS19460
CDS	with_protein	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000086.1	1	1025	-	WP_042069348.1	WP_042069348.1		elongation factor Tu	tuf		Ata01_RS19555	1025	342	partial
gene	protein_coding	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000085.1	74	1233	+							Ata01_RS19550	1160		old_locus_tag=TR22_RS19455
CDS	with_protein	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000085.1	74	1233	+	WP_087554624.1	WP_087554624.1		IS3 family transposase			Ata01_RS19550	1161	386	ribosomal_slippage
gene	pseudogene	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000084.1	98	889	+							Ata01_RS19540	792		partial;pseudo;old_locus_tag=TR22_RS19445
CDS	without_protein	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000084.1	98	889	+				HAD-IC family P-type ATPase			Ata01_RS19540	792		partial;pseudo
gene	protein_coding	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000084.1	1014	1139	+							Ata01_RS19545	126		
CDS	with_protein	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000084.1	1014	1139	+	WP_094148905.1	WP_094148905.1		YHYH domain-containing protein			Ata01_RS19545	126	41	
gene	protein_coding	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000083.1	67	1232	+							Ata01_RS19535	1166		old_locus_tag=TR22_RS19440
CDS	with_protein	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000083.1	67	1232	+	WP_085944217.1	WP_085944217.1		IS3-like element ISAba22 family transposase			Ata01_RS19535	1167	388	ribosomal_slippage
gene	protein_coding	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000082.1	36	392	+							Ata01_RS19520	357		old_locus_tag=TR22_RS19420
CDS	with_protein	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000082.1	36	392	+	WP_016168978.1	WP_016168978.1		hypothetical protein			Ata01_RS19520	357	118	
gene	protein_coding	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000082.1	389	610	+							Ata01_RS19525	222		old_locus_tag=TR22_RS19425
CDS	with_protein	GCF_000760555.1	Primary Assembly	unplaced scaffold		NZ_BBNK01000082.1	389	610	+	WP_026441251.1	WP_026441251.1		hypothetical protein			Ata01_RS19525	222	73	
