# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000023225.1	Primary Assembly	chromosome		NC_013173.1	331	1680	+					dnaA		DBAC_RS00005	1350		old_locus_tag=Dbac_0001
CDS	with_protein	GCF_000023225.1	Primary Assembly	chromosome		NC_013173.1	331	1680	+	WP_012805216.1	WP_012805216.1		chromosomal replication initiator protein DnaA	dnaA		DBAC_RS00005	1350	449	
gene	protein_coding	GCF_000023225.1	Primary Assembly	chromosome		NC_013173.1	1767	3839	-							DBAC_RS00010	2073		old_locus_tag=Dbac_0002
CDS	with_protein	GCF_000023225.1	Primary Assembly	chromosome		NC_013173.1	1767	3839	-	WP_012805217.1	WP_012805217.1		PAS domain-containing protein			DBAC_RS00010	2073	690	
gene	protein_coding	GCF_000023225.1	Primary Assembly	chromosome		NC_013173.1	3859	4731	-							DBAC_RS00015	873		old_locus_tag=Dbac_0003
CDS	with_protein	GCF_000023225.1	Primary Assembly	chromosome		NC_013173.1	3859	4731	-	WP_050762016.1	WP_050762016.1		transglutaminase-like cysteine peptidase			DBAC_RS00015	873	290	
gene	protein_coding	GCF_000023225.1	Primary Assembly	chromosome		NC_013173.1	4946	6274	-							DBAC_RS00020	1329		old_locus_tag=Dbac_0004
CDS	with_protein	GCF_000023225.1	Primary Assembly	chromosome		NC_013173.1	4946	6274	-	WP_012805219.1	WP_012805219.1		HlyD family type I secretion periplasmic adaptor subunit			DBAC_RS00020	1329	442	
gene	protein_coding	GCF_000023225.1	Primary Assembly	chromosome		NC_013173.1	6264	8480	-							DBAC_RS00025	2217		old_locus_tag=Dbac_0005
CDS	with_protein	GCF_000023225.1	Primary Assembly	chromosome		NC_013173.1	6264	8480	-	WP_012805220.1	WP_012805220.1		type I secretion system permease/ATPase			DBAC_RS00025	2217	738	
gene	protein_coding	GCF_000023225.1	Primary Assembly	chromosome		NC_013173.1	8923	16281	+							DBAC_RS00030	7359		old_locus_tag=Dbac_0006
CDS	with_protein	GCF_000023225.1	Primary Assembly	chromosome		NC_013173.1	8923	16281	+	WP_012805221.1	WP_012805221.1		DUF5801 domain-containing protein			DBAC_RS00030	7359	2452	
gene	protein_coding	GCF_000023225.1	Primary Assembly	chromosome		NC_013173.1	16393	16965	+							DBAC_RS00035	573		old_locus_tag=Dbac_0007
CDS	with_protein	GCF_000023225.1	Primary Assembly	chromosome		NC_013173.1	16393	16965	+	WP_043810172.1	WP_043810172.1		hypothetical protein			DBAC_RS00035	573	190	
gene	protein_coding	GCF_000023225.1	Primary Assembly	chromosome		NC_013173.1	17501	24511	+							DBAC_RS00040	7011		old_locus_tag=Dbac_0008
CDS	with_protein	GCF_000023225.1	Primary Assembly	chromosome		NC_013173.1	17501	24511	+	WP_012805223.1	WP_012805223.1		DUF5801 domain-containing protein			DBAC_RS00040	7011	2336	
gene	protein_coding	GCF_000023225.1	Primary Assembly	chromosome		NC_013173.1	24593	25111	+							DBAC_RS00045	519		old_locus_tag=Dbac_0009
CDS	with_protein	GCF_000023225.1	Primary Assembly	chromosome		NC_013173.1	24593	25111	+	WP_012805224.1	WP_012805224.1		hypothetical protein			DBAC_RS00045	519	172	
gene	protein_coding	GCF_000023225.1	Primary Assembly	chromosome		NC_013173.1	25254	26585	+							DBAC_RS00050	1332		old_locus_tag=Dbac_0010
CDS	with_protein	GCF_000023225.1	Primary Assembly	chromosome		NC_013173.1	25254	26585	+	WP_012805225.1	WP_012805225.1		TolC family outer membrane protein			DBAC_RS00050	1332	443	
gene	protein_coding	GCF_000023225.1	Primary Assembly	chromosome		NC_013173.1	27102	29255	-					feoB		DBAC_RS00055	2154		old_locus_tag=Dbac_0012
CDS	with_protein	GCF_000023225.1	Primary Assembly	chromosome		NC_013173.1	27102	29255	-	WP_012805227.1	WP_012805227.1		ferrous iron transport protein B	feoB		DBAC_RS00055	2154	717	
gene	protein_coding	GCF_000023225.1	Primary Assembly	chromosome		NC_013173.1	29252	29509	-							DBAC_RS00060	258		old_locus_tag=Dbac_0013
CDS	with_protein	GCF_000023225.1	Primary Assembly	chromosome		NC_013173.1	29252	29509	-	WP_012805228.1	WP_012805228.1		ferrous iron transport protein A			DBAC_RS00060	258	85	
gene	protein_coding	GCF_000023225.1	Primary Assembly	chromosome		NC_013173.1	29597	29758	-							DBAC_RS18205	162		old_locus_tag=Dbac_0014
CDS	with_protein	GCF_000023225.1	Primary Assembly	chromosome		NC_013173.1	29597	29758	-	WP_012805229.1	WP_012805229.1		FeoB-associated Cys-rich membrane protein			DBAC_RS18205	162	53	
gene	protein_coding	GCF_000023225.1	Primary Assembly	chromosome		NC_013173.1	30060	30398	-							DBAC_RS00065	339		old_locus_tag=Dbac_0015
CDS	with_protein	GCF_000023225.1	Primary Assembly	chromosome		NC_013173.1	30060	30398	-	WP_012805230.1	WP_012805230.1		DsrE family protein			DBAC_RS00065	339	112	
