# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	197	1573	+					dnaA		OSCIL6304_RS00005	1377		old_locus_tag=Oscil6304_0001
CDS	with_protein	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	197	1573	+	WP_015146412.1	WP_015146412.1		chromosomal replication initiator protein DnaA	dnaA		OSCIL6304_RS00005	1377	458	
gene	protein_coding	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	1608	1856	+							OSCIL6304_RS33585	249		
CDS	with_protein	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	1608	1856	+	WP_156823689.1	WP_156823689.1		hypothetical protein			OSCIL6304_RS33585	249	82	
gene	protein_coding	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	1944	3131	+							OSCIL6304_RS00010	1188		old_locus_tag=Oscil6304_0002
CDS	with_protein	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	1944	3131	+	WP_015146413.1	WP_015146413.1		DNA polymerase III subunit beta			OSCIL6304_RS00010	1188	395	
gene	tRNA	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	3502	3582	-							OSCIL6304_RS00015	81		old_locus_tag=Oscil6304_0003
tRNA		GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	3502	3582	-				tRNA-Leu			OSCIL6304_RS00015	81		anticodon=GAG
gene	protein_coding	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	3846	5195	+					accC		OSCIL6304_RS00020	1350		old_locus_tag=Oscil6304_0004
CDS	with_protein	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	3846	5195	+	WP_015146414.1	WP_015146414.1		acetyl-CoA carboxylase biotin carboxylase subunit	accC		OSCIL6304_RS00020	1350	449	
gene	protein_coding	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	5397	5681	-							OSCIL6304_RS00025	285		old_locus_tag=Oscil6304_0005
CDS	with_protein	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	5397	5681	-	WP_044196139.1	WP_044196139.1		YggT family protein			OSCIL6304_RS00025	285	94	
gene	protein_coding	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	5886	6005	+							OSCIL6304_RS32085	120		old_locus_tag=Oscil6304_0006
CDS	with_protein	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	5886	6005	+	WP_015146416.1	WP_015146416.1		photosystem II reaction center X protein			OSCIL6304_RS32085	120	39	
gene	protein_coding	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	6028	6198	-							OSCIL6304_RS33590	171		
CDS	with_protein	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	6028	6198	-	WP_156823690.1	WP_156823690.1		hypothetical protein			OSCIL6304_RS33590	171	56	
gene	protein_coding	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	6222	7031	+							OSCIL6304_RS00030	810		old_locus_tag=Oscil6304_0007
CDS	with_protein	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	6222	7031	+	WP_015146417.1	WP_015146417.1		Ycf66 family protein			OSCIL6304_RS00030	810	269	
gene	protein_coding	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	7183	7755	+							OSCIL6304_RS00035	573		old_locus_tag=Oscil6304_0008
CDS	with_protein	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	7183	7755	+	WP_044196141.1	WP_044196141.1		TolB family protein			OSCIL6304_RS00035	573	190	
gene	protein_coding	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	8025	8528	+							OSCIL6304_RS00040	504		old_locus_tag=Oscil6304_0009
CDS	with_protein	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	8025	8528	+	WP_198017856.1	WP_198017856.1		PD40 domain-containing protein			OSCIL6304_RS00040	504	167	
gene	protein_coding	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	8783	10330	-							OSCIL6304_RS00045	1548		old_locus_tag=Oscil6304_0010
CDS	with_protein	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	8783	10330	-	WP_015146420.1	WP_015146420.1		IS5 family transposase			OSCIL6304_RS00045	1548	515	
gene	protein_coding	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	10518	11537	-							OSCIL6304_RS00050	1020		old_locus_tag=Oscil6304_0011
CDS	with_protein	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	10518	11537	-	WP_015146421.1	WP_015146421.1		hypothetical protein			OSCIL6304_RS00050	1020	339	
gene	protein_coding	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	11825	12586	-							OSCIL6304_RS00055	762		old_locus_tag=Oscil6304_0012
CDS	with_protein	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	11825	12586	-	WP_015146422.1	WP_015146422.1		hypothetical protein			OSCIL6304_RS00055	762	253	
gene	protein_coding	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	13021	14280	-							OSCIL6304_RS00060	1260		old_locus_tag=Oscil6304_0013
CDS	with_protein	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	13021	14280	-	WP_015146423.1	WP_015146423.1		hypothetical protein			OSCIL6304_RS00060	1260	419	
gene	protein_coding	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	14411	14869	-							OSCIL6304_RS00065	459		old_locus_tag=Oscil6304_0014
CDS	with_protein	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	14411	14869	-	WP_015146424.1	WP_015146424.1		hypothetical protein			OSCIL6304_RS00065	459	152	
gene	protein_coding	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	14866	17928	-							OSCIL6304_RS00070	3063		old_locus_tag=Oscil6304_0015
CDS	with_protein	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	14866	17928	-	WP_044194196.1	WP_044194196.1		CHAT domain-containing tetratricopeptide repeat protein			OSCIL6304_RS00070	3063	1020	
gene	protein_coding	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	18049	19200	+							OSCIL6304_RS00075	1152		old_locus_tag=Oscil6304_0016
CDS	with_protein	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	18049	19200	+	WP_015146426.1	WP_015146426.1		IS4 family transposase			OSCIL6304_RS00075	1152	383	
gene	protein_coding	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	19217	19405	-							OSCIL6304_RS00080	189		old_locus_tag=Oscil6304_0017
CDS	with_protein	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	19217	19405	-	WP_015146427.1	WP_015146427.1		hypothetical protein			OSCIL6304_RS00080	189	62	
gene	protein_coding	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	19954	22311	-							OSCIL6304_RS00085	2358		old_locus_tag=Oscil6304_0018
CDS	with_protein	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	19954	22311	-	WP_015146428.1	WP_015146428.1		glycoside hydrolase family 31 protein			OSCIL6304_RS00085	2358	785	
gene	protein_coding	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	22695	23588	+							OSCIL6304_RS00090	894		old_locus_tag=Oscil6304_0019
CDS	with_protein	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	22695	23588	+	WP_015146429.1	WP_015146429.1		hypothetical protein			OSCIL6304_RS00090	894	297	
gene	protein_coding	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	23857	24705	+							OSCIL6304_RS00095	849		old_locus_tag=Oscil6304_0020
CDS	with_protein	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	23857	24705	+	WP_015146430.1	WP_015146430.1		hypothetical protein			OSCIL6304_RS00095	849	282	
gene	protein_coding	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	24929	25672	+							OSCIL6304_RS00100	744		old_locus_tag=Oscil6304_0021
CDS	with_protein	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	24929	25672	+	WP_015146431.1	WP_015146431.1		DUF2993 domain-containing protein			OSCIL6304_RS00100	744	247	
gene	protein_coding	GCF_000317105.1	Primary Assembly	chromosome		NC_019693.1	25961	28195	-							OSCIL6304_RS00105	2235		old_locus_tag=Oscil6304_0022
