# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000023045.1	Primary Assembly	chromosome		NC_012673.1	137	493	+							EAT1B_RS00005	357		old_locus_tag=EAT1b_0001
CDS	with_protein	GCF_000023045.1	Primary Assembly	chromosome		NC_012673.1	137	493	+	WP_012726055.1	WP_012726055.1		hypothetical protein			EAT1B_RS00005	357	118	
gene	protein_coding	GCF_000023045.1	Primary Assembly	chromosome		NC_012673.1	490	960	+							EAT1B_RS00010	471		old_locus_tag=EAT1b_0002
CDS	with_protein	GCF_000023045.1	Primary Assembly	chromosome		NC_012673.1	490	960	+	WP_012726056.1	WP_012726056.1		phage protein			EAT1B_RS00010	471	156	
gene	protein_coding	GCF_000023045.1	Primary Assembly	chromosome		NC_012673.1	964	1461	+							EAT1B_RS00015	498		old_locus_tag=EAT1b_0003
CDS	with_protein	GCF_000023045.1	Primary Assembly	chromosome		NC_012673.1	964	1461	+	WP_012726057.1	WP_012726057.1		hypothetical protein			EAT1B_RS00015	498	165	
gene	protein_coding	GCF_000023045.1	Primary Assembly	chromosome		NC_012673.1	1443	3119	+							EAT1B_RS00020	1677		old_locus_tag=EAT1b_0004
CDS	with_protein	GCF_000023045.1	Primary Assembly	chromosome		NC_012673.1	1443	3119	+	WP_012726058.1	WP_012726058.1		DEAD/DEAH box helicase			EAT1B_RS00020	1677	558	
gene	protein_coding	GCF_000023045.1	Primary Assembly	chromosome		NC_012673.1	3205	3975	+							EAT1B_RS00025	771		old_locus_tag=EAT1b_0005
CDS	with_protein	GCF_000023045.1	Primary Assembly	chromosome		NC_012673.1	3205	3975	+	WP_012726059.1	WP_012726059.1		hypothetical protein			EAT1B_RS00025	771	256	
gene	protein_coding	GCF_000023045.1	Primary Assembly	chromosome		NC_012673.1	4001	7111	+							EAT1B_RS00030	3111		old_locus_tag=EAT1b_0006
CDS	with_protein	GCF_000023045.1	Primary Assembly	chromosome		NC_012673.1	4001	7111	+	WP_012726060.1	WP_012726060.1		DNA primase small subunit			EAT1B_RS00030	3111	1036	
gene	protein_coding	GCF_000023045.1	Primary Assembly	chromosome		NC_012673.1	7129	7872	+							EAT1B_RS00035	744		old_locus_tag=EAT1b_0007
CDS	with_protein	GCF_000023045.1	Primary Assembly	chromosome		NC_012673.1	7129	7872	+	WP_148209416.1	WP_148209416.1		HNH endonuclease			EAT1B_RS00035	744	247	
gene	protein_coding	GCF_000023045.1	Primary Assembly	chromosome		NC_012673.1	7891	8430	+							EAT1B_RS15535	540		old_locus_tag=EAT1b_0008
CDS	with_protein	GCF_000023045.1	Primary Assembly	chromosome		NC_012673.1	7891	8430	+	WP_012726062.1	WP_012726062.1		hypothetical protein			EAT1B_RS15535	540	179	
gene	protein_coding	GCF_000023045.1	Primary Assembly	chromosome		NC_012673.1	8476	11037	+							EAT1B_RS00045	2562		old_locus_tag=EAT1b_0009
CDS	with_protein	GCF_000023045.1	Primary Assembly	chromosome		NC_012673.1	8476	11037	+	WP_012726063.1	WP_012726063.1		bifunctional 3'-5' exonuclease/DNA polymerase			EAT1B_RS00045	2562	853	
gene	protein_coding	GCF_000023045.1	Primary Assembly	chromosome		NC_012673.1	11034	11291	+							EAT1B_RS00050	258		old_locus_tag=EAT1b_0010
