# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	522	2036	-							C406_RS0100005	1515		
CDS	with_protein	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	522	2036	-	WP_017378524.1	WP_017378524.1		acetyl-CoA hydrolase/transferase family protein			C406_RS0100005	1515	504	
gene	protein_coding	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	2166	2810	-							C406_RS0100010	645		
CDS	with_protein	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	2166	2810	-	WP_017378525.1	WP_017378525.1		LytTR family transcriptional regulator DNA-binding domain-containing protein			C406_RS0100010	645	214	
gene	protein_coding	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	3046	3810	+							C406_RS0100015	765		
CDS	with_protein	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	3046	3810	+	WP_081503704.1	WP_081503704.1		NERD domain-containing protein			C406_RS0100015	765	254	
gene	protein_coding	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	3795	4679	+							C406_RS0100020	885		
CDS	with_protein	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	3795	4679	+	WP_017378527.1	WP_017378527.1		hypothetical protein			C406_RS0100020	885	294	
gene	protein_coding	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	4741	5337	+							C406_RS19100	597		
CDS	with_protein	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	4741	5337	+	WP_017378528.1	WP_017378528.1		hypothetical protein			C406_RS19100	597	198	
gene	protein_coding	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	5341	6870	+							C406_RS0100030	1530		
CDS	with_protein	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	5341	6870	+	WP_017378529.1	WP_017378529.1		hypothetical protein			C406_RS0100030	1530	509	
gene	protein_coding	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	7311	7517	-							C406_RS19990	207		
CDS	with_protein	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	7311	7517	-	WP_192812561.1	WP_192812561.1		hypothetical protein			C406_RS19990	207	68	
gene	protein_coding	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	7653	8273	+							C406_RS19105	621		
CDS	with_protein	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	7653	8273	+	WP_017378531.1	WP_017378531.1		hypothetical protein			C406_RS19105	621	206	
gene	protein_coding	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	9435	9692	-							C406_RS19110	258		
CDS	with_protein	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	9435	9692	-	WP_051005479.1	WP_051005479.1		transposase			C406_RS19110	258	85	
gene	protein_coding	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	10095	10232	+							C406_RS20385	138		
CDS	with_protein	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	10095	10232	+	WP_155966663.1	WP_155966663.1		hypothetical protein			C406_RS20385	138	45	
gene	protein_coding	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	10220	10531	+							C406_RS0100050	312		
CDS	with_protein	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	10220	10531	+	WP_017378532.1	WP_017378532.1		hypothetical protein			C406_RS0100050	312	103	
gene	protein_coding	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	10796	11512	-							C406_RS0100055	717		
CDS	with_protein	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	10796	11512	-	WP_017378533.1	WP_017378533.1		hypothetical protein			C406_RS0100055	717	238	
gene	protein_coding	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	11582	15226	-							C406_RS0100060	3645		
CDS	with_protein	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	11582	15226	-	WP_017378534.1	WP_017378534.1		multicopper oxidase domain-containing protein			C406_RS0100060	3645	1214	
gene	protein_coding	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	15223	15531	-							C406_RS0100065	309		
CDS	with_protein	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	15223	15531	-	WP_017378535.1	WP_017378535.1		hypothetical protein			C406_RS0100065	309	102	
gene	protein_coding	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	15550	15837	-							C406_RS0100070	288		
CDS	with_protein	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	15550	15837	-	WP_017378536.1	WP_017378536.1		hypothetical protein			C406_RS0100070	288	95	
gene	protein_coding	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	15856	16548	-							C406_RS0100075	693		
CDS	with_protein	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	15856	16548	-	WP_017378537.1	WP_017378537.1		hypothetical protein			C406_RS0100075	693	230	
gene	protein_coding	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	16642	17232	-							C406_RS0100080	591		
CDS	with_protein	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	16642	17232	-	WP_017378538.1	WP_017378538.1		SCO family protein			C406_RS0100080	591	196	
gene	protein_coding	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	17261	17686	-							C406_RS0100085	426		
CDS	with_protein	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	17261	17686	-	WP_155966665.1	WP_155966665.1		hypothetical protein			C406_RS0100085	426	141	
gene	protein_coding	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	17731	18141	-							C406_RS0100090	411		
CDS	with_protein	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	17731	18141	-	WP_155966666.1	WP_155966666.1		hypothetical protein			C406_RS0100090	411	136	
gene	protein_coding	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	19476	20897	+							C406_RS0100095	1422		
CDS	with_protein	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	19476	20897	+	WP_036653894.1	WP_036653894.1		NAD(P)H-binding protein			C406_RS0100095	1422	473	
gene	protein_coding	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	21538	22359	-							C406_RS0100100	822		
CDS	with_protein	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	21538	22359	-	WP_017378542.1	WP_017378542.1		ABC transporter permease			C406_RS0100100	822	273	
gene	protein_coding	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	22370	23311	-							C406_RS0100105	942		
CDS	with_protein	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	22370	23311	-	WP_017378543.1	WP_017378543.1		ABC transporter permease			C406_RS0100105	942	313	
gene	protein_coding	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	23327	24880	-							C406_RS0100110	1554		
CDS	with_protein	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	23327	24880	-	WP_017378544.1	WP_017378544.1		ABC transporter substrate-binding protein			C406_RS0100110	1554	517	
gene	protein_coding	GCF_000297555.1	Primary Assembly	unplaced scaffold		NZ_AMGD01000001.1	24938	25906	-							C406_RS0100115	969		
