# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000011005.1	Primary Assembly	chromosome		NC_013665.1	599	1900	+						8680179	MCP_RS00005	1302		old_locus_tag=MCP_0001
CDS	with_protein	GCF_000011005.1	Primary Assembly	chromosome		NC_013665.1	599	1900	+	WP_012898753.1	WP_012898753.1		ORC1-type DNA replication protein		8680179	MCP_RS00005	1302	433	
gene	protein_coding	GCF_000011005.1	Primary Assembly	chromosome		NC_013665.1	1936	2277	-						8682766	MCP_RS00010	342		old_locus_tag=MCP_0002
CDS	with_protein	GCF_000011005.1	Primary Assembly	chromosome		NC_013665.1	1936	2277	-	WP_012898754.1	WP_012898754.1		general stress protein B		8682766	MCP_RS00010	342	113	
gene	protein_coding	GCF_000011005.1	Primary Assembly	chromosome		NC_013665.1	2354	2863	-						8680180	MCP_RS00015	510		old_locus_tag=MCP_0003
CDS	with_protein	GCF_000011005.1	Primary Assembly	chromosome		NC_013665.1	2354	2863	-	WP_128859859.1	WP_128859859.1		S26 family signal peptidase		8680180	MCP_RS00015	510	169	
gene	protein_coding	GCF_000011005.1	Primary Assembly	chromosome		NC_013665.1	2976	3488	+						8680181	MCP_RS00020	513		old_locus_tag=MCP_0004
CDS	with_protein	GCF_000011005.1	Primary Assembly	chromosome		NC_013665.1	2976	3488	+	WP_012898756.1	WP_012898756.1		peroxiredoxin family protein		8680181	MCP_RS00020	513	170	
gene	protein_coding	GCF_000011005.1	Primary Assembly	chromosome		NC_013665.1	3489	3986	-						8680182	MCP_RS00025	498		old_locus_tag=MCP_0005
CDS	with_protein	GCF_000011005.1	Primary Assembly	chromosome		NC_013665.1	3489	3986	-	WP_012898757.1	WP_012898757.1		cupin domain-containing protein		8680182	MCP_RS00025	498	165	
gene	protein_coding	GCF_000011005.1	Primary Assembly	chromosome		NC_013665.1	4039	5295	-						8680183	MCP_RS00030	1257		old_locus_tag=MCP_0006
CDS	with_protein	GCF_000011005.1	Primary Assembly	chromosome		NC_013665.1	4039	5295	-	WP_012898758.1	WP_012898758.1		PQQ-binding-like beta-propeller repeat protein		8680183	MCP_RS00030	1257	418	
gene	protein_coding	GCF_000011005.1	Primary Assembly	chromosome		NC_013665.1	5409	7250	-						8680184	MCP_RS00035	1842		old_locus_tag=MCP_0007
CDS	with_protein	GCF_000011005.1	Primary Assembly	chromosome		NC_013665.1	5409	7250	-	WP_012898759.1	WP_012898759.1		glycoside hydrolase family 15 protein		8680184	MCP_RS00035	1842	613	
gene	protein_coding	GCF_000011005.1	Primary Assembly	chromosome		NC_013665.1	7299	8342	-					ftsY	8680185	MCP_RS00040	1044		old_locus_tag=MCP_0008
CDS	with_protein	GCF_000011005.1	Primary Assembly	chromosome		NC_013665.1	7299	8342	-	WP_012898760.1	WP_012898760.1		signal recognition particle-docking protein FtsY	ftsY	8680185	MCP_RS00040	1044	347	
gene	protein_coding	GCF_000011005.1	Primary Assembly	chromosome		NC_013665.1	8349	8771	-						8680186	MCP_RS00045	423		old_locus_tag=MCP_0009
CDS	with_protein	GCF_000011005.1	Primary Assembly	chromosome		NC_013665.1	8349	8771	-	WP_012898761.1	WP_012898761.1		prefoldin subunit alpha		8680186	MCP_RS00045	423	140	
gene	protein_coding	GCF_000011005.1	Primary Assembly	chromosome		NC_013665.1	8775	8951	-						8683019	MCP_RS00050	177		old_locus_tag=MCP_0010
CDS	with_protein	GCF_000011005.1	Primary Assembly	chromosome		NC_013665.1	8775	8951	-	WP_012898762.1	WP_012898762.1		50S ribosomal protein L18a		8683019	MCP_RS00050	177	58	
gene	protein_coding	GCF_000011005.1	Primary Assembly	chromosome		NC_013665.1	8958	9620	-						8683134	MCP_RS00055	663		old_locus_tag=MCP_0011
CDS	with_protein	GCF_000011005.1	Primary Assembly	chromosome		NC_013665.1	8958	9620	-	WP_012898763.1	WP_012898763.1		translation initiation factor IF-6		8683134	MCP_RS00055	663	220	
gene	protein_coding	GCF_000011005.1	Primary Assembly	chromosome		NC_013665.1	9633	9890	-						8682707	MCP_RS00060	258		old_locus_tag=MCP_0012
CDS	with_protein	GCF_000011005.1	Primary Assembly	chromosome		NC_013665.1	9633	9890	-	WP_012898764.1	WP_012898764.1		50S ribosomal protein L31e		8682707	MCP_RS00060	258	85	
gene	protein_coding	GCF_000011005.1	Primary Assembly	chromosome		NC_013665.1	9900	10052	-						8683121	MCP_RS00065	153		old_locus_tag=MCP_0013
