# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	tRNA	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	61	137	+							U719_RS00005	77		old_locus_tag=U719_00005
tRNA		GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	61	137	+				tRNA-Pro			U719_RS00005	77		anticodon=TGG
gene	rRNA	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	274	1835	+							U719_RS00010	1562		old_locus_tag=U719_00010
rRNA		GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	274	1835	+				16S ribosomal RNA			U719_RS00010	1562		
gene	rRNA	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	2002	4915	+							U719_RS00015	2914		old_locus_tag=U719_00015
rRNA		GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	2002	4915	+				23S ribosomal RNA			U719_RS00015	2914		
gene	rRNA	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	4962	5077	+					rrf		U719_RS00020	116		old_locus_tag=U719_00020
rRNA		GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	4962	5077	+				5S ribosomal RNA	rrf		U719_RS00020	116		
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	5147	6565	+							U719_RS00025	1419		old_locus_tag=U719_00025
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	5147	6565	+	WP_023466516.1	WP_023466516.1		aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme			U719_RS00025	1419	472	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	6562	7200	+							U719_RS00030	639		old_locus_tag=U719_00030
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	6562	7200	+	WP_023466518.1	WP_023466518.1		dTMP kinase			U719_RS00030	639	212	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	7197	7526	+							U719_RS00035	330		old_locus_tag=U719_00035
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	7197	7526	+	WP_023466519.1	WP_023466519.1		cyclic-di-AMP receptor			U719_RS00035	330	109	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	7526	8518	+							U719_RS00040	993		old_locus_tag=U719_00040
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	7526	8518	+	WP_023466521.1	WP_023466521.1		DNA-directed DNA polymerase			U719_RS00040	993	330	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	8525	9355	+							U719_RS00045	831		old_locus_tag=U719_00045
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	8525	9355	+	WP_023466523.1	WP_023466523.1		stage 0 sporulation family protein			U719_RS00045	831	276	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	9364	9714	+					yabA		U719_RS00050	351		old_locus_tag=U719_00050
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	9364	9714	+	WP_119182633.1	WP_119182633.1		DNA replication initiation control protein YabA	yabA		U719_RS00050	351	116	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	9766	10503	+							U719_RS00055	738		old_locus_tag=U719_00055
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	9766	10503	+	WP_023466526.1	WP_023466526.1		tRNA1(Val) (adenine(37)-N6)-methyltransferase			U719_RS00055	738	245	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	10496	10750	+							U719_RS00060	255		old_locus_tag=U719_00060
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	10496	10750	+	WP_023466528.1	WP_023466528.1		GIY-YIG nuclease family protein			U719_RS00060	255	84	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	10747	11604	+					rsmI		U719_RS00065	858		old_locus_tag=U719_00065
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	10747	11604	+	WP_023466530.1	WP_023466530.1		16S rRNA (cytidine(1402)-2'-O)-methyltransferase	rsmI		U719_RS00065	858	285	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	11640	11936	-							U719_RS00070	297		old_locus_tag=U719_00070
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	11640	11936	-	WP_023466531.1	WP_023466531.1		AbrB/MazE/SpoVT family DNA-binding domain-containing protein			U719_RS00070	297	98	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	12288	14240	+					metG		U719_RS00075	1953		old_locus_tag=U719_00075
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	12288	14240	+	WP_023466533.1	WP_023466533.1		methionine--tRNA ligase	metG		U719_RS00075	1953	650	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	14300	15067	+							U719_RS00080	768		old_locus_tag=U719_00080
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	14300	15067	+	WP_023466535.1	WP_023466535.1		TatD family hydrolase			U719_RS00080	768	255	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	15064	16335	+							U719_RS00085	1272		old_locus_tag=U719_00085
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	15064	16335	+	WP_023466537.1	WP_023466537.1		3D domain-containing protein			U719_RS00085	1272	423	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	16402	16959	+					rnmV		U719_RS00090	558		old_locus_tag=U719_00090
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	16402	16959	+	WP_023466539.1	WP_023466539.1		ribonuclease M5	rnmV		U719_RS00090	558	185	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	16956	17834	+					rsmA		U719_RS00095	879		old_locus_tag=U719_00095
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	16956	17834	+	WP_023466540.1	WP_023466540.1		16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA	rsmA		U719_RS00095	879	292	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	17919	18158	+							U719_RS00100	240		old_locus_tag=U719_00100
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	17919	18158	+	WP_012368950.1	WP_012368950.1		hypothetical protein			U719_RS00100	240	79	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	18254	19114	+							U719_RS00105	861		old_locus_tag=U719_00105
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	18254	19114	+	WP_023466542.1	WP_023466542.1		4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase			U719_RS00105	861	286	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	19184	20023	+					purR		U719_RS00110	840		old_locus_tag=U719_00110
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	19184	20023	+	WP_023466544.1	WP_023466544.1		pur operon repressor	purR		U719_RS00110	840	279	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	20182	20493	+					spoVG		U719_RS00115	312		old_locus_tag=U719_00115
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	20182	20493	+	WP_023466546.1	WP_023466546.1		septation regulator SpoVG	spoVG		U719_RS00115	312	103	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	20662	22011	+					glmU		U719_RS00120	1350		old_locus_tag=U719_00120
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	20662	22011	+	WP_023466548.1	WP_023466548.1		bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU	glmU		U719_RS00120	1350	449	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	22067	23023	+							U719_RS00125	957		old_locus_tag=U719_00125
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	22067	23023	+	WP_012368955.1	WP_012368955.1		ribose-phosphate diphosphokinase			U719_RS00125	957	318	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	23112	23669	+							U719_RS00130	558		old_locus_tag=U719_00130
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	23112	23669	+	WP_023466549.1	WP_023466549.1		aminoacyl-tRNA hydrolase			U719_RS00130	558	185	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	23726	27241	+					mfd		U719_RS00135	3516		old_locus_tag=U719_00135
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	23726	27241	+	WP_023466550.1	WP_023466550.1		transcription-repair coupling factor	mfd		U719_RS00135	3516	1171	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	27238	28785	+							U719_RS00140	1548		old_locus_tag=U719_00140
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	27238	28785	+	WP_023466552.1	WP_023466552.1		polysaccharide biosynthesis protein			U719_RS00140	1548	515	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	28782	30212	+					mazG		U719_RS00145	1431		old_locus_tag=U719_00145
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	28782	30212	+	WP_023466554.1	WP_023466554.1		nucleoside triphosphate pyrophosphohydrolase	mazG		U719_RS00145	1431	476	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	30209	30481	+							U719_RS00150	273		old_locus_tag=U719_00150
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	30209	30481	+	WP_023466556.1	WP_023466556.1		RNA-binding S4 domain-containing protein			U719_RS00150	273	90	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	30548	30925	+							U719_RS00155	378		old_locus_tag=U719_00155
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	30548	30925	+	WP_023466557.1	WP_023466557.1		septum formation initiator family protein			U719_RS00155	378	125	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	31009	31524	+							U719_RS00160	516		old_locus_tag=U719_00160
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	31009	31524	+	WP_023466558.1	WP_023466558.1		RNA-binding protein S1			U719_RS00160	516	171	
gene	tRNA	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	31678	31754	+							U719_RS00165	77		old_locus_tag=U719_00165
tRNA		GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	31678	31754	+				tRNA-Met			U719_RS00165	77		anticodon=CAT
gene	tRNA	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	31764	31835	+							U719_RS00170	72		old_locus_tag=U719_00170
tRNA		GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	31764	31835	+				tRNA-Glu			U719_RS00170	72		anticodon=TTC
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	31905	33137	+					tilS		U719_RS00175	1233		old_locus_tag=U719_00175
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	31905	33137	+	WP_023466559.1	WP_023466559.1		tRNA lysidine(34) synthetase TilS	tilS		U719_RS00175	1233	410	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	33171	33716	+					hpt		U719_RS00180	546		old_locus_tag=U719_00180
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	33171	33716	+	WP_023466560.1	WP_023466560.1		hypoxanthine phosphoribosyltransferase	hpt		U719_RS00180	546	181	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	33837	35840	+					ftsH		U719_RS00185	2004		old_locus_tag=U719_00185
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	33837	35840	+	WP_023466561.1	WP_023466561.1		ATP-dependent zinc metalloprotease FtsH	ftsH		U719_RS00185	2004	667	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	36019	36780	+							U719_RS00190	762		old_locus_tag=U719_00190
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	36019	36780	+	WP_029343061.1	WP_029343061.1		type III pantothenate kinase			U719_RS00190	762	253	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	36791	37714	+					hslO		U719_RS00195	924		old_locus_tag=U719_00195
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	36791	37714	+	WP_023466563.1	WP_023466563.1		Hsp33 family molecular chaperone HslO	hslO		U719_RS00195	924	307	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	37727	38038	+							U719_RS00200	312		old_locus_tag=U719_00200
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	37727	38038	+	WP_023466564.1	WP_023466564.1		hypothetical protein			U719_RS00200	312	103	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	38119	39063	+					cysK		U719_RS00205	945		old_locus_tag=U719_00205
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	38119	39063	+	WP_023466565.1	WP_023466565.1		cysteine synthase A	cysK		U719_RS00205	945	314	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	39151	40536	+							U719_RS00210	1386		old_locus_tag=U719_00210
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	39151	40536	+	WP_023466566.1	WP_023466566.1		anthranilate synthase component I family protein			U719_RS00210	1386	461	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	40533	41114	+							U719_RS00215	582		old_locus_tag=U719_00215
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	40533	41114	+	WP_023466567.1	WP_023466567.1		aminodeoxychorismate/anthranilate synthase component II			U719_RS00215	582	193	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	41098	41937	+							U719_RS00220	840		old_locus_tag=U719_00220
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	41098	41937	+	WP_023466569.1	WP_023466569.1		aminotransferase class IV			U719_RS00220	840	279	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	41934	42719	+					folP		U719_RS00225	786		old_locus_tag=U719_00225
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	41934	42719	+	WP_023466570.1	WP_023466570.1		dihydropteroate synthase	folP		U719_RS00225	786	261	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	42722	43093	+					folB		U719_RS00230	372		old_locus_tag=U719_00230
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	42722	43093	+	WP_023466572.1	WP_023466572.1		dihydroneopterin aldolase	folB		U719_RS00230	372	123	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	43090	43605	+					folK		U719_RS00235	516		old_locus_tag=U719_00235
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	43090	43605	+	WP_023466573.1	WP_023466573.1		2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	folK		U719_RS00235	516	171	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	43605	44597	+					dusB		U719_RS00240	993		old_locus_tag=U719_00240
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	43605	44597	+	WP_023466575.1	WP_023466575.1		tRNA dihydrouridine synthase DusB	dusB		U719_RS00240	993	330	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	44759	46240	+					lysS		U719_RS00245	1482		old_locus_tag=U719_00245
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	44759	46240	+	WP_087682563.1	WP_087682563.1		lysine--tRNA ligase	lysS		U719_RS00245	1482	493	
gene	rRNA	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	46622	48183	+							U719_RS00250	1562		old_locus_tag=U719_00250
rRNA		GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	46622	48183	+				16S ribosomal RNA			U719_RS00250	1562		
gene	rRNA	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	48349	51262	+							U719_RS00255	2914		old_locus_tag=U719_00255
rRNA		GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	48349	51262	+				23S ribosomal RNA			U719_RS00255	2914		
gene	rRNA	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	51365	51480	+					rrf		U719_RS00260	116		old_locus_tag=U719_00260
rRNA		GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	51365	51480	+				5S ribosomal RNA	rrf		U719_RS00260	116		
gene	tRNA	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	51490	51565	+							U719_RS00265	76		old_locus_tag=U719_00265
tRNA		GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	51490	51565	+				tRNA-Val			U719_RS00265	76		anticodon=TAC
gene	tRNA	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	51581	51656	+							U719_RS00270	76		old_locus_tag=U719_00270
tRNA		GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	51581	51656	+				tRNA-Thr			U719_RS00270	76		anticodon=TGT
gene	tRNA	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	51719	51805	+							U719_RS00275	87		old_locus_tag=U719_00275
tRNA		GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	51719	51805	+				tRNA-Leu			U719_RS00275	87		anticodon=TAA
gene	tRNA	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	51846	51919	+							U719_RS00280	74		old_locus_tag=U719_00280
tRNA		GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	51846	51919	+				tRNA-Arg			U719_RS00280	74		anticodon=ACG
gene	tRNA	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	51924	52000	+							U719_RS00285	77		old_locus_tag=U719_00285
tRNA		GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	51924	52000	+				tRNA-Pro			U719_RS00285	77		anticodon=TGG
gene	tRNA	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	52023	52098	+							U719_RS00290	76		old_locus_tag=U719_00290
tRNA		GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	52023	52098	+				tRNA-Ala			U719_RS00290	76		anticodon=TGC
gene	rRNA	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	52223	53784	+							U719_RS00295	1562		old_locus_tag=U719_00295
rRNA		GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	52223	53784	+				16S ribosomal RNA			U719_RS00295	1562		
gene	rRNA	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	53950	56863	+							U719_RS00300	2914		old_locus_tag=U719_00300
rRNA		GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	53950	56863	+				23S ribosomal RNA			U719_RS00300	2914		
gene	rRNA	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	56910	57025	+					rrf		U719_RS00305	116		old_locus_tag=U719_00305
rRNA		GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	56910	57025	+				5S ribosomal RNA	rrf		U719_RS00305	116		
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	57157	57612	+							U719_RS00310	456		old_locus_tag=U719_00310
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	57157	57612	+	WP_023466578.1	WP_023466578.1		CtsR family transcriptional regulator			U719_RS00310	456	151	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	57638	58066	+							U719_RS00315	429		old_locus_tag=U719_00315
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	57638	58066	+	WP_023466580.1	WP_023466580.1		hypothetical protein			U719_RS00315	429	142	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	58059	59087	+							U719_RS00320	1029		old_locus_tag=U719_00320
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	58059	59087	+	WP_023466582.1	WP_023466582.1		ATP--guanido phosphotransferase			U719_RS00320	1029	342	
gene	pseudogene	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	59087	59656	+							U719_RS00325	570		partial;pseudo;old_locus_tag=U719_00325
CDS	without_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	59087	59656	+				aminotransferase class V-fold PLP-dependent enzyme			U719_RS00325	570		partial;pseudo
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	59763	60218	+							U719_RS00330	456		old_locus_tag=U719_00330
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	59763	60218	+	WP_023466578.1	WP_023466578.1		CtsR family transcriptional regulator			U719_RS00330	456	151	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	60244	60672	+							U719_RS00335	429		old_locus_tag=U719_00335
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	60244	60672	+	WP_023466580.1	WP_023466580.1		hypothetical protein			U719_RS00335	429	142	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	60665	61738	+							U719_RS00340	1074		old_locus_tag=U719_00340
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	60665	61738	+	WP_023466586.1	WP_023466586.1		ATP--guanido phosphotransferase			U719_RS00340	1074	357	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	61738	64185	+							U719_RS00345	2448		old_locus_tag=U719_00345
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	61738	64185	+	WP_023466588.1	WP_023466588.1		ATP-dependent protease ATP-binding subunit ClpC			U719_RS00345	2448	815	
gene	protein_coding	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	64253	65638	+					radA		U719_RS00350	1386		old_locus_tag=U719_00350
CDS	with_protein	GCF_000496635.1	Primary Assembly	chromosome		NC_022794.1	64253	65638	+	WP_023466589.1	WP_023466589.1		DNA repair protein RadA	radA		U719_RS00350	1386	461	
