# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	tRNA	GCF_000723745.2	Primary Assembly	unplaced scaffold		NZ_LN831787.1	513	587	-							BN1009_RS00010	75		
tRNA		GCF_000723745.2	Primary Assembly	unplaced scaffold		NZ_LN831787.1	513	587	-				tRNA-Met			BN1009_RS00010	75		anticodon=CAT
gene	protein_coding	GCF_000723745.2	Primary Assembly	unplaced scaffold		NZ_LN831787.1	798	1349	-							BN1009_RS00015	552		
CDS	with_protein	GCF_000723745.2	Primary Assembly	unplaced scaffold		NZ_LN831787.1	798	1349	-	WP_102741828.1	WP_102741828.1		NUDIX hydrolase			BN1009_RS00015	552	183	
gene	protein_coding	GCF_000723745.2	Primary Assembly	unplaced scaffold		NZ_LN831787.1	1887	3293	+					dnaA		BN1009_RS00020	1407		
CDS	with_protein	GCF_000723745.2	Primary Assembly	unplaced scaffold		NZ_LN831787.1	1887	3293	+	WP_031929913.1	WP_031929913.1		chromosomal replication initiator protein DnaA	dnaA		BN1009_RS00020	1407	468	
gene	pseudogene	GCF_000723745.2	Primary Assembly	unplaced scaffold		NZ_LN831787.1	3443	4372	+							BN1009_RS00025	930		partial;pseudo
CDS	without_protein	GCF_000723745.2	Primary Assembly	unplaced scaffold		NZ_LN831787.1	3443	4372	+				ABC transporter ATP-binding protein			BN1009_RS00025	930		partial;pseudo
gene	protein_coding	GCF_000723745.2	Primary Assembly	unplaced scaffold		NZ_LN831787.1	4435	5217	+							BN1009_RS00030	783		
CDS	with_protein	GCF_000723745.2	Primary Assembly	unplaced scaffold		NZ_LN831787.1	4435	5217	+	WP_031929915.1	WP_031929915.1		ABC transporter permease subunit			BN1009_RS00030	783	260	
gene	protein_coding	GCF_000723745.2	Primary Assembly	unplaced scaffold		NZ_LN831787.1	5252	6823	+							BN1009_RS00035	1572		
CDS	with_protein	GCF_000723745.2	Primary Assembly	unplaced scaffold		NZ_LN831787.1	5252	6823	+	WP_031929916.1	WP_031929916.1		Gldg family protein			BN1009_RS00035	1572	523	
gene	protein_coding	GCF_000723745.2	Primary Assembly	unplaced scaffold		NZ_LN831787.1	6852	8906	+							BN1009_RS00040	2055		
CDS	with_protein	GCF_000723745.2	Primary Assembly	unplaced scaffold		NZ_LN831787.1	6852	8906	+	WP_031929917.1	WP_031929917.1		DUF4340 domain-containing protein			BN1009_RS00040	2055	684	
gene	protein_coding	GCF_000723745.2	Primary Assembly	unplaced scaffold		NZ_LN831787.1	8920	9699	+							BN1009_RS00045	780		
CDS	with_protein	GCF_000723745.2	Primary Assembly	unplaced scaffold		NZ_LN831787.1	8920	9699	+	WP_031929918.1	WP_031929918.1		Nif3-like dinuclear metal center hexameric protein			BN1009_RS00045	780	259	
gene	protein_coding	GCF_000723745.2	Primary Assembly	unplaced scaffold		NZ_LN831787.1	9716	10687	+							BN1009_RS00050	972		
CDS	with_protein	GCF_000723745.2	Primary Assembly	unplaced scaffold		NZ_LN831787.1	9716	10687	+	WP_031929919.1	WP_031929919.1		RluA family pseudouridine synthase			BN1009_RS00050	972	323	
gene	protein_coding	GCF_000723745.2	Primary Assembly	unplaced scaffold		NZ_LN831787.1	11061	12218	+					pheA		BN1009_RS00055	1158		
CDS	with_protein	GCF_000723745.2	Primary Assembly	unplaced scaffold		NZ_LN831787.1	11061	12218	+	WP_012419071.1	WP_012419071.1		prephenate dehydratase	pheA		BN1009_RS00055	1158	385	
gene	protein_coding	GCF_000723745.2	Primary Assembly	unplaced scaffold		NZ_LN831787.1	12264	13880	+							BN1009_RS00060	1617		
