# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000143145.1	Primary Assembly	chromosome		NC_014313.1	62	505	+							HDEN_RS00010	444		old_locus_tag=Hden_0001
CDS	with_protein	GCF_000143145.1	Primary Assembly	chromosome		NC_014313.1	62	505	+	WP_013214048.1	WP_013214048.1		rhodanese-like domain-containing protein			HDEN_RS00010	444	147	
gene	protein_coding	GCF_000143145.1	Primary Assembly	chromosome		NC_014313.1	621	2141	+					dnaA		HDEN_RS00015	1521		old_locus_tag=Hden_0002
CDS	with_protein	GCF_000143145.1	Primary Assembly	chromosome		NC_014313.1	621	2141	+	WP_013214049.1	WP_013214049.1		chromosomal replication initiator protein DnaA	dnaA		HDEN_RS00015	1521	506	
gene	protein_coding	GCF_000143145.1	Primary Assembly	chromosome		NC_014313.1	2480	3598	+							HDEN_RS00020	1119		old_locus_tag=Hden_0003
CDS	with_protein	GCF_000143145.1	Primary Assembly	chromosome		NC_014313.1	2480	3598	+	WP_013214050.1	WP_013214050.1		DNA polymerase III subunit beta			HDEN_RS00020	1119	372	
gene	protein_coding	GCF_000143145.1	Primary Assembly	chromosome		NC_014313.1	3549	4091	+							HDEN_RS00025	543		old_locus_tag=Hden_0004
CDS	with_protein	GCF_000143145.1	Primary Assembly	chromosome		NC_014313.1	3549	4091	+	WP_081446206.1	WP_081446206.1		DUF559 domain-containing protein			HDEN_RS00025	543	180	
gene	protein_coding	GCF_000143145.1	Primary Assembly	chromosome		NC_014313.1	4088	5461	+							HDEN_RS00030	1374		old_locus_tag=Hden_0005
CDS	with_protein	GCF_000143145.1	Primary Assembly	chromosome		NC_014313.1	4088	5461	+	WP_150103146.1	WP_150103146.1		DNA replication/repair protein RecF			HDEN_RS00030	1374	457	
gene	protein_coding	GCF_000143145.1	Primary Assembly	chromosome		NC_014313.1	5608	8055	+					gyrB		HDEN_RS00035	2448		old_locus_tag=Hden_0006
CDS	with_protein	GCF_000143145.1	Primary Assembly	chromosome		NC_014313.1	5608	8055	+	WP_013214053.1	WP_013214053.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		HDEN_RS00035	2448	815	
gene	protein_coding	GCF_000143145.1	Primary Assembly	chromosome		NC_014313.1	8182	9012	+							HDEN_RS00040	831		old_locus_tag=Hden_0007
